chain_id	chain_status	missing_steps	ligand_node_id	ligand_label	ligand_receptor_edge_id	ligand_receptor_pathway	receptor_node_id	receptor_label	receptor_tf_edge_id	receptor_tf_pathway	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	tf_target_pathway	target_gene_node_id	target_gene_label	target_relation	module_sequence	evidence_ids
CHAIN:00001	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000021	target_gene	NODE07504	mPer1	regulates_target_gene	22B	M22B-EVID-000617
CHAIN:00002	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000035	target_gene	NODE00734	Arc	induces_target_gene	22B	M22B-EVID-000329;M22B-EVID-000349
CHAIN:00003	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000036	target_gene	NODE01191	Bdnf promoter IV	induces_target_gene	22B	M22B-EVID-000137
CHAIN:00004	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000037	target_gene	NODE01205	Bdnf1	induces_target_gene	22B	M22B-EVID-000330;M22B-EVID-000350
CHAIN:00005	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000039	target_gene	NODE02092	CGA/alpha-glycoprotein hormone subunit target gene	induces_target_gene	22B	M22B-EVID-000274
CHAIN:00006	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000045	target_gene	NODE02054	Cebpb	induces_target_gene	22B	M22B-EVID-000331;M22B-EVID-000351
CHAIN:00007	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000046	target_gene	NODE02730	CycD1	regulates_target_gene	22B	M22B-EVID-000336
CHAIN:00008	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000049	target_gene	NODE03755	Fmr1/FMRP neuronal translation-support target	induces_target_gene	22B	M22B-EVID-000830;M22B-EVID-000831;M22B-EVID-000832;M22B-EVID-000833;M22B-EVID-000870;M22B-EVID-000873
CHAIN:00009	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000050	target_gene	NODE03755	Fmr1/FMRP neuronal translation-support target	induces_target_gene	22B	M22B-EVID-000127
CHAIN:00010	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000053	target_gene	NODE03989	Gastrin-CCKBR-MEK/ERK-CREB chromogranin-A promoter response	induces_target_gene	22B	M22B-EVID-000213
CHAIN:00011	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000095	target_gene	NODE06495	LPL promoter CRE-II	induces_target_gene	22B	M22B-EVID-000215
CHAIN:00012	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000096	target_gene	NODE07735	NEDD4L-short	regulates_target_gene	22B	M22B-EVID-000942
CHAIN:00013	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000100	target_gene	NODE08877	Pdyn CREs	regulates_target_gene	22B	M22B-EVID-000616
CHAIN:00014	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000101	target_gene	NODE08901	Per1	regulates_target_gene	22B	M22B-EVID-000618
CHAIN:00015	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000108	target_gene	NODE02087	cFos	induces_target_gene	22B	M22B-EVID-000332;M22B-EVID-000352
CHAIN:00016	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000123	target_gene	NODE10674	Sst	induces_target_gene	22B	M22B-EVID-000397
CHAIN:00017	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000135	target_gene	NODE07716	Ndn (necdin) promoter	induces_target_gene	22B	M22B-EVID-000129
CHAIN:00018	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000136	target_gene	NODE05367	IL1B (pro-IL-1β)	regulates_target_gene	22B	M22B-EVID-000386
CHAIN:00019	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000140	target_gene	NODE04963	ID3	regulates_target_gene	22B	M22B-EVID-000164
CHAIN:00020	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000158	target_gene	NODE03139	EGR1 promoter	induces_target_gene	22B	M22B-EVID-000622
CHAIN:00021	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000167	target_gene	NODE02741	CYP19A1	induces_target_gene	22B	M22B-EVID-000105
CHAIN:00022	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000168	target_gene	NODE04801	HSD17B1	regulates_target_gene	22B	M22B-EVID-000107
CHAIN:00023	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000169	target_gene	NODE02741	CYP19A1	induces_target_gene	22B	M22B-EVID-000106
CHAIN:00024	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000174	target_gene	NODE10291	Shh MACS1 long-range enhancer	induces_target_gene	22B	M22B-EVID-000141
CHAIN:00025	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000175	target_gene	NODE01411	c-fos; Egr1	induces_target_gene	22B	M22B-EVID-001230;M22B-EVID-001256;M22B-EVID-001282;M22B-EVID-001308;M22B-EVID-001333;M22B-EVID-001358
CHAIN:00026	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000176	target_gene	NODE01411	c-fos; Egr1	induces_target_gene	22B	M22B-EVID-001050;M22B-EVID-001102
CHAIN:00027	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000177	target_gene	NODE01411	c-fos; Egr1	induces_target_gene	22B	M22B-EVID-001076;M22B-EVID-001127;M22B-EVID-001153;M22B-EVID-001205;M22B-EVID-001383
CHAIN:00028	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000178	target_gene	NODE02088	cFos; Egr1	induces_target_gene	22B	M22B-EVID-001190
CHAIN:00029	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000205	target_gene	NODE08931	PFKFB3	induces_target_gene	22B	M22B-EVID-000383
CHAIN:00030	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000206	target_gene	NODE08931	PFKFB3	induces_target_gene	22B	M22B-EVID-000385
CHAIN:00031	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000210	target_gene	NODE05969	ITGB3 target gene	induces_target_gene	22B	M22B-EVID-000292
CHAIN:00032	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000240	target_gene	NODE11003	Tgfb1 promoter	induces_target_gene	22B	M22B-EVID-000353
CHAIN:00033	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000250	target_gene	NODE04459	Gria4	regulates_target_gene	22B	M22B-EVID-001006;M22B-EVID-001032;M22B-EVID-001057;M22B-EVID-001083;M22B-EVID-001109;M22B-EVID-001134;M22B-EVID-001160;M22B-EVID-001212;M22B-EVID-001237;M22B-EVID-001264;M22B-EVID-001289;M22B-EVID-001315;M22B-EVID-001340;M22B-EVID-001365
CHAIN:00034	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000252	target_gene	NODE05510	IL6	induces_target_gene	22B	M22B-EVID-000390
CHAIN:00035	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000282	target_gene	NODE01191	Bdnf promoter IV	induces_target_gene	22B	M22B-EVID-001069;M22B-EVID-001095;M22B-EVID-001120;M22B-EVID-001146;M22B-EVID-001172;M22B-EVID-001198;M22B-EVID-001223;M22B-EVID-001249;M22B-EVID-001275;M22B-EVID-001301;M22B-EVID-001326;M22B-EVID-001351;M22B-EVID-001376
CHAIN:00036	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000287	target_gene	NODE02738	CYP11A1	represses_target_gene	22B	M22B-EVID-000095
CHAIN:00037	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000288	target_gene	NODE02743	CYP3A4	regulates_target_gene	22B	M22B-EVID-000096
CHAIN:00038	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000289	target_gene	NODE08278	NR0B2 (SHP)	induces_target_gene	22B	M22B-EVID-000402
CHAIN:00039	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000291	target_gene	NODE02739	CYP11B1	induces_target_gene	22B	M22B-EVID-000103
CHAIN:00040	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000292	target_gene	NODE02740	CYP11B2	regulates_target_gene	22B	M22B-EVID-000097
CHAIN:00041	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000296	target_gene	NODE05065	IgG1 3-prime-IgH enhancer	induces_target_gene	22B	M22B-EVID-000394
CHAIN:00042	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000299	target_gene	NODE02799	DDR1 promoter	induces_target_gene	22B	M22B-EVID-000198
CHAIN:00043	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000307	target_gene	NODE04668	Hes1	regulates_target_gene	22B	M22B-EVID-000166
CHAIN:00044	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000310	target_gene	NODE03517	FAS target gene	induces_target_gene	22B	M22B-EVID-000271
CHAIN:00045	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000313	target_gene	NODE08196	NOTCH1 target gene	induces_target_gene	22B	M22B-EVID-000272
CHAIN:00046	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000336	target_gene	NODE06601	Ltb;Tnfrsf9	induces_target_gene	22B	M22B-EVID-000620
