resource_key	source_relative_path	source_bytes	source_sha256	source_format	source_repository	source_repository_commit	source_file_tracked	retention_status	copied_snapshot_path	reference_path	notes
mscs_phase2:CellChatDB.mouse.rda	data/external/method_resources/phase2_external_snapshot_2026-08-05/CellChatDB.mouse.rda	1279646	dd59b19646e546b3ed41f394ad2cf64cf44f3d3fcfbb58ac176f0fe1322f9413	rda	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/CellChatDB.mouse.rda		Byte-for-byte local source snapshot.
mscs_phase2:CellChatDB.mouse.standalone.json	data/external/method_resources/phase2_external_snapshot_2026-08-05/CellChatDB.mouse.standalone.json	1174853	777878377aa926bdf8200edb76bba14661a403b870c798f40c3fb9dd03b3b0ae	json	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/CellChatDB.mouse.standalone.json		Byte-for-byte local source snapshot.
mscs_phase2:cellchat_mouse.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/cellchat_mouse.tsv	497299	585340219264f0d44b9d1f228ee097301b0af86da6a823c7eabffb60f3cdffa7	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/cellchat_mouse.tsv		Byte-for-byte local source snapshot.
mscs_phase2:liana_mouseconsensus.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/liana_mouseconsensus.tsv	52104	0b9e2307fcbd482bb608f118d7e03bdbfc93e58d2c2032c844b648e3cca86f71	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/liana_mouseconsensus.tsv		Byte-for-byte local source snapshot.
mscs_phase2:master_lr_registry.manifest.json	data/external/method_resources/phase2_external_snapshot_2026-08-05/master_lr_registry.manifest.json	1515	fc518a344be8ae5395cac6c60fb46034ee81c8f6f1f347213de3fa8060e687c3	json	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/master_lr_registry.manifest.json		Byte-for-byte local source snapshot.
mscs_phase2:master_lr_registry.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/master_lr_registry.tsv	1315321	d176eb074427f3ff0f8f38572799e22d22980846315c964bee5380480c42573f	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/master_lr_registry.tsv		Byte-for-byte local source snapshot.
mscs_phase2:nichenet_neutral_v1/ligand_target_matrix.f64le.bin	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligand_target_matrix.f64le.bin	231876216	7311a7dc6bb245bdebcd97ee5f0e6974788170f8b86cea987708577c832aa0c0	binary	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	source_reference_only		data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligand_target_matrix.f64le.bin	Exact local source was hashed but not copied because it exceeds the migration copy limit.
mscs_phase2:nichenet_neutral_v1/ligands.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligands.tsv	7725	8d7ed03d765cb6444d3b472eb079dc6b54c20978c24d9f24d6bcc88df1fa3760	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/ligands.tsv		Byte-for-byte local source snapshot.
mscs_phase2:nichenet_neutral_v1/lr_network.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/lr_network.tsv	183598	22279374620ff3a2ecb388107cfd7c03770e9c7c67a920ad44033179e511b282	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/lr_network.tsv		Byte-for-byte local source snapshot.
mscs_phase2:nichenet_neutral_v1/neutral_model_manifest.json	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/neutral_model_manifest.json	945	44370631b52f3101b4a12fb6128f3b407cf5d030743de8871f56f2fcc91b90e5	json	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/neutral_model_manifest.json		Byte-for-byte local source snapshot.
mscs_phase2:nichenet_neutral_v1/target_genes.tsv	data/external/method_resources/phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/target_genes.tsv	156389	045a4033173eb5cbd7ff02446cf9c5080de12eb1af1a1546a1aba35be517b6ee	tsv	mSCS	d5943ad8fc854f0dad58128b2100a3e0ef2fb4cb	false	copied_lossless	data/raw/method_resources/mscs_phase2_external_snapshot_2026-08-05/nichenet_neutral_v1/target_genes.tsv		Byte-for-byte local source snapshot.
