candidate_unit_id	source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	normalized_ligand_key	normalized_receptor_key	normalization_match	review_lane	matched_graph_edge_ids	matched_graph_edges	review_priority_rank_value	review_batch	prior_harvest_disposition	prior_harvest_primary_locators	review_status	reason
LR:WNT9A>LRP5	NicheNet.neutral_v1;master_LR_union	WNT9A	LRP5	Wnt9a	Lrp5					no_primary_locator_in_public_snapshot	2		0		WNT9A	LRP5	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9A>LRP6	NicheNet.neutral_v1;master_LR_union	WNT9A	LRP6	Wnt9a	Lrp6					no_primary_locator_in_public_snapshot	2		0		WNT9A	LRP6	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>CHRNA1	NicheNet.neutral_v1;master_LR_union	WNT9B	CHRNA1	Wnt9b	Chrna1					no_primary_locator_in_public_snapshot	2		0		WNT9B	CHRNA1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD1	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD1	Wnt9b	Fzd1					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD10	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD10	Wnt9b	Fzd10					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD10	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD2	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD2	Wnt9b	Fzd2					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD2	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD3	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD3	Wnt9b	Fzd3					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD3	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD4	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD4	Wnt9b	Fzd4					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD4	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD6	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD6	Wnt9b	Fzd6					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD6	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD7	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD7	Wnt9b	Fzd7					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD7	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>FZD9	NicheNet.neutral_v1;master_LR_union	WNT9B	FZD9	Wnt9b	Fzd9					no_primary_locator_in_public_snapshot	2		0		WNT9B	FZD9	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:WNT9B>LRP5	NicheNet.neutral_v1;master_LR_union	WNT9B	LRP5	Wnt9b	Lrp5					no_primary_locator_in_public_snapshot	2		0		WNT9B	LRP5	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:XCL1>ADGRV1	NicheNet.neutral_v1;master_LR_union	XCL1	ADGRV1	Xcl1	Adgrv1					no_primary_locator_in_public_snapshot	2		0		XCL1	ADGRV1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:YARS>CXCR1	NicheNet.neutral_v1;master_LR_union	YARS	CXCR1	Yars	Cxcr1					no_primary_locator_in_public_snapshot	2		0		YARS	CXCR1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:YBX1>NOTCH1	LIANA.mouseconsensus;master_LR_union	YBX1	NOTCH1	Ybx1	Notch1					no_primary_locator_in_public_snapshot	2		0		YBX1	NOTCH1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZDHHC5>S1PR1	NicheNet.neutral_v1;master_LR_union	ZDHHC5	S1PR1	Zdhhc5	S1pr1					no_primary_locator_in_public_snapshot	2		0		ZDHHC5	S1PR1	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>FZD2	NicheNet.neutral_v1;master_LR_union	ZNRF3	FZD2	Znrf3	Fzd2					no_primary_locator_in_public_snapshot	2		0		ZNRF3	FZD2	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>FZD4	NicheNet.neutral_v1;master_LR_union	ZNRF3	FZD4	Znrf3	Fzd4					no_primary_locator_in_public_snapshot	2		0		ZNRF3	FZD4	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>FZD5	NicheNet.neutral_v1;master_LR_union	ZNRF3	FZD5	Znrf3	Fzd5					no_primary_locator_in_public_snapshot	2		0		ZNRF3	FZD5	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>FZD6	NicheNet.neutral_v1;master_LR_union	ZNRF3	FZD6	Znrf3	Fzd6					no_primary_locator_in_public_snapshot	2		0		ZNRF3	FZD6	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>FZD8	NicheNet.neutral_v1;master_LR_union	ZNRF3	FZD8	Znrf3	Fzd8					no_primary_locator_in_public_snapshot	2		0		ZNRF3	FZD8	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZNRF3>LRP6	NicheNet.neutral_v1;master_LR_union	ZNRF3	LRP6	Znrf3	Lrp6					no_primary_locator_in_public_snapshot	2		0		ZNRF3	LRP6	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
LR:ZPBP2>CD80	NicheNet.neutral_v1;master_LR_union	ZPBP2	CD80	Zpbp2	Cd80					no_primary_locator_in_public_snapshot	2		0		ZPBP2	CD80	novel_candidate	discovery_review			20	batch_078			candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
