pmcid	local_path	retrieval_status	retrieval_method	retrieved_at_utc	sha256
PMC11105247	data/raw/evidence/module23_pmc_fulltext_20260905/PMC11105247_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:55.841103+00:00	0b93c3e03453fca16d8bd1deeca419c48aea873cd67d67015dd36234257e8707
PMC1220220	data/raw/evidence/module23_pmc_fulltext_20260905/PMC1220220_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.430897+00:00	a323f6a3b8f018ea6846cfede0a6967ff4bfb966d2d613e2d0e29ffbe84dadc0
PMC12407721	data/raw/evidence/module23_pmc_fulltext_20260905/PMC12407721_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.436135+00:00	c13ff90e6fa0fd41f8a9866d6da86cec237a3fbb986ee2f6a2a2cf8403ff6dae
PMC1895018	data/raw/evidence/module23_pmc_fulltext_20260905/PMC1895018_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.431254+00:00	a8cfc00b037e4fc85a95e354bae1b2f6b1f9af3830df8646ed499438f93f396c
PMC209362	data/raw/evidence/module23_pmc_fulltext_20260905/PMC209362_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:56.602536+00:00	38e9ae26e8894f93c0a45c217252ab9e80bcdd09e74097cbb7e7882b0ee82866
PMC2115980	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2115980_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.439360+00:00	89a1993ef5947b6e8d04917db65ae520b9d7a4662c6095ac3ee4d15e67362959
PMC2119998	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2119998_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.441390+00:00	ca153c5d64184c8e86f29f329f01a078b584f931f7594a8d7063bf46355c85dc
PMC212714	data/raw/evidence/module23_pmc_fulltext_20260905/PMC212714_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.435542+00:00	b4ea69d97efc2bb3f93e748ff1972bce1803d09f6e051750cc6fe84f4e5a55fb
PMC2172498	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2172498_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.439147+00:00	677c9e1236d36ae8565d1b66a0147bdb1259d399045c51e82112747f8105dc0f
PMC2173289	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2173289_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.431428+00:00	3714686225e6a560669cdd4599fda2ae117f1dc8ea6b022821e2ca7aa36b49f2
PMC2173730	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2173730_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.435940+00:00	981fc852508492e183fe8298b6435c0be6bdd38544973e112dc65bc7c4615ef9
PMC2193129	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2193129_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.429599+00:00	c24a2fcfd7d670a32d204feecbdb7c48f3e919c712d10fccc5998ba3f3f00f24
PMC2289633	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2289633_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.439971+00:00	68e59ceb5974b4dfcd1bed49b38b25267da9c3aea74add851b12b3ddf02498bf
PMC2518829	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2518829_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.438101+00:00	0e17bd94a57e3687101c199fbe6014628d149951b52ae243fd918bd928a24b1e
PMC2566990	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2566990_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.430444+00:00	a268600fbf6dce2e6a302f2064c566c04e06186c47cc025afb8b48266817fe2e
PMC2574962	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2574962_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.440186+00:00	ea6c4e7b3b8b6a1f0fd4fa46b7a00d6c305f682d194474933782037a63fa4140
PMC2699039	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2699039_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.434284+00:00	25f90dc414a12e2e921737ef71e05a0ebde5cb017064a17f30346c79e64dbb6e
PMC2747264	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2747264_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:57.361799+00:00	6b791f08386d5bb8a5a40ef6f27c00e61ea471d62ac8b5bb92b103c722b24d0d
PMC2760388	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2760388_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.437712+00:00	6f377856cfd0b9e14c82d7596617999b4a7dbcfd15859145f0fe0675117970d1
PMC2768988	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2768988_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.433383+00:00	6e3617a8a72afac2484e878cc1d9cf4d93137fe3fe234febf700c5eeddcd7661
PMC2771087	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2771087_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.437931+00:00	7af58665a4d429f5f8b7efe24bace7391c74a121ba37331ab27e24d8a809ccdc
PMC2779236	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2779236_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.435288+00:00	20d09d218f72518c6de0a1a12d7ae28c06d3fc73ed8461d4bb9d90ba5c4ea8f8
PMC2850410	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2850410_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:58.162234+00:00	921ffce55de2678569c18323c6d6ed88e6b91a4932a2593f6374c21aaedf59c6
PMC2900151	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2900151_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.431950+00:00	26bbddf111af7f04120880e32a1b0ddfc7147b9c99c6f0700a96c9a5a275fb82
PMC2922956	data/raw/evidence/module23_pmc_fulltext_20260905/PMC2922956_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.438707+00:00	dbbc4d698dd1b9ca511966bc17e8c1df5b2f2b1b57f3a3fdaf068f96dfcc0bed
PMC3150482	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3150482_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.433160+00:00	5e1d1660cc54dd92c0de7c173e745404d9382c628bff3e9b67a67e233d691cf2
PMC3177407	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3177407_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.435724+00:00	c357b1e24bc3562d553e7d0674d9cc7cba538b3b28109d7a7412b93684b85627
PMC3243752	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3243752_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.439518+00:00	f5054d298ec02f7b6a43873692f115532519e26f589dedf0187dcbc158786a00
PMC3252370	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3252370_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.438300+00:00	98f8c6cc4045c635aba9466c29deca3e07b5cce436800041e53102450bf5d8cd
PMC3308797	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3308797_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.437457+00:00	45fd2173d9433993cf4adedc1d31e5580590cd2fb092512a8b055bd162c2078d
PMC3341393	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3341393_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.432437+00:00	9acfcfcbd40a08b48bc31f4997f5f11aebbd309f9e85758d0f6f73678952409c
PMC3445328	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3445328_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.438898+00:00	70dcec99ea782e29b168cd6b454298fe3e6f64c27036a2c8ac0b356e4e11828c
PMC3477231	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3477231_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:58.959203+00:00	f40f203d695a18af70e815e70436e34ea81699b630e17a2e3aedc30b9eb158d0
