registry_id	ligand	receptor	ligand_entity_type	receptor_entity_type	ligand_components	receptor_components	source_methods	source_resources	source_databases	source_record_ids	pathway_labels	interaction_annotations	evidence_notes	cofactor_annotations	species_scope	direct_lr_candidate
LRREG_000001	2300002M23Rik	Ddr1	gene	gene	2300002M23Rik	Ddr1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000002	2610528A11Rik	Gpr15	gene	gene	2610528A11Rik	Gpr15	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000003	9530003J23Rik	Itgal	gene	gene	9530003J23Rik	Itgal	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000004	A2m	Klk1	gene	gene	A2m	Klk1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000005	A2m	Klk1b1	gene	gene	A2m	Klk1b1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000006	A2m	Klk1b11	gene	gene	A2m	Klk1b11	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000007	A2m	Klk1b16	gene	gene	A2m	Klk1b16	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000008	A2m	Klk1b21	gene	gene	A2m	Klk1b21	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000009	A2m	Klk1b22	gene	gene	A2m	Klk1b22	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000010	A2m	Klk1b24	gene	gene	A2m	Klk1b24	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000011	A2m	Klk1b26	gene	gene	A2m	Klk1b26	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000012	A2m	Klk1b27	gene	gene	A2m	Klk1b27	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000013	A2m	Klk1b3	gene	gene	A2m	Klk1b3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000014	A2m	Klk1b4	gene	gene	A2m	Klk1b4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000015	A2m	Klk1b5	gene	gene	A2m	Klk1b5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000016	A2m	Klk1b8	gene	gene	A2m	Klk1b8	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000017	A2m	Klk1b9	gene	gene	A2m	Klk1b9	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000018	A2m	Lrp1	gene	gene	A2m	Lrp1	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000019	A2m	Mmp2	gene	gene	A2m	Mmp2	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000020	A2m	Mmp9	gene	gene	A2m	Mmp9	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000021	AU040320	Ildr1	gene	gene	AU040320	Ildr1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000022	AU040320	Mpzl3	gene	gene	AU040320	Mpzl3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000023	AU040320	Siglece	gene	gene	AU040320	Siglece	nichenet	nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000024	AU040320	Siglecf	gene	gene	AU040320	Siglecf	nichenet	nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000025	AU040320	Unc5a	gene	gene	AU040320	Unc5a	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000026	Aanat	Mtnr1a	gene	gene	Aanat	Mtnr1a	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000027	Aanat	Mtnr1b	gene	gene	Aanat	Mtnr1b	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000028	Abca1	Apoa1	gene	gene	Abca1	Apoa1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000029	Abca1	Megf10	gene	gene	Abca1	Megf10	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000030	Ace	Agtr2	gene	gene	Ace	Agtr2	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000031	Ace	Bdkrb2	gene	gene	Ace	Bdkrb2	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000032	Ace2	Slc6a19	gene	gene	Ace2	Slc6a19	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000033	Ace2	Tigit	gene	gene	Ace2	Tigit	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000034	Ace2	Tnfrsf11a	gene	gene	Ace2	Tnfrsf11a	nichenet	nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000035	Ace2	Tnfrsf11b	gene	gene	Ace2	Tnfrsf11b	nichenet	nichenet_v2_mouse_lr_network	nichenet_verschueren						mouse	true
LRREG_000036	Acp4	Erbb4	gene	gene	Acp4	Erbb4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000037	Acp4	Vstm2b	gene	gene	Acp4	Vstm2b	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000038	Actr2	Adrb2	gene	gene	Actr2	Adrb2	liana	mouseconsensus							mouse	true
LRREG_000039	Actr2	Ldlr	gene	gene	Actr2	Ldlr	liana	mouseconsensus							mouse	true
LRREG_000040	Actr2	Lrp2	gene	gene	Actr2	Lrp2	liana	mouseconsensus							mouse	true
LRREG_000041	Ada	Dpp4	gene	gene	Ada	Dpp4	liana	mouseconsensus							mouse	true
LRREG_000042	Adam10	App	gene	gene	Adam10	App	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000043	Adam10	Axl	gene	gene	Adam10	Axl	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000044	Adam10	Cadm1	gene	gene	Adam10	Cadm1	liana	mouseconsensus							mouse	true
LRREG_000045	Adam10	Cd44	gene	gene	Adam10	Cd44	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000046	Adam10	Epha3	gene	gene	Adam10	Epha3	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000047	Adam10	Gpnmb	gene	gene	Adam10	Gpnmb	liana	mouseconsensus							mouse	true
LRREG_000048	Adam10	Il6ra	gene	gene	Adam10	Il6ra	liana	mouseconsensus							mouse	true
LRREG_000049	Adam10	Met	gene	gene	Adam10	Met	liana	mouseconsensus							mouse	true
LRREG_000050	Adam10	Notch1	gene	gene	Adam10	Notch1	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000051	Adam10	Notch2	gene	gene	Adam10	Notch2	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000052	Adam10	Notch3	gene	gene	Adam10	Notch3	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000053	Adam10	Notch4	gene	gene	Adam10	Notch4	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000054	Adam10	Nrcam	gene	gene	Adam10	Nrcam	liana	mouseconsensus							mouse	true
LRREG_000055	Adam10	Trem2	gene	gene	Adam10	Trem2	liana	mouseconsensus							mouse	true
LRREG_000056	Adam10	Tspan10	gene	gene	Adam10	Tspan10	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_000057	Adam10	Tspan12	gene	gene	Adam10	Tspan12	liana	mouseconsensus							mouse	true
