"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"
"M20B-P2-NORM-M20B-EVID-005352-P2-RELAY"	"20B"	"M20B-EVID-005352-P2-RELAY"	"PMID:12466225; PMID:15765187"	"PMID:12466225; PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/12466225/"	"12466225"	"PMC1573602"	"10.1038/sj.bjp.0704973"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap001/remaining_pubmed_records.xml"	"Molecular pharmacology of the human prostaglandin D2 receptor, CRTH2."	"Nicole Sawyer; Elizabeth Cauchon; Anne Chateauneuf; Rani P G Cruz; Donald W Nicholson; Kathleen M Metters; Gary P O'Neill; Francois G Gervais"	"2002"	"British journal of pharmacology"	"1. The recombinant human prostaglandin D(2) (PGD(2)) receptor, hCRTH2, has been expressed in HEK293(EBNA) and characterized with respect to radioligand binding and signal transduction properties. High and low affinity binding sites for PGD(2) were identified in the CRTH2 receptor population by saturation analysis with respective equilibrium dissociation constants (K(D)) of 2.5 and 109 nM. This revealed that the affinity of PGD(2) for CRTH2 is eight times less than its affinity for the DP receptor. 2. Equilibrium competition binding assays revealed that of the compounds tested, only PGD(2) and several related metabolites bound with high affinity to CRTH2 (K(i) values ranging from 2.4 to 34.0 nM) with the following rank order of potency: PGD(2)>13,14-dihydro-15-keto PGD(2)>15-deoxy-Delta(12,14)-PGJ(2)>PGJ(2)>Delta(12)-PGJ(2)>15(S)-15 methyl-PGD(2). This is in sharp contrast with the rank order of potency obtained at DP : PGD(2)>PGJ(2)>Delta(12)-PGJ(2)>15-deoxy-Delta(12,14)-PGJ(2) >>>13,14-dihydro-15-keto-PGD(2). 3. Functional studies demonstrated that PGD(2) activation of recombinant CRTH2 results in decrease of intracellular cAMP in a pertussis toxin-sensitive manner. Therefore, we showed that CRTH2 can functionally couple to the G-protein G(alphai/o). PGD(2) and related metabolites were tested and their rank order of potency followed the results of the membrane binding assay. 4. By Northern blot analysis, we showed that, besides haemopoietic cells, CRTH2 is expressed in many other tissues such as brain, heart, thymus, spleen and various tissues of the digestive system. In addition, in situ hybridization studies revealed that CRTH2 mRNA is expressed in human eosinophils. Finally, radioligand binding studies demonstrated that two eosinophilic cell lines, butyric acid-differentiated HL-60 and AML 14.3D10, also endogenously express CRTH2."	"https://pubmed.ncbi.nlm.nih.gov/12466225/"
"M20B-P2-R-002538"	"20B"	"M20B-EVID-003180"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=CTHRC1+FZD5"	"PMID:30237242; URL:https://pubmed.ncbi.nlm.nih.gov/?term=CTHRC1+FZD5; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap045/primary_records.tsv"	"30237242"	"PMC10682934"	"10.1242/dev.168468"	"resolved_authoritative_source_locator_pmid"	"one explicit PMID in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap045/primary_records.xml"	"Functional redundancy of frizzled 3 and frizzled 6 in planar cell polarity control of mouse hair follicles."	"Bo Dong; Samantha Vold; Cristina Olvera-Jaramillo; Hao Chang"	"2018"	"Development (Cambridge, England)"	"The orientation of mouse hair follicles is controlled by the planar cell polarity (PCP) pathway. Mutations in PCP genes result in two categories of hair mis-orientation phenotype: randomly oriented and vertically oriented to the skin surface. Here, we demonstrate that the randomly oriented hair phenotype observed in frizzled 6 ( Fzd6 ) mutants results from a partial loss of the polarity, due to the functional redundancy of another closely related frizzled gene, Fzd3 Double knockout of Fzd3 and Fzd6 globally, or only in the skin, led to vertically oriented hair follicles and a total loss of anterior-posterior polarity. Furthermore, we provide evidence that, contrary to the prevailing model, asymmetrical localization of the Fzd6 protein is not observed in skin epithelial cells. Through transcriptome analyses and in vitro studies, we show collagen triple helix repeat containing 1 (Cthrc1) to be a potential downstream effector of Fzd6, but not of Fzd3. Cthrc1 binds directly to the extracellular domains of Fzd3 and Fzd6 to enhance the Wnt/PCP signaling. These results suggest that Fzd3 and Fzd6 play a redundant role in controlling the polarity of developing skin, but through non-identical mechanisms."	"https://pubmed.ncbi.nlm.nih.gov/30237242/"
"M20B-P2-R-002540"	"20B"	"M20B-EVID-003182"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=CTHRC1+ROR2"	"PMID:30237242; URL:https://pubmed.ncbi.nlm.nih.gov/?term=CTHRC1+ROR2; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap046/primary_records.tsv"	"30237242"	"PMC10682934"	"10.1242/dev.168468"	"resolved_authoritative_source_locator_pmid"	"one explicit PMID in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap045/primary_records.xml"	"Functional redundancy of frizzled 3 and frizzled 6 in planar cell polarity control of mouse hair follicles."	"Bo Dong; Samantha Vold; Cristina Olvera-Jaramillo; Hao Chang"	"2018"	"Development (Cambridge, England)"	"The orientation of mouse hair follicles is controlled by the planar cell polarity (PCP) pathway. Mutations in PCP genes result in two categories of hair mis-orientation phenotype: randomly oriented and vertically oriented to the skin surface. Here, we demonstrate that the randomly oriented hair phenotype observed in frizzled 6 ( Fzd6 ) mutants results from a partial loss of the polarity, due to the functional redundancy of another closely related frizzled gene, Fzd3 Double knockout of Fzd3 and Fzd6 globally, or only in the skin, led to vertically oriented hair follicles and a total loss of anterior-posterior polarity. Furthermore, we provide evidence that, contrary to the prevailing model, asymmetrical localization of the Fzd6 protein is not observed in skin epithelial cells. Through transcriptome analyses and in vitro studies, we show collagen triple helix repeat containing 1 (Cthrc1) to be a potential downstream effector of Fzd6, but not of Fzd3. Cthrc1 binds directly to the extracellular domains of Fzd3 and Fzd6 to enhance the Wnt/PCP signaling. These results suggest that Fzd3 and Fzd6 play a redundant role in controlling the polarity of developing skin, but through non-identical mechanisms."	"https://pubmed.ncbi.nlm.nih.gov/30237242/"
"M20B-P2-R-003710-R101"	"20B"	"M20B-EVID-003710"	"PMCID:PMC3843007; DOI:10.1371/journal.pone.0050959"	"PMCID:PMC3843007; DOI:10.1371/journal.pone.0050959; https://pmc.ncbi.nlm.nih.gov/articles/PMC3843007/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PMC3843007_GPC3_LRP1.xml"	"22467855"	"PMC3843007"	"10.1242/jcs.098889"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch078_PMIDs_211_220_pubmed.xml"	"LRP1 mediates Hedgehog-induced endocytosis of the GPC3-Hedgehog complex."	"Mariana I Capurro; Wen Shi; Jorge Filmus"	"2012"	"Journal of cell science"	"Glypican-3 (GPC3) is a heparan sulfate (HS) proteoglycan that is bound to the cell membrane through a glycosylphosphatidylinositol link. This glypican regulates embryonic growth by inhibiting the hedgehog (Hh) signaling pathway. GPC3 binds Hh and competes with Patched (Ptc), the Hh receptor, for Hh binding. The interaction of Hh with GPC3 triggers the endocytosis and degradation of the GPC3-Hh complex with the consequent reduction of Hh available for binding to Ptc. Currently, the molecular mechanisms by which the GPC3-Hh complex is internalized remains unknown. Here we show that the low-density-lipoprotein receptor-related protein-1 (LRP1) mediates the Hh-induced endocytosis of the GPC3-Hh complex, and that this endocytosis is necessary for the Hh-inhibitory activity of GPC3. Furthermore, we demonstrate that GPC3 binds through its HS chains to LRP1, and that this interaction causes the removal of GPC3 from the lipid rafts domains."	"https://pubmed.ncbi.nlm.nih.gov/22467855/"
"M20B-P2-R-004547-R225A"	"20B"	"M20B-EVID-004547-P2-DIRECT"	"PMID:9261564; DOI:10.1038/cr.1997.8; PMID:9413015; DOI:10.1016/S0143-4179(97)90032-9"	"PMID:9261564; DOI:10.1038/cr.1997.8; PMID:9413015; DOI:10.1016/S0143-4179(97)90032-9; https://doi.org/10.1038/cr.1997.8; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PLG_PLGRKT_PNOC_OPRL1_primary_records.xml; /private/tmp/nociceptin_nop_selected.xml"	"9261564"	""	"10.1038/cr.1997.8"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PLG_PLGRKT_PNOC_OPRL1_primary_records.xml"	"Molecular characterization and functional expression of opioid receptor-like1 receptor."	"Y L Wu; L Pu; K Ling; J Zhao; Z J Cheng; L Ma; G Pei"	"1997"	"Cell research"	"The opioid receptor-like1 receptor (ORL1), an orphan receptor whose human and murine complementary DNAs, has been characterized recently. ORL1 transcripts are particularly abundant in the central nervous system. We demonstrated that ORL1 expressed in human neuroblastoma SK-N-SH and SH-SY5Y cell lines by radioligand binding assay, reverse transcription polymerase chain reaction (RT-PCR) and Northern analysis in the present study. Stimulation with ORL1 specific agonist, nociceptin/orphanin FQ, increased [35S]GTP gamma S binding to SK-N-SH cell membranes (EC50 = 14 +/- 0.45 nM), and attenuated forskolin-stimulated accumulation of cellular cAMP (EC50 = 0.80 +/- 0.45 nM), indicative that activation of ORL1 activates G proteins and inhibits adenylyl cyclase. Activation of ORL1 receptor was also accessed using CHO:hORL1 cell line by microphysiometer. Treatment of nociceptin/orphanin FQ increased extracellular acidification rate significantly."	"https://pubmed.ncbi.nlm.nih.gov/9261564/"
"M20B-P2-R-004783-FT-FUNC"	"20B"	"M20B-EVID-004783-P2-FUNC-FT"	"PMID:25154907; PMCID:PMC4252704; DOI:10.1016/j.imbio.2014.08.002; PMID:12393391; DOI:10.1182/blood-2002-05-1431"	"PMID:25154907; PMCID:PMC4252704; DOI:10.1016/j.imbio.2014.08.002; https://pmc.ncbi.nlm.nih.gov/articles/PMC4252704/; PMID:12393391; DOI:10.1182/blood-2002-05-1431"	"25154907"	"PMC4252704"	"10.1016/j.imbio.2014.08.002"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SAA1_SAA2_isoform_P25154907.xml"	"Serum amyloid A1 isoforms display different efficacy at Toll-like receptor 2 and formyl peptide receptor 2."	"Mingjie Chen; Huibing Zhou; Ni Cheng; Feng Qian; Richard D Ye"	"2014"	"Immunobiology"	"Serum amyloid A (SAA) is a major acute-phase protein and a precursor of amyloid A, the deposit of which leads to amyloidosis. Different alleles exist in SAA1, a predominant form of the human SAA gene family. Emerging evidence has shown correlations between these alleles and diseases including familiar Mediterranean fever and amyloidosis. However, it remains unclear how the proteins encoded by these SAA1 alleles act differently. Here we report the characterization of proteins encoded by SAA1.1, SAA1.3, and SAA1.5, in comparison to that encoded by SAA2.2, for their preference of the SAA receptors including formyl peptide receptor 2 (FPR2) and Toll-like receptor 2 (TLR2). SAA1.1 was more efficacious than SAA1.3 and SAA1.5 but equally efficacious to SAA2.2 in calcium mobilization and chemotaxis assays, which measure the activation of the G protein-coupled FPR2. In agreement with this, SAA1.1 and SAA2.2 induced more robust phosphorylation of ERK than SAA1.3 and SAA1.5. Only small differences were observed between the SAA1 proteins tested and SAA2.2 in TLR2-dependent NF-κB luciferase reporter assay. In comparison, SAA1.3 was most effective in stimulating ERK and p38 MAPK phosphorylation. Using bone marrow-derived macrophages from C57BL/10ScN (Tlr4lps-del) mice, we examined the SAA isoforms for their induction of selected pro- and anti-inflammatory cytokines. SAA1.3 was most potent in the induction of TNFα and IL-1rn, whereas SAA1.5 induced robust IL-10 expression. These results show differences of the SAA1 isoforms in their selectivity for the SAA receptors, which may affect their roles in modulating inflammation and immunity."	"https://pubmed.ncbi.nlm.nih.gov/25154907/"
"M20B-P2-R-004866-FT-DIRECT"	"20B"	"M20B-EVID-004866-P2-DIRECT-FT"	"PMID:16187944; PMCID:PMC1408676; DOI:10.1042/BJ20051123; PMID:10520995; DOI:10.1016/S0092-8674(00)80063-X"	"PMID:16187944; PMCID:PMC1408676; DOI:10.1042/BJ20051123; https://pmc.ncbi.nlm.nih.gov/articles/PMC1408676/; PMID:10520995; DOI:10.1016/S0092-8674(00)80063-X"	"16187944"	"PMC1408676"	"10.1042/BJ20051123"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema4D_primary_records.xml"	"Semaphorin 4D activates the MAPK pathway downstream of plexin-B1."	"Jennifer Aurandt; Weiquan Li; Kun-Liang Guan"	"2006"	"The Biochemical journal"	"Semaphorins are a large family of transmembrane and secreted proteins that signal primarily through the receptor plexin. Semaphorins have been characterized in the nervous system as axon guidance cues; however, they have also been shown to control development of other cellular systems such as the vasculature and lungs. As the role of semaphorins outside of the nervous system has broadened, so has elucidation of the intracellular signalling pathways they initiate. Previously, we and others have shown that plexin-B1 activates RhoA through the binding and activation of RhoGEF (guanine nucleotide-exchange factor)/LARG (leukaemia-associated RhoGEF) in response to semaphorin 4D stimulation. In the present study, we show that semaphorin 4D activates the MAPK (mitogen-activated protein kinase) pathway. We have found that the mechanism of activation requires the C-terminus of plexin-B1 and the activation of RhoA."	"https://pubmed.ncbi.nlm.nih.gov/16187944/"
"M22B-P2-R-000035-R099"	"22B"	"M22B-EVID-000035"	"PMCID:PMC3623615; PMID:23645984; DOI:10.4137/GRSB.S11433; PMID:7777519"	"PMCID:PMC3623615; PMID:23645984; DOI:10.4137/GRSB.S11433; PMID:7777519; https://pmc.ncbi.nlm.nih.gov/articles/PMC3623615/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC3623615_STAT1_bioc.json"	"23645984"	"PMC3623615"	"10.4137/GRSB.S11433"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_supplemental_pubmed.xml"	"A Comprehensive Profile of ChIP-Seq-Based STAT1 Target Genes Suggests the Complexity of STAT1-Mediated Gene Regulatory Mechanisms."	"Jun-Ichi Satoh; Hiroko Tabunoki"	"2013"	"Gene regulation and systems biology"	"Interferon-gamma (IFNγ) plays a key role in macrophage activation, T helper and regulatory cell differentiation, defense against intracellular pathogens, tissue remodeling, and tumor surveillance. The diverse biological functions of IFNγ are mediated by direct activation of signal transducer and activator of transcription 1 (STAT1) as well as numerous downstream effector genes. Because a perturbation in STAT1 target gene networks is closely associated with development of autoimmune diseases and cancers, it is important to characterize the global picture of these networks. Chromatin immunoprecipitation followed by deep sequencing (ChIP-Seq) provides a highly efficient method for genome-wide profiling of DNA-binding proteins. We analyzed the STAT1 ChIP-Seq dataset of IFNγ-stimulated HeLa S3 cells derived from the ENCODE project, along with transcriptome analysis on microarray. We identified 1,441 stringent ChIP-Seq peaks of protein-coding genes. They were located in the promoter (21.5%) and more often in intronic regions (72.2%) with an existence of IFNγ-activated site (GAS) elements. Among the 1,441 STAT1 target genes, 212 genes are known IFN-regulated genes (IRGs) and 194 genes (13.5%) are actually upregulated in response to IFNγ by transcriptome analysis. The panel of upregulated genes constituted IFN-signaling molecular networks pivotal for host defense against infections, where interferon-regulatory factor (IRF) and STAT transcription factors serve as a hub on which biologically important molecular connections concentrate. The genes with the peak location in intronic regions showed significantly lower expression levels in response to IFNγ. These results indicate that the binding of STAT1 to GAS is not sufficient to fully activate target genes, suggesting the high complexity of STAT1-mediated gene regulatory mechanisms."	"https://pubmed.ncbi.nlm.nih.gov/23645984/"
"M22B-P2-R-000048-R099"	"22B"	"M22B-EVID-000048"	"PMCID:PMC4206766; PMID:25277163; DOI:10.1186/s12915-014-0081-5; PMID:24798330"	"PMCID:PMC4206766; PMID:25277163; DOI:10.1186/s12915-014-0081-5; PMID:24798330; https://pmc.ncbi.nlm.nih.gov/articles/PMC4206766/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC_smads_nodal_bioc.json"	"25277163"	"PMC4206766"	"10.1186/s12915-014-0081-5"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_smads_extra_pubmed.xml"	"Global identification of Smad2 and Eomesodermin targets in zebrafish identifies a conserved transcriptional network in mesendoderm and a novel role for Eomesodermin in repression of ectodermal gene expression."	"Andrew C Nelson; Stephen J Cutty; Marie Niini; Derek L Stemple; Paul Flicek; Corinne Houart; Ashley E E Bruce; Fiona C Wardle"	"2014"	"BMC biology"	"Nodal signalling is an absolute requirement for normal mesoderm and endoderm formation in vertebrate embryos, yet the transcriptional networks acting directly downstream of Nodal and the extent to which they are conserved is largely unexplored, particularly in vivo. Eomesodermin also plays a role in patterning mesoderm and endoderm in vertebrates, but its mechanisms of action, and how it interacts with the Nodal signalling pathway are still unclear. Using a combination of ChIP-seq and expression analysis we identify direct targets of Smad2, the effector of Nodal signalling in blastula stage zebrafish embryos, including many novel target genes. Through comparison of these data with published ChIP-seq data in human, mouse and Xenopus we show that the transcriptional network driven by Smad2 in mesoderm and endoderm is conserved in these vertebrate species. We also show that Smad2 and zebrafish Eomesodermin a (Eomesa) bind common genomic regions proximal to genes involved in mesoderm and endoderm formation, suggesting Eomesa forms a general component of the Smad2 signalling complex in zebrafish. Combinatorial perturbation of Eomesa and Smad2-interacting factor Foxh1 results in loss of both mesoderm and endoderm markers, confirming the role of Eomesa in endoderm formation and its functional interaction with Foxh1 for correct Nodal signalling. Finally, we uncover a novel, role for Eomesa in repressing ectodermal genes in the early blastula. Our data demonstrate that evolutionarily conserved developmental functions of Nodal signalling occur through maintenance of the transcriptional network directed by Smad2. This network is modulated by Eomesa in zebrafish which acts to promote mesoderm and endoderm formation in combination with Nodal signalling, whilst Eomesa also opposes ectoderm gene expression. Eomesa therefore regulates the formation of all three germ layers in the early zebrafish embryo."	"https://pubmed.ncbi.nlm.nih.gov/25277163/"
"M22B-P2-R-000049-R099"	"22B"	"M22B-EVID-000049"	"PMCID:PMC4510980; PMID:25669884; DOI:10.1016/j.devcel.2014.11.034; PMID:24798330"	"PMCID:PMC4510980; PMID:25669884; DOI:10.1016/j.devcell.2014.11.034; PMID:24798330; https://pmc.ncbi.nlm.nih.gov/articles/PMC4510980/; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC4510980_SMAD23_lefty_bioc.json"	"25669884"	"PMC4510980"	"10.1016/j.devcel.2014.11.034"	"resolved_authoritative_source_locator_pmid"	"one exact stable article URL identifier in source_locator matched one titled local paper metadata record"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_smads_extra_pubmed.xml"	"E2a is necessary for Smad2/3-dependent transcription and the direct repression of lefty during gastrulation."	"Andrea E Wills; Julie C Baker"	"2015"	"Developmental cell"	"Transcription factor complexes have varied effects on cell fate and behavior, but how this diversification of function occurs is largely unknown. The Nodal signaling pathway has many biological functions that all converge on the transcription factors Smad2/3. Smad2/3 has many cofactors, and alternative usage of these may provide a mechanism for modulating Smad2/3 function. Here, we investigate how perturbation of the cofactor E2a affects global patterns of Smad2/3 binding and gene expression during gastrulation. We find that E2a regulates early development in two ways. E2a changes the position of Smad2/3 binding at the Nodal inhibitor lefty, resulting in direct repression of lefty that is critical for mesendoderm specification. Separately, E2a is necessary to drive transcription of Smad2/3 target genes, including critical regulators of dorsal cell fate and morphogenesis. Overall, we find that E2a functions as both a transcriptional repressor and activator to precisely regulate Nodal signaling."	"https://pubmed.ncbi.nlm.nih.gov/25669884/"
