pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
pcdhb4 pcdhb4	Pcdhb4 Pcdhb4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb4 pcdhb6	Pcdhb4 Pcdhb6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb4 pcdhb8	Pcdhb4 Pcdhb8	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb5 pcdhb5	Pcdhb5 Pcdhb5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb5 pcdhb9	Pcdhb5 Pcdhb9	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb6 pcdhb6	Pcdhb6 Pcdhb6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb7 pcdhb5	Pcdhb7 Pcdhb5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb7 pcdhb7	Pcdhb7 Pcdhb7	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb7 pcdhb9	Pcdhb7 Pcdhb9	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb8 pcdhb6	Pcdhb8 Pcdhb6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb8 pcdhb8	Pcdhb8 Pcdhb8	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhb9 pcdhb9	Pcdhb9 Pcdhb9	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga1 pcdhga1	Pcdhga1 Pcdhga1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga10 pcdhga10	Pcdhga10 Pcdhga10	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga11 pcdhga11	Pcdhga11 Pcdhga11	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga12 pcdhga12	Pcdhga12 Pcdhga12	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga2 pcdhga2	Pcdhga2 Pcdhga2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga3 pcdhga3	Pcdhga3 Pcdhga3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga4 pcdhga4	Pcdhga4 Pcdhga4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga5 pcdhga5	Pcdhga5 Pcdhga5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga6 pcdhga6	Pcdhga6 Pcdhga6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga7 pcdhga7	Pcdhga7 Pcdhga7	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga8 pcdhga8	Pcdhga8 Pcdhga8	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhga9 pcdhga9	Pcdhga9 Pcdhga9	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb1 pcdhgb1	Pcdhgb1 Pcdhgb1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb2 pcdhgb2	Pcdhgb2 Pcdhgb2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb4 pcdhgb4	Pcdhgb4 Pcdhgb4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb5 pcdhgb5	Pcdhgb5 Pcdhgb5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb6 pcdhgb6	Pcdhgb6 Pcdhgb6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb7 pcdhgb7	Pcdhgb7 Pcdhgb7	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgb8 pcdhgb8	Pcdhgb8 Pcdhgb8	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgc3 pcdhgc3	Pcdhgc3 Pcdhgc3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgc4 pcdhgc4	Pcdhgc4 Pcdhgc4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pcdhgc5 pcdhgc5	Pcdhgc5 Pcdhgc5	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pdgfa pdgfrb	Pdgfa Pdgfrb	cellchat_full	yes	M20A-LIANA-REMAINING-0197	uncertain	Remaining LIANA pair searched in bounded exact-pair and expanded-family pass. Expanded search verdict=needs_manual_review.
pdgfb pdgfra	Pdgfb Pdgfra	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
pdgfb pdgfrb	Pdgfb Pdgfrb	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
pdgfd pdgfrb	Pdgfd Pdgfrb	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
pecam1 cd177	Pecam1 Cd177	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pecam1 cd38	Pecam1 Cd38	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pecam1 pecam1	Pecam1 Pecam1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgd2-akr1c3 ptgdr2	PGD2-AKR1C3 Ptgdr2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgd2-akr1c3 ptgfr	PGD2-AKR1C3 Ptgfr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgd2-ptgds ptgdr	PGD2-PTGDS Ptgdr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgd2-ptgds ptgdr2	PGD2-PTGDS Ptgdr2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges ptger1	PGE2-PTGES Ptger1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges ptger2	PGE2-PTGES Ptger2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges ptger3	PGE2-PTGES Ptger3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
