pair_key	pair_label_canonical	liana_status	module20a_status	review_id	current_confidence	prior_notes
sema4g plxnb2	Sema4g Plxnb2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sema5a plxna1	Sema5a Plxna1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sema5a plxnb3	Sema5a Plxnb3	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sema6a plxna2	Sema6a Plxna2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sema6a plxna4	Sema6a Plxna4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sema6b plxna4	Sema6b Plxna4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
sparc eng	Sparc Eng	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
spon2 itga4	Spon2 Itga4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
spon2 itga5	Spon2 Itga5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
spon2 itgb1	Spon2 Itgb1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tac1 tacr1	Tac1 Tacr1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tac1 tacr2	Tac1 Tacr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfa egfr_erbb2	Tgfa Egfr_erbb2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb1 acvr1b_tgfbr2	Tgfb1 Acvr1b_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb1 acvr1c_tgfbr2	Tgfb1 Acvr1c_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb1 acvrl1	Tgfb1 Acvrl1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb2 acvr1b_tgfbr2	Tgfb2 Acvr1b_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb2 acvr1c_tgfbr2	Tgfb2 Acvr1c_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb3 acvr1b_tgfbr2	Tgfb3 Acvr1b_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tgfb3 acvr1c_tgfbr2	Tgfb3 Acvr1c_tgfbr2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnf tnfrsf1a	Tnf Tnfrsf1a	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnf tnfrsf1b	Tnf Tnfrsf1b	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf10 tnfrsf10b	Tnfsf10 Tnfrsf10b	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf11 lgr4	Tnfsf11 Lgr4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf11 tnfrsf11a	Tnfsf11 Tnfrsf11a	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf11 tnfrsf11b	Tnfsf11 Tnfrsf11b	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf12 tnfrsf12a	Tnfsf12 Tnfrsf12a	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf13 tnfrsf13b	Tnfsf13 Tnfrsf13b	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf13 tnfrsf17	Tnfsf13 Tnfrsf17	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf13b tnfrsf13b	Tnfsf13b Tnfrsf13b	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf13b tnfrsf13c	Tnfsf13b Tnfrsf13c	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf13b tnfrsf17	Tnfsf13b Tnfrsf17	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf14 ltbr	Tnfsf14 Ltbr	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf14 tnfrsf14	Tnfsf14 Tnfrsf14	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf15 tnfrsf25	Tnfsf15 Tnfrsf25	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf18 tnfrsf18	Tnfsf18 Tnfrsf18	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf4 tnfrsf4	Tnfsf4 Tnfrsf4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnfsf8 tnfrsf8	Tnfsf8 Tnfrsf8	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
tnn itga2b_itgb3	Tnn ITGA2B_ITGB3	liana_consensus	no	M20A-EXT-0488	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnn itga9_itgb1	Tnn ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0490	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnn itgav_itgb3	Tnn ITGAV_ITGB3	liana_consensus	no	M20A-EXT-0491	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnn itgav_itgb6	Tnn ITGAV_ITGB6	liana_consensus	no	M20A-EXT-0492	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnn sdc1	Tnn Sdc1	liana_consensus	no	M20A-EXT-0493	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnr itga2b_itgb3	Tnr ITGA2B_ITGB3	liana_consensus	no	M20A-EXT-0494	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnr itga9_itgb1	Tnr ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0496	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnr itgav_itgb3	Tnr ITGAV_ITGB3	liana_consensus	no	M20A-EXT-0497	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
