UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9Y2J8	Q16613	11240	15	PADI2	AANAT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	-	-
Q9Y2J8	P20273	11240	933	PADI2	CD22	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Mm:Q3UP36	Dr:A4JYK0;Rn:D3ZD88
Q9Y2J8	Q9Y2H5	11240	22874	PADI2	PLEKHA6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	-	-
Q9Y2J8	Q16512	11240	5585	PADI2	PKN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Mm:P70268;Rn:Q63433	-
Q9Y2J8	F5H5K5	11240	-	PADI2	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	-	-
Q9Y2J8	Q8N0V5	11240	2651	PADI2	GCNT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	-	Mm:Q6T5E4;Rn:Q6T5E1
Q9Y2J8	P62826	11240	5901	PADI2	RAN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Ce:O17915;Dm:Q9VZ23;Dr:P79735;Mm:P62827;Rn:P62828;Sc:P32835;Sc:P32836	-
Q9Y2J8	Q9H4P4	11240	10193	PADI2	RNF41	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Dm:Q9VUV7;Mm:Q8BH75;Rn:A0A0G2K4P8	Dr:F1QIM8
Q9Y2J8	Q96M96	11240	121512	PADI2	FGD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Mm:Q91ZT5	Dr:F1QAA5;Rn:A0A0G2K8X0
Q9Y2J8	O43711	11240	30012	PADI2	TLX3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QTZ4;Mm:Q08642;Rn:F1LPA6	-	Mm:O55144;Rn:G3V6M6	Dr:F1QSY0
