UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8NEZ4	P09630	58508	3223	KMT2C	HOXC6	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;21683083	Homo sapiens	GTRD;TRRUST	Yes	Dr:F1Q6F2	Mm:F8WI37	Mm:P10629;Rn:G3V841	-
Q8NEZ4	Q16555	58508	1808	KMT2C	DPYSL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	-	-
Q8NEZ4	Q8N0Z8	58508	126789	KMT2C	PUSL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Ce:Q95XD5;Dm:Q0E8K6;Mm:A2ADA5;Rn:A0A0G2K730	Dr:F1QJL2
Q8NEZ4	Q6ZMZ3	58508	161176	KMT2C	SYNE3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Dr:X1WGA9;Mm:Q4FZC9;Rn:D3ZD24	-
Q8NEZ4	Q9NPG8	58508	55146	KMT2C	ZDHHC4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Dr:F1QAM1;Mm:Q9D6H5;Rn:F1LQN6	-
Q8NEZ4	Q8IWB1	58508	85450	KMT2C	ITPRIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Dr:F1QNF7;Mm:Q3TNL8	Rn:A0A096MJ54
Q8NEZ4	P0CG48	58508	7316	KMT2C	UBC	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Dm:P0CG69;Dm:Q9W418;Dr:F1QHN6;Mm:P0CG50;Rn:F1LML2	-
Q8NEZ4	Q96RR1	58508	56652	KMT2C	TWNK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Ce:Q5WRT0;Dr:A0A0R4ICC1;Mm:Q8CIW5;Rn:D3ZA68	-
Q8NEZ4	P47989	58508	7498	KMT2C	XDH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Ce:O17892;Dm:P10351;Dr:E7F022;Mm:Q00519;Rn:F1LQS6	-
Q8NEZ4	Q8IY17	58508	10908	KMT2C	PNPLA6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1Q6F2	Mm:F8WI37	Dr:F1R844;Mm:Q3TRM4;Rn:M0R715	-
