UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
A2AQ19	Q8BVI5	76246	228960	Rtf1	Stx16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:O14662;Hs:H3BU86;Ce:Q9TY08;Dm:Q9VR90;Rn:A0A0G2K528;Sc:Q08144	Dr:A0A2R8Q071
A2AQ19	Q08509	76246	13860	Rtf1	Eps8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q12929	Dr:A0A0R4IID9;Rn:F1M3L7
A2AQ19	Q99JB0	76246	93691	Rtf1	Klf7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:O75840;Dr:F1Q810;Dr:Q5TYN4	Rn:F1M8Z3
A2AQ19	Q9QZ09	76246	18685	Rtf1	Phtf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q9UMS5;Dr:A9ULS8;Rn:F1M8G0	-
A2AQ19	P61979	76246	15387	Rtf1	Hnrnpk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:P61978;Ce:P91277	Rn:Q5D059
A2AQ19	Q9D8N0	76246	67160	Rtf1	Eef1g	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:P26641;Ce:P54412;Dm:Q9NJH0;Dr:Q6PE25;Rn:Q68FR6;Sc:P36008;Sc:P29547	-
A2AQ19	P97457	76246	17907	Rtf1	Mylpf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q96A32;Dr:Q66I73	Dr:O93409;Rn:P04466
A2AQ19	O88939	76246	16969	Rtf1	Zbtb7a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:O95365;Rn:G3V8P6	-
A2AQ19	Q5F2E7	76246	68564	Rtf1	Nufip2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q7Z417;Rn:D3ZC82	-
A2AQ19	Q99KU0	76246	75909	Rtf1	Vmp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q96GC9;Ce:Q9XWU8;Dr:F1Q6C7;Rn:Q91ZQ0	Dm:Q7KVQ7
A2AQ19	O35652	76246	16875	Rtf1	Lhx8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
A2AQ19	P07901	76246	15519	Rtf1	Hsp90aa1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:P07900;Rn:P82995	-
A2AQ19	Q14B71	76246	108912	Rtf1	Cdca2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q69YH5;Rn:D4ADI8	-
A2AQ19	Q8CDP0	76246	76223	Rtf1	Agbl3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q8NEM8;Rn:D3ZNU5	-
A2AQ19	Q99KW3	76246	110253	Rtf1	Triobp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q9H2D6;Rn:A0A0G2K1P8	-
A2AQ19	P62242	76246	20116	Rtf1	Rps8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:P62241;Ce:P48156;Dm:Q8MLY8;Dr:P62247;Dr:B5DDE8;Rn:P62243;Sc:P0CX39	Rn:M0R7Q5
A2AQ19	G5E856	76246	67287	Rtf1	Parp6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q2NL67;Rn:G3V9P8	-
A2AQ19	Q80W00	76246	52040	Rtf1	Ppp1r10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q96QC0;Dm:Q9VZQ1;Dr:A3KPX4;Rn:A0A0G2K3G9	-
A2AQ19	C0HKE5	76246	319164;319165;319166;319167;319170;319171;319172;319191;665433	Rtf1	H2ac11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
A2AQ19	P16546	76246	-	Rtf1	Sptan1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
A2AQ19	Q8CI51	76246	56376	Rtf1	Pdlim5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:Q96HC4;Dr:A0A0R4IN44;Rn:Q62920	-
A2AQ19	O88888	76246	57267	Rtf1	Apba3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:O96018;Rn:O70248	-
A2AQ19	Q9CS74	76246	70601	Rtf1	Ecd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	Hs:O95905;Dm:Q9W032;Dr:F1QAN3;Rn:D3ZA55	-
A2AQ19	Q9D937	76246	66276	Rtf1	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
A2AQ19	Q8K2A7	76246	70885	Rtf1	Ints10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
A2AQ19	P0DP28	76246	12313;12314;12315	Rtf1	Calm3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q92541;Ce:G5EBY0;Dm:Q9W261;Sc:P53064	-	-	-
