UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8IYH5	Q330K2	26009	137682	ZZZ3	NDUFAF6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q17477;Dm:Q9VYS5;Dr:F1QP26;Mm:A2AIL4;Rn:A0A0H2UI06	-
Q8IYH5	P25205	26009	4172	ZZZ3	MCM3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	-	-
Q8IYH5	P62701	26009	6191	ZZZ3	RPS4X	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:Q642H9;Mm:P62702	Rn:A0A0H2UHX3
Q8IYH5	P52926	26009	8091	ZZZ3	HMGA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:G5EEL9;Mm:P52927;Rn:O88791	Dr:Q6P038
Q8IYH5	Q6UXK2	26009	57611	ZZZ3	ISLR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q5RKR3;Rn:M0R4G0	-
Q8IYH5	O75164	26009	9682	ZZZ3	KDM4A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q8BW72;Rn:A0A0G2K5I7	-
Q8IYH5	Q9BVI0	26009	51230	ZZZ3	PHF20	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q8BLG0;Rn:D3ZQB7	Dr:A8HAK1
Q8IYH5	Q13838	26009	7919	ZZZ3	DDX39B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q18212;Dm:Q27268;Dr:Q7SXU7;Mm:Q9Z1N5;Rn:Q63413;Sc:Q07478	-
Q8IYH5	P18621	26009	6139	ZZZ3	RPL17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	-	-
Q8IYH5	Q9NRA8	26009	56478	ZZZ3	EIF4ENIF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:Q5BL27;Mm:Q9EST3;Rn:D4ACF1	-
Q8IYH5	P62807	26009	3017;8339;8343;8344;8346;8347	ZZZ3	H2BC4;H2BC6;H2BC7;H2BC8;H2BC10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	-	-
Q8IYH5	Q96GE5	26009	90576	ZZZ3	ZNF799	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	-	-
Q8IYH5	P62917	26009	6132	ZZZ3	RPL8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q9XVF7;Dm:Q9V3G1;Dr:Q6P0V6;Mm:P62918;Sc:P0CX45	Rn:P62919
Q8IYH5	Q8NHP6	26009	158747	ZZZ3	MOSPD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dm:Q8I935;Rn:A0A0G2K8D1	Ce:Q10956;Dr:F1R8U1;Mm:B1AU74
Q8IYH5	Q8NFP4	26009	266727	ZZZ3	MDGA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q9TXI8;Rn:A0A140TAF4	Dm:Q6IDE9;Mm:Q0PMG2
Q8IYH5	P10589	26009	7025	ZZZ3	NR2F1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q32NY6;Rn:F2Z3S9	-
Q8IYH5	Q16612	26009	9315	ZZZ3	NREP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q07475;Rn:Q80Z34	-
Q8IYH5	P63279	26009	7329	ZZZ3	UBE2I	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q95017;Dm:Q7KNM2;Dr:Q9W6H5;Dr:Q9DDJ0;Mm:P63280;Sc:P50623	Rn:P63281
Q8IYH5	Q7Z692	26009	56971	ZZZ3	CEACAM19	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q3TQ88	Rn:D3ZE93
Q8IYH5	O43504	26009	10542	ZZZ3	LAMTOR5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:E7FA90	Mm:G3UW70
Q8IYH5	Q86Y26	26009	256646	ZZZ3	NUTM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q8BHP2;Rn:D3ZMR4	-
Q8IYH5	P52756	26009	10181	ZZZ3	RBM5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q91YE7;Rn:B2GV05	Dr:A0A0G2L3H6
Q8IYH5	P49768	26009	5663	ZZZ3	PSEN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:F1Q8Y6;Mm:P49769;Rn:P97887	-
Q8IYH5	O60725	26009	23463	ZZZ3	ICMT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:P91266;Ce:P91402;Dm:Q9VU37;Mm:Q3U4N2;Sc:P32584	Dr:F1R5J9;Rn:Q9WVM4
Q8IYH5	Q14202	26009	9203	ZZZ3	ZMYM3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q9JLM4;Rn:E9PTE5	-
Q8IYH5	Q6P9B9	26009	80789	ZZZ3	INTS5	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q9U267;Dm:Q9VFS6;Mm:Q8CHT3;Rn:D3ZTW1	Dr:A0A0R4IY96
Q8IYH5	A8K855	26009	84455	ZZZ3	EFCAB7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:F6XAI7	Dr:F1QTG3;Rn:D3ZZK0
Q8IYH5	Q13686	26009	8846	ZZZ3	ALKBH1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dm:Q7KUZ2;Dr:E9QHS2;Mm:P0CB42;Rn:D3Z8W2	Ce:E0DBL0
Q8IYH5	Q96GX9	26009	51074	ZZZ3	APIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q23261;Dm:Q9VY93;Mm:Q9WVQ5;Rn:D3ZUI1;Sc:P47095	-
Q8IYH5	P21980	26009	7052	ZZZ3	TGM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:Q1ECX3;Mm:P21981;Rn:Q9WVJ6	-
Q8IYH5	Q6P4E1	26009	113201	ZZZ3	GOLM2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:E7FBP9;Mm:Q6P2L7;Rn:D3ZW58	-
Q8IYH5	P21673	26009	6303	ZZZ3	SAT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Dr:Q7T174;Mm:P48026	Dr:Q4V8U3;Rn:Q7TP41
Q8IYH5	Q9BY07	26009	57835	ZZZ3	SLC4A5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:D3YVG0;Rn:Q6RI88	-
Q8IYH5	A0A1B0GUT2	26009	-	ZZZ3	C10orf143	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q9CX25;Rn:M0RDT1	-
Q8IYH5	P09132	26009	6728	ZZZ3	SRP19	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:O61749;Dm:P49963;Dr:Q7T3C9;Mm:Q9D104;Rn:B2RZ66	-
Q8IYH5	P60983	26009	2764	ZZZ3	GMFB	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q9CQI3;Rn:M0RDJ4	Dr:Q7ZUD3
Q8IYH5	P06899	26009	8970	ZZZ3	H2BC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	-	-
Q8IYH5	P04062	26009	2629	ZZZ3	GBA	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Ce:Q9UB00;Ce:G5ECR8;Dm:Q9VCJ4;Dm:Q8IMY3;Dr:E7EZM1;Mm:P17439;Rn:B2RYC9	-
Q8IYH5	C9JQI7	26009	642987	ZZZ3	TMEM232	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4	Mm:Q5K6N0	Dr:A5WVS1;Rn:A0A0H2UHU7
