UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
E9PYH6	A2AM05	233904	338349	Setd1a	Cntln	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9NXG0;Dr:F1QX00	-
E9PYH6	O08759	233904	22215	Setd1a	Ube3a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q05086;Dm:Q9VTH1;Dr:F1R4B5;Rn:F1M7B8	-
E9PYH6	P35761	233904	-	Setd1a	Ttk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P33981;Dr:F1R3H9;Rn:A0A0G2K2S5	-
E9PYH6	F8VQ15	233904	30806	Setd1a	Adamts8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9UP79;Dr:A2BIA2;Rn:D4AAT1	-
E9PYH6	P0CG15	233904	214987	Setd1a	Chtf8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P0CG13;Ce:Q22664;Dm:Q2PDX2;Dr:Q1LUE7;Rn:P0C6T1	-
E9PYH6	Q9CR25	233904	67728	Setd1a	Dph2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9BQC3;Ce:Q09454;Dm:Q9VFE9;Rn:Q568Y2	Dr:A4QN59
E9PYH6	E9Q3D4	233904	66065	Setd1a	Hsd17b14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9BPX1;Rn:D4A4Y2;Sc:P40579;Sc:P40580	Dr:Q6DEH9
E9PYH6	Q9WU84	233904	12460	Setd1a	Ccs	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:O14618;Rn:A0A0G2JSZ9;Sc:P40202	Dm:A1Z850;Dr:F1QCS3
E9PYH6	P09602	233904	15331	Setd1a	Hmgn2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	-
E9PYH6	Q04841	233904	268395	Setd1a	Mpg	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P29372;Rn:D3ZEM0	Dr:F1R6S6
E9PYH6	Q9DAR7	233904	69305	Setd1a	Dcps	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q96C86;Ce:G5EFS4;Dm:Q9VNH5;Dr:F1R776;Rn:Q3B8P4;Sc:Q12123	-
E9PYH6	Q91V24	233904	27403	Setd1a	Abca7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	-
E9PYH6	Q80ZK9	233904	230796	Setd1a	Wdtc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q8N5D0;Ce:Q4W5Q8;Dm:Q7K7W5;Rn:D4A7Z0	Dr:B3DJF2
E9PYH6	Q8BL86	233904	72852	Setd1a	Mblac2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q68D91;Ce:Q17596;Dr:B0R0T6;Rn:D4A249	-
E9PYH6	P50540	233904	17859	Setd1a	Mxi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P50539;Rn:Q642D1	Dr:A3KQG1
E9PYH6	Q8C5W3	233904	272589	Setd1a	Tbcel	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q5QJ74;Hs:A0A2R8YFB7;Ce:H2KYZ5;Dm:Q7K549;Dr:F1QNT3;Rn:Q5PQJ7	-
E9PYH6	Q80VY9	233904	216877	Setd1a	Dhx33	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9H6R0;Dm:Q9VL25;Dr:X1WET4;Rn:D3ZSV6;Sc:P36009	Ce:O01598
E9PYH6	Q8K1M4	233904	230587	Setd1a	Glis1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	Hs:A0A0D9SEX9;Rn:F1LVY3
E9PYH6	P56376	233904	66204	Setd1a	Acyp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	-
E9PYH6	Q9DBU0	233904	74140	Setd1a	Tm9sf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:E9PSI1;Dr:F1R852;Rn:Q66HF2	Hs:E9PS99
E9PYH6	Q8VEK0	233904	69981	Setd1a	Tmem30a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9NV96;Ce:H2L0H3;Dr:F1QEI3	Dm:X2JKP3;Dr:Q5VSE9;Rn:A0A0G2JXG3
E9PYH6	Q9D9N8	233904	73327	Setd1a	Pradc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9BSG0;Dm:Q9W1W9;Rn:M0R5K7	-
E9PYH6	Q922X9	233904	214572	Setd1a	Prmt7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9NVM4;Dm:Q9W1V1;Dr:A2AV36;Rn:Q5U4E8	Ce:Q9XW42
E9PYH6	Q9EQT3	233904	69581	Setd1a	Rhou	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q7L0Q8;Ce:Q19739;Dr:Q5U3T8;Rn:A0A0G2JW83	-
E9PYH6	Q62315	233904	16468	Setd1a	Jarid2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q92833;Rn:M0RBV7	-
E9PYH6	P21836	233904	11423	Setd1a	Ache	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P22303;Dr:Q9DDE3;Rn:A0A0G2K6V0	-
E9PYH6	Q9CQ24	233904	66153	Setd1a	Fbxo36	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q8NEA4;Dr:F1RC78;Rn:D3Z9E4	Dr:B0UXM1
E9PYH6	Q3TJD7	233904	67399	Setd1a	Pdlim7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9NR12;Rn:Q9Z1Z9	-
E9PYH6	Q9WTX2	233904	23992	Setd1a	Prkra	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:O75569;Rn:G3V7J2	-
E9PYH6	P18760	233904	12631	Setd1a	Cfl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P23528;Dr:Q6TH32;Rn:P45592	-
E9PYH6	Q8VCH6	233904	74754	Setd1a	Dhcr24	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Dr:F1QUM4;Rn:Q5BQE6	Hs:A0A0A0MTI1;Ce:O17397
E9PYH6	Q9CXV1	233904	66925	Setd1a	Sdhd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:O14521;Ce:O62215;Rn:Q6PCT8	Hs:H3BRW5;Dr:Q68FN7;Dr:Q6DGM2
E9PYH6	Q9CX62	233904	68176	Setd1a	Inka1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Dr:F1QR98;Dr:F1QPR4;Rn:D4AA62	Hs:A0A499FIG1
E9PYH6	Q6ZWY8	233904	19240	Setd1a	Tmsb10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	-
E9PYH6	G3X8Q8	233904	229503	Setd1a	Rrnad1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q96FB5;Ce:Q93574;Dm:A8DY65;Dr:A0A0R4IL77	Rn:Q6AYG0
E9PYH6	Q8C0E3	233904	217333	Setd1a	Trim47	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q96LD4;Rn:D3ZA22	-
E9PYH6	Q60809	233904	18983	Setd1a	Cnot7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9UIV1;Dr:Q08BM8;Rn:B3DMA5	-
E9PYH6	Q8BNJ3	233904	226518	Setd1a	Nmnat2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9BZQ4;Rn:F1LPZ7	Dr:Z4YHK7
E9PYH6	P47754	233904	12343	Setd1a	Capza2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:P47755;Rn:Q3T1K5	-
E9PYH6	Q61074	233904	14208	Setd1a	Ppm1g	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:O15355;Ce:P49595;Dm:Q7K4Q5;Rn:A0A0H2UHT5	-
E9PYH6	G3X9T1	233904	69930	Setd1a	Zfp715	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Rn:F1M700	-
E9PYH6	G3X942	233904	231605	Setd1a	Galnt9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9HCQ5;Dr:F1Q6D3;Rn:D3ZQA1	-
E9PYH6	Q8R1M2	233904	232440	Setd1a	H2aj	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	-	-
E9PYH6	Q9CRA8	233904	27998	Setd1a	Exosc5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q9NQT4;Ce:G5EG59;Dm:Q9VGZ2;Dr:Q1LVM3;Rn:F1LSX7;Sc:P53256	-
E9PYH6	Q8BP99	233904	230757	Setd1a	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q8TAB5	Rn:D3ZVC1
E9PYH6	F6SEU4	233904	240057	Setd1a	Syngap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E9QGQ0	-	Hs:Q96PV0;Dr:F1QY93;Rn:F1LQW8	-
