UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q52M93	Q96N06	92285	124045	ZNF585B	SPATA33	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8C624;Rn:D3Z8L2	-
Q52M93	Q08397	92285	4016	ZNF585B	LOXL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:A0A0R4J0Q4;Rn:Q5FWS5	Dr:F1QD91
Q52M93	P18074	92285	2068	ZNF585B	ERCC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q7KVP9;Dr:F1Q5E7;Mm:O08811;Rn:D3ZEG9;Sc:P06839	-
Q52M93	Q96FN9	92285	112487	ZNF585B	DTD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QCP5;Mm:Q8BHA3;Rn:B0K034	-
Q52M93	Q8NEY8	92285	51535	ZNF585B	PPHLN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q52M93	Q9HD42	92285	5119	ZNF585B	CHMP1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q921W0;Rn:D4AE79	Dr:A0A0R4IC92
Q52M93	O15209	92285	9278	ZNF585B	ZBTB22	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q24174;Dr:Q1LUU5;Mm:Q9Z0G7;Rn:Q6MGC7	-
Q52M93	Q9BTE3	92285	79892	ZNF585B	MCMBP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VM60;Mm:Q8R3C0;Rn:B1H268	-
Q52M93	Q86YL7	92285	10630	ZNF585B	PDPN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q52M93	Q7Z340	92285	90233	ZNF585B	ZNF551	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:B2RUI1;Rn:M0R3W5	-
Q52M93	P49407	92285	408	ZNF585B	ARRB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:C3PTE8;Rn:P29066	Mm:J3QNU6
Q52M93	Q9P260	92285	57614	ZNF585B	RELCH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:D3ZJ01	Dr:A0A0R4IBI3;Mm:E9QM90
Q52M93	Q9NUQ9	92285	51571	ZNF585B	CYRIB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q921M7;Rn:B2GUZ9	Dr:Q6NYL6
Q52M93	O95427	92285	23556	ZNF585B	PIGN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q52M93	Q8N5Y2	92285	10943	ZNF585B	MSL3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:P50536;Mm:Q9WVG9;Rn:Q5RJQ2	-
Q52M93	O75069	92285	9911	ZNF585B	TMCC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
