UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q3KP31	Q8NCG7	163049	221955	ZNF791	DAGLB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Ce:H2KY93;Dr:E7FDG8;Mm:Q91WC9	Rn:D3Z890
Q3KP31	P58658	163049	59271	ZNF791	EVA1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:E9QCY1;Mm:P58659;Rn:D4A895	-
Q3KP31	Q96ID5	163049	84966	ZNF791	IGSF21	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q7TNR6	Rn:A0A2U3UXS5
Q3KP31	Q96GS6	163049	81926	ZNF791	ABHD17A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:F1R0S2;Dr:E7FGL4;Mm:Q99JW1;Rn:Q5XIJ5	-
Q3KP31	Q9GZV7	163049	60484	ZNF791	HAPLN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:A2CF10;Mm:Q9ESM3;Rn:G3V8G6	-
Q3KP31	P42226	163049	6778	ZNF791	STAT6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	-	-
Q3KP31	Q9Y5Z4	163049	23593	ZNF791	HEBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:Q5SPA1;Mm:Q9WU63;Rn:D3ZHC4	-
Q3KP31	P00813	163049	100	ZNF791	ADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:P03958;Rn:Q920P6;Sc:P53909	Dr:F1RA33
Q3KP31	P55160	163049	3071	ZNF791	NCKAP1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q8K1X4	Dr:F1Q6L5;Rn:A0A0G2JUF9
Q3KP31	A0A1B0GTJ6	163049	-	ZNF791	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	-	Mm:A0A571BEL8
Q3KP31	Q9Y3Q8	163049	81628	ZNF791	TSC22D4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q9EQN3	Rn:Q3B8N7
Q3KP31	O15409	163049	93986	ZNF791	FOXP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:P58463;Rn:P0CF24	Dr:H0WFE7
Q3KP31	Q9H1J5	163049	7478	ZNF791	WNT8A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	-	-
Q3KP31	Q7Z4T8	163049	168391	ZNF791	GALNTL5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Ce:O45293;Mm:Q9D4M9;Rn:Q6AYL7	-
Q3KP31	Q3KNV8	163049	10336	ZNF791	PCGF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dm:Q9VV77;Mm:Q8BTQ0;Rn:B2RZ26	-
Q3KP31	Q17R98	163049	152485	ZNF791	ZNF827	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:F1RA62	Mm:A0A571BE87;Rn:F1LVT1
Q3KP31	Q12846	163049	6810	ZNF791	STX4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:Q7ZV18;Mm:P70452;Rn:G3V8I4	-
Q3KP31	Q8NEF9	163049	153443	ZNF791	SRFBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q9CZ91;Rn:Q66H19	-
Q3KP31	O00560	163049	6386	ZNF791	SDCBP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:Q803J6;Dr:F1QFG9;Mm:O08992;Rn:Q9JI92	-
Q3KP31	Q9BXF6	163049	26056	ZNF791	RAB11FIP5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	-	-
Q3KP31	P56962	163049	55014	ZNF791	STX17	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q9D0I4;Rn:Q9Z158	Dm:Q9VZC9;Dr:F1QFP8
Q3KP31	Q9H6R4	163049	65083	ZNF791	NOL6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dm:Q8IH00;Dr:F1Q4S6;Mm:Q8R5K4;Rn:A0A0G2QC27;Sc:P53254	-
Q3KP31	Q9C019	163049	89870	ZNF791	TRIM15	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Rn:D3ZRI0	Mm:Q8R096
Q3KP31	P31431	163049	6385	ZNF791	SDC4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:O35988;Rn:P34901	-
Q3KP31	O00622	163049	3491	ZNF791	CCN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:F1QL10;Mm:P18406;Rn:Q66HT5	-
Q3KP31	Q14161	163049	9815	ZNF791	GIT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dm:Q95RG8;Dr:A2BG45;Rn:Q66H91	Mm:E9PVA6
Q3KP31	P43268	163049	2118	ZNF791	ETV4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:F1RD02;Rn:A0A0G2JX95	Mm:A2A5C3
Q3KP31	Q9NXE8	163049	54883	ZNF791	CWC25	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dm:Q9VQF5;Dr:Q7ZVW8;Mm:Q9DBF7;Rn:G3V6I3	-
Q3KP31	Q9NRE2	163049	128553	ZNF791	TSHZ2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q68FE9	Rn:M0R6R4
Q3KP31	Q9Y2Z2	163049	25821	ZNF791	MTO1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Ce:Q20680;Dm:Q9W245;Dr:F1R509;Mm:G5E889;Rn:F1LYH3;Sc:P53070	-
Q3KP31	Q9NQX0	163049	93166	ZNF791	PRDM6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Mm:Q3UZD5	Rn:D3ZQA6
Q3KP31	O14641	163049	1856	ZNF791	DVL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q497V9	Rn:F1LUZ0	Dr:F1QM97;Mm:Q60838;Rn:D3ZB71	-
