UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8N5P1	O14976	84524	2580	ZC3H8	GAK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Dr:A0A0R4IWM3;Mm:A0A0R4J0F6;Rn:F1LMD9	-
Q8N5P1	Q99832	84524	10574	ZC3H8	CCT7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Ce:Q9TZS5;Dm:Q9VHL2;Dr:B3DKJ0;Mm:P80313;Rn:D4AC23;Sc:P42943	-
Q8N5P1	Q86VH2	84524	55582	ZC3H8	KIF27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Mm:Q7M6Z4;Rn:Q7M6Z5	-
Q8N5P1	Q00536	84524	5127	ZC3H8	CDK16	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JJ48;Rn:Q6AYB0	-	-	-
Q8N5P1	Q9C093	84524	79925	ZC3H8	SPEF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Mm:Q8C9J3	Dr:A0A0R4IPA7;Rn:A0A0G2JXL6
Q8N5P1	Q9Y3A2	84524	51118	ZC3H8	UTP11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Dr:A2BGW6;Mm:Q9CZJ1;Rn:B5DF84;Sc:P34247	Ce:Q09462
Q8N5P1	Q8IWT1	84524	6330	ZC3H8	SCN4B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Dr:Q06W26;Dr:Q06W25;Mm:Q7M729;Rn:Q7M730	-
Q8N5P1	Q07020	84524	6141	ZC3H8	RPL18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Ce:O45946;Dm:Q9VS34;Dr:Q6DGL0;Mm:P35980;Rn:A0A0H2UHS7;Sc:P0CX49	-
Q8N5P1	P0DPD6	84524	110599583;9718	ZC3H8	ECE2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	-	-
Q8N5P1	Q9NSK7	84524	83636	ZC3H8	C19orf12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	-	-
Q8N5P1	Q32MZ4	84524	9208	ZC3H8	LRRFIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Mm:Q3UZ39;Rn:Q66HF9	-
Q8N5P1	Q9BWQ6	84524	78992	ZC3H8	YIPF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Mm:Q99LP8;Rn:Q5XIT3	-
Q8N5P1	A6ND01	84524	390243	ZC3H8	IZUMO1R	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JJ48;Rn:Q6AYB0	-	Mm:Q9EQF4	Rn:F1M928
