UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UK61	Q9H147	23272	116092	TASOR	DNTTIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Ce:Q03615;Mm:Q99LB0;Rn:Q497A7	-
Q9UK61	P23588	23272	1975	TASOR	EIF4B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	-	-
Q9UK61	P51825	23272	4299	TASOR	AFF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Dm:Q6AWG9;Mm:E9Q921;Rn:A0A0G2K0C8	-
Q9UK61	P06899	23272	8970	TASOR	H2BC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	-	-
Q9UK61	Q16777	23272	8338	TASOR	H2AC20	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	-	-
Q9UK61	P23193	23272	6917	TASOR	TCEA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Dr:Q7T3C1;Mm:P10711;Rn:Q4KLL0	-
Q9UK61	Q58DX5	23272	254827	TASOR	NAALADL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Mm:A0A0N4SUJ3;Sc:Q08693	-
Q9UK61	Q9BV40	23272	8673	TASOR	VAMP8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Ce:Q95QZ1;Mm:A0A0R4J0R1;Rn:F1LNT8	Dr:Q7ZUC1
Q9UK61	Q92643	23272	10026	TASOR	PIGK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Ce:P49048;Dm:Q8T4E1;Dr:Q6IQM5;Rn:Q5XIP2;Sc:P49018	Mm:Q8BL63
Q9UK61	Q147X3	23272	122830	TASOR	NAA30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Rn:D3ZWS6	Mm:E9QMB7
Q9UK61	Q86U86	23272	55193	TASOR	PBRM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q69ZR9;Rn:M0RAP6	Dr:E7F306;Dr:E9QCF9	Ce:G5EEY5;Dm:Q9VC36;Dr:E7F8D8;Rn:D3ZT52	Mm:F8VQD1
