UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BIH0	Q9DBF1	269003	110695	Sap130	Aldh7a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P49419;Ce:P46562;Dm:Q8SXQ1;Dr:F1QR17;Rn:Q64057	-
Q8BIH0	Q9CQC4	269003	68642	Sap130	Tmem216	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9P0N5;Dm:Q9VHN0;Dm:Q8INQ3;Dr:E7EYQ9;Rn:B6ID01	Ce:C8JQP7
Q8BIH0	Q9WV89	269003	20913	Sap130	Stxbp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q6ZWJ1;Dr:U3JAI8;Rn:A0A0G2JXI5	-
Q8BIH0	A0A0R4J044	269003	59092	Sap130	Pcbp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P57723;Rn:D3ZCS3	Dr:F1Q8M8
Q8BIH0	Q921I9	269003	109075	Sap130	Exosc4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NPD3;Ce:Q17533;Dm:Q9VK19;Rn:D4A4Y0;Sc:P46948	Dr:A0A0R4IV90
Q8BIH0	P59764	269003	238130	Sap130	Dock4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N1I0	Dr:F6PC67;Rn:F1LZ81
Q8BIH0	Q9JLN9	269003	56717	Sap130	Mtor	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P42345;Dm:Q9VK45;Rn:P42346;Sc:P35169;Sc:P32600	Dr:F1Q9H9
Q8BIH0	Q9JM13	269003	56715	Sap130	Rabgef1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UJ41;Ce:Q8I100;Dm:Q9W0H9;Dr:Q6P6Y4	Rn:G3V631
Q8BIH0	Q9CQR7	269003	66340	Sap130	Psenen	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NZ42;Ce:Q9U357;Dm:Q86BE9;Dr:Q8JHF0;Rn:Q6QI68	-
Q8BIH0	Q9CQ28	269003	66632	Sap130	Dph6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q7L8W6;Ce:Q966L4;Dr:A2RV01;Rn:F1LP07	-
Q8BIH0	Q8K202	269003	64424	Sap130	Polr1e	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9GZS1;Dr:Q501W9;Rn:B0BN64;Sc:Q01080	-
Q8BIH0	Q3U3C9	269003	382034	Sap130	Gse1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q14687;Dr:Q1LWL6;Rn:F1M4A7	-
Q8BIH0	Q6ZQ88	269003	99982	Sap130	Kdm1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O60341;Dm:Q9VW97;Dr:F6NIA2;Rn:F1MA31	-
Q8BIH0	Q8BW10	269003	67619	Sap130	Nob1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9ULX3;Ce:Q9N3D3;Dm:Q9W2Y4;Rn:Q6VEU1;Sc:Q08444	Dr:I3ISV3
Q8BIH0	Q9D300	269003	74563	Sap130	Rasgef1c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N431;Rn:D3ZVN9	-
Q8BIH0	Q60936	269003	67426	Sap130	Coq8a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8NI60;Dr:Q5RGU1;Rn:Q5BJQ0	-
Q8BIH0	A0A0R4J0I6	269003	102632	Sap130	Acad11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q709F0;Rn:B3DMA2	-
Q8BIH0	P30282	269003	12445	Sap130	Ccnd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P30281;Ce:Q9U2M5;Rn:Q5U321	-
Q8BIH0	O08583	269003	21681	Sap130	Alyref	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:D3ZXH7	Hs:E9PB61
Q8BIH0	Q9CZH3	269003	66506	Sap130	Psmg3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BT73;Rn:D3ZIU2	Dr:Q6DGH7
Q8BIH0	Q9JIN6	269003	58802	Sap130	Kcnmb4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q86W47;Rn:Q9ESK8	-
Q8BIH0	Q3UV70	269003	381511	Sap130	Pdp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q8BIH0	A2AI05	269003	78797	Sap130	Ndor1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q8BIH0	Q9CYH2	269003	70564	Sap130	Prxl2a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q8BIH0	A2A791	269003	67785	Sap130	Zmym4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5VZL5;Dr:Q1LWY5;Rn:D4A069	Dr:F6NVC8
Q8BIH0	O35680	269003	24030	Sap130	Mrps12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O15235;Dm:P10735;Dr:E7F8G8;Rn:D3ZQX3	-
Q8BIH0	Q922J9	269003	67420	Sap130	Far1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8WVX9;Dr:A0A0R4ICF6	Rn:A0A096MJW2
Q8BIH0	Q9QXV1	269003	30951	Sap130	Cbx8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9HC52;Dr:Q6TH37;Dr:A8KC45;Rn:Q4FZS1	-
Q8BIH0	Q9WV98	269003	30056	Sap130	Timm9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y5J7;Ce:Q17754;Dm:Q9VYD7;Dr:E7FC78;Rn:Q9WV97;Sc:O74700	-
Q8BIH0	Q69ZC8	269003	67467	Sap130	Gpalpp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8IXQ4;Ce:Q93591;Dm:Q9VFF2;Dr:Q6DBU2;Rn:Q4V893	-
Q8BIH0	A2A690	269003	77097	Sap130	Tanc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9HCD6	Rn:A0A0G2K9J0
Q8BIH0	Q3TIV5	269003	69082	Sap130	Zc3h15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8WU90;Ce:Q93618;Dm:Q7JWR9;Dr:B8JLK7;Rn:Q6U6G5	-
Q8BIH0	G3X9F1	269003	27392	Sap130	Pign	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Ce:G4SNP0;Dr:E7EXW2;Rn:E9PTA5;Sc:P36051	Hs:A0A1W2PQA9
