UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96MN9	P42226	118738	6778	ZNF488	STAT6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	-	-
Q96MN9	P14651	118738	3213	ZNF488	HOXB3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Dr:O42368;Mm:P09026	Rn:F7FL39
Q96MN9	Q92526	118738	10693	ZNF488	CCT6B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Mm:Q61390;Rn:Q6AYJ7	-
Q96MN9	O94868	118738	9873	ZNF488	FCHSD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	-	-
Q96MN9	Q9Y3Q8	118738	81628	ZNF488	TSC22D4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Mm:Q9EQN3	Rn:Q3B8N7
Q96MN9	Q9ULK2	118738	222255	ZNF488	ATXN7L1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	-	Mm:F7C0E4;Rn:F1M9V0
Q96MN9	Q01101	118738	3642	ZNF488	INSM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Dr:Q7T3H2;Mm:Q63ZV0	Dr:F8W3Z6
Q96MN9	Q14699	118738	23180	ZNF488	RFTN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Dr:A0A0G2L3G6;Mm:Q6A0D4	Dr:E9QG04;Rn:G3V7I2
Q96MN9	O15234	118738	22794	ZNF488	CASC3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	Dr:Q1ECZ4;Mm:Q8K3W3;Rn:G3V793	Dm:A0A0B4KH64
Q96MN9	Q2M3X9	118738	641339	ZNF488	ZNF674	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q5HZG9	Rn:D4AAF0	-	-
