UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BZK7	Q9Y5K5	79718	51377	TBL1XR1	UCHL5	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Ce:Q09444;Dm:Q9XZ61;Dr:Q6NWL6;Mm:Q9WUP7;Rn:Q5HZY3	-
Q9BZK7	P04843	79718	6184	TBL1XR1	RPN1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Ce:Q9GZH4;Dr:F1QTB5;Mm:Q91YQ5;Rn:Q6P7A7;Sc:P41543	-
Q9BZK7	O43303	79718	9738	TBL1XR1	CCP110	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Mm:Q7TSH4	Rn:D4A3J9
Q9BZK7	Q16842	79718	6483	TBL1XR1	ST3GAL2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Mm:Q11204	Rn:G3V8B2
Q9BZK7	Q2Y0W8	79718	9498	TBL1XR1	SLC4A8	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Mm:Q8JZR6	Dr:E7FGE7;Rn:F1LUB7
Q9BZK7	P56182	79718	8568	TBL1XR1	RRP1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Ce:Q18674;Mm:P56183;Rn:Q5M9F3	-
Q9BZK7	P52757	79718	1124	TBL1XR1	CHN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	-	-
Q9BZK7	Q7Z6I5	79718	353324	TBL1XR1	SPATA12	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	-	-
Q9BZK7	Q96A49	79718	94056	TBL1XR1	SYAP1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Dr:F1R839;Mm:Q9D5V6;Rn:F7F350	Ce:O17591
Q9BZK7	R4GNA1	79718	-	TBL1XR1	MICOS10-NBL1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	-	-
Q9BZK7	P07902	79718	2592	TBL1XR1	GALT	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	Dm:Q9VMA2;Dr:E9QE09;Mm:A2AMS3;Rn:P43424;Sc:P08431	Ce:Q27536
Q9BZK7	O15479	79718	4113	TBL1XR1	MAGEB2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:A5PF33;Mm:Q8BHJ5;Sc:P38262	Rn:D3ZNF4	-	-
