UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BW72	Q810Q5	230674	433470	Kdm4a	Nmes1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9C002;Rn:M0R6G0	Dr:F1RE72
Q8BW72	Q9CWT3	230674	71982	Kdm4a	Snx10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Dr:F1Q506;Rn:Q5BJX4	Hs:A0A087WUJ3
Q8BW72	G3UW55	230674	380787	Kdm4a	Lbhd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:A0A0U1RRK4;Rn:D3ZC31	-
Q8BW72	E9Q444	230674	114565	Kdm4a	Zbtb21	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9ULJ3;Rn:D3ZVF2	-
Q8BW72	A2ASA8	230674	73338	Kdm4a	Itpripl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q6GPH6;Rn:Q66H52	-
Q8BW72	Q9JIL5	230674	68842	Kdm4a	Tulp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9NRJ4	Dm:Q9VB18;Dr:E7EXF2;Rn:D3ZFM2
Q8BW72	Q91Y19	230674	12942	Kdm4a	Pcdha11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9Y5I1	-
Q8BW72	A0A0A0MQ89	230674	109275	Kdm4a	Actr5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9H9F9;Dm:Q9VEC3;Rn:D3ZAQ1;Sc:P53946	Dr:A0A0R4IDJ2
Q8BW72	A0A1Y7VJR5	230674	20688	Kdm4a	Sp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q02446;Rn:Q63158	Dr:F1QVQ1
Q8BW72	Q99K45	230674	235050	Kdm4a	Zfp810	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	-	Rn:F1M829
Q8BW72	E9PUK2	230674	268822	Kdm4a	Adck5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q3MIX3;Dm:Q9VTG5;Rn:A0A0G2K6E7	Dr:F1Q5S6
Q8BW72	Q8VHJ5	230674	226778	Kdm4a	Mark1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9P0L2;Ce:Q9TW45;Rn:O08678	-
Q8BW72	E9Q343	230674	70713	Kdm4a	Gpr137c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q8N3F9;Rn:D3ZFP1	-
Q8BW72	Q3U435	230674	240047	Kdm4a	Mmp25	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9NPA2	Dr:E7F1N5
Q8BW72	Q8C0R9	230674	242838	Kdm4a	Lrrd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:A4D1F6	Rn:D4AD14
Q8BW72	Q8C5G2	230674	226841	Kdm4a	Vash2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q86V25	Dr:U3JAF6
Q8BW72	Q99NF3	230674	83922	Kdm4a	Cep41	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q9BYV8;Dr:Q6GQN0	Rn:A0A096MJP4
Q8BW72	Q99PU8	230674	72831	Kdm4a	Dhx30	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	-	-
Q8BW72	P19096	230674	14104	Kdm4a	Fasn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:P49327;Ce:P91871;Dr:E7F5V3;Rn:P12785	Dm:Q9VQL6
Q8BW72	Q99LC9	230674	224824	Kdm4a	Pex6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O75164;Dr:F1QNG0;Rn:A0A0G2K5I7	-	Hs:Q13608;Dr:F1QMB0;Rn:P54777	-
