UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96NB3	P82664	91603	55173	ZNF830	MRPS10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Dr:Q1LVB6;Mm:G5E8U5	Rn:A0A0G2K7L0
Q96NB3	Q9H082	91603	83452	ZNF830	RAB33B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	-	-
Q96NB3	O95400	91603	10421	ZNF830	CD2BP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Ce:Q9NAH3;Dm:Q9VKV5;Dr:F1Q9M2;Mm:Q9CWK3;Rn:B4F786	-
Q96NB3	Q9BZV1	91603	80700	ZNF830	UBXN6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Ce:Q8WTJ4;Dm:Q7K0S5;Dr:Q1LYI0;Mm:Q99PL6	Rn:A0A0G2K012
Q96NB3	P17020	91603	7564	ZNF830	ZNF16	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	-	-
Q96NB3	Q14055	91603	1298	ZNF830	COL9A2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Mm:I7HJR1	Rn:D3ZNT5
Q96NB3	Q9UEE9	91603	10428	ZNF830	CFDP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Dr:A3KPL8;Mm:O88271;Rn:Q75UQ2	-
Q96NB3	Q8N961	91603	25841	ZNF830	ABTB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Mm:Q7TQI7	Dr:F1QLH2;Rn:A0A0G2JUJ7
Q96NB3	Q9UFF9	91603	9337	ZNF830	CNOT8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Dr:A8E5K6;Mm:Q9D8X5;Rn:Q5U2U9	-
Q96NB3	O95721	91603	9342	ZNF830	SNAP29	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VBY5;Mm:Q8R1N0;Rn:Q3MHS2	-	Dm:Q9W1I8;Dr:F1Q5X0;Mm:Q9ERB0;Rn:Q9JI56	-
