UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6NZA9	P48678	407786	16905	Taf9b	Lmna	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:P02545;Rn:G3V8L3	Dr:B3DKC5
Q6NZA9	Q78IK2	407786	66477	Taf9b	Atp5md	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q96IX5;Dr:H0WES8;Rn:Q9JJW3	-
Q6NZA9	Q5ND34	407786	192652	Taf9b	Wdr81	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q562E7;Dm:Q9VKD0;Dr:E7FEV0;Rn:D4A929	-
Q6NZA9	P29758	407786	18242	Taf9b	Oat	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:P04181;Ce:Q18040;Dm:Q9VW26;Dr:F8W5L3;Rn:P04182;Sc:P07991	-
Q6NZA9	D3YWE6	407786	433938	Taf9b	Mn1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q10571;Dr:B8JKI7;Rn:D4AAP6	-
Q6NZA9	Q8CBY1	407786	74480	Taf9b	Samd4a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9UPU9;Dr:X1WG96;Rn:A0A0G2JUK8	-
Q6NZA9	P19258	407786	17527	Taf9b	Mpv17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:P39210;Ce:Q7YWV6;Dm:Q9V492;Dr:Q5TZ51;Rn:F1LNG8	-
Q6NZA9	E9QNZ9	407786	116939	Taf9b	Pnpla3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9NST1;Rn:D3Z9J9	-
Q6NZA9	Q8C2Q3	407786	56275	Taf9b	Rbm14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q96PK6;Rn:M0R9Q1	-
Q6NZA9	Q5HZH2	407786	68327	Taf9b	Tsr3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9UJK0;Rn:D4A6X9	-
Q6NZA9	Q99NB3	407786	75870	Taf9b	Tcam1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Rn:Q9Z133	-
Q6NZA9	Q91YP0	407786	217666	Taf9b	L2hgdh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9H9P8;Ce:Q9N4Z0;Dm:Q9VJ28;Dr:B8A6D3;Rn:D3ZVS2	-
Q6NZA9	P63154	407786	66877	Taf9b	Crnkl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9BZJ0;Ce:A9D4S6;Dm:P17886;Rn:P63155;Sc:Q12309	Rn:A0A0G2K5Q2
Q6NZA9	Q99MB2	407786	67472	Taf9b	Mtfr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q15390;Dr:F1RCE7	Rn:G3V9A7
Q6NZA9	Q63ZW6	407786	12830	Taf9b	Col4a5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:P29400;Dm:P08120;Rn:F1LUN5	-
Q6NZA9	Q8C627	407786	242408	Taf9b	Fam221b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Rn:A0A0H2UHT8	-
Q6NZA9	F8VQL6	407786	170936	Taf9b	Zfp369	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	-	-
Q6NZA9	A2A4P4	407786	-	Taf9b	Gm27029	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	-	-
Q6NZA9	Q8BFR2	407786	213262	Taf9b	Fstl5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q8N475	Dr:F1Q9M7;Rn:A0A096MK67
Q6NZA9	Q64511	407786	21974	Taf9b	Top2b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q02880;Dr:Q1LUT2	-
Q6NZA9	P22892	407786	11765	Taf9b	Ap1g1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	-	-
Q6NZA9	Q00493	407786	12876	Taf9b	Cpe	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:P16870;Dr:Q6NSM5;Rn:D4A8X4	-
Q6NZA9	Q99N17	407786	70101	Taf9b	Cyp4f16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	-	-
Q6NZA9	Q9CQM5	407786	52700	Taf9b	Txndc17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9BRA2;Dm:Q9VMQ9;Rn:B0K010	Ce:Q9BL27;Dr:Q6DBT3
Q6NZA9	Q8K0H5	407786	24075	Taf9b	Taf10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q12962;Rn:B4F7B2	-
Q6NZA9	R4GML0	407786	20402	Taf9b	Zfp106	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Dr:F1QN33;Rn:A0A0G2JT65	Hs:H3BSS6
Q6NZA9	Q61026	407786	17978	Taf9b	Ncoa2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q15596;Dr:E7F5J8	Rn:F1MA61
Q6NZA9	A2RSY1	407786	226976	Taf9b	Kansl3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	Hs:Q9P2N6	Rn:A0A0G2K522
Q6NZA9	Q9R164	407786	56707	Taf9b	Zfp111	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9HBM6;Dm:Q27272	-	-	Rn:G3V9G6
