UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UBN7	Q96CG3	10013	92610	HDAC6	TIFA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Mm:Q793I8	Dr:A0A1D5NSL5
Q9UBN7	Q2TAC6	10013	124602	HDAC6	KIF19	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dr:E9QC56;Mm:Q99PT9;Rn:D4A976	-
Q9UBN7	Q8NB14	10013	84640	HDAC6	USP38	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dr:F1RBA1;Mm:Q8BW70;Rn:D3Z8K5	-
Q9UBN7	Q693B1	10013	147040	HDAC6	KCTD11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Rn:D3ZIA4	Mm:A0A5K1VVR8
Q9UBN7	P04424	10013	435	HDAC6	ASL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dm:Q9VLG9;Dr:F1RA91;Mm:Q91YI0;Rn:Q4QRB8;Sc:P04076	-
Q9UBN7	Q13263	10013	10155	HDAC6	TRIM28	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Mm:Q62318;Rn:O08629	-
Q9UBN7	P42677	10013	6232	HDAC6	RPS27	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	-	-
Q9UBN7	Q96IK0	10013	84336	HDAC6	TMEM101	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dr:A0A2R8PYE5;Mm:Q91VP7;Rn:G3V8U1	-
Q9UBN7	Q9HA92	10013	55316	HDAC6	RSAD1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dr:F1RB14;Mm:Q5SUV1	-
Q9UBN7	Q15797	10013	4086	HDAC6	SMAD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Mm:P70340;Rn:A0A0G2JSQ6	-
Q9UBN7	O76041	10013	10529	HDAC6	NEBL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Mm:Q9DC07	-
Q9UBN7	P27797	10013	811	HDAC6	CALR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Ce:P27798;Dm:P29413;Dr:F1Q8W8;Mm:P14211;Rn:P18418	-
Q9UBN7	P47756	10013	832	HDAC6	CAPZB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Ce:P34686;Dm:P48603;Dr:Q7SXP1;Mm:P47757;Sc:P13517	Rn:A0A0G2JYB1
Q9UBN7	Q9Y5J9	10013	26521	HDAC6	TIMM8B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Dm:Q9Y1A3;Mm:P62077;Rn:P62078	Dr:B3DGI9
Q9UBN7	P14621	10013	98	HDAC6	ACYP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	Mm:P56375;Rn:D4A1G1	-
Q9UBN7	Q3KPI0	10013	90273	HDAC6	CEACAM21	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F8W4B7;Mm:Q9Z2V5	Ce:A7LPD8;Dm:M9NEH6;Rn:A0A0G2QC41;Rn:D3ZVD8	-	-
