UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UJL9	P55822	65243	6450	ZFP69B	SH3BGR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9WUZ7	Rn:D3ZU20
Q9UJL9	C4P0D8	65243	-	ZFP69B	TSNAX-DISC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	P78356	65243	8396	ZFP69B	PIP4K2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q80XI4;Rn:O88377	-
Q9UJL9	P07099	65243	2052	ZFP69B	EPHX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q23068;Dm:Q7JRC3;Dm:Q7KB18;Dm:Q7K1W4;Dr:F1QC05;Mm:Q9D379;Rn:P07687	-
Q9UJL9	Q15796	65243	4087	ZFP69B	SMAD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P45896;Mm:Q62432;Rn:O70436	Dr:F1Q5P5
Q9UJL9	P06241	65243	2534	ZFP69B	FYN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6EWH2;Dr:F1RDG9;Mm:P39688;Rn:Q62844	-
Q9UJL9	Q86UB2	65243	54841	ZFP69B	BIVM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E9QCS1;Mm:Q8CBX9	Rn:D4A204
Q9UJL9	Q8TE85	65243	57822	ZFP69B	GRHL3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7F6C3;Mm:Q5FWH3	Rn:D4A1E5
Q9UJL9	P55809	65243	5019	ZFP69B	OXCT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q09450;Dr:Q6AZB2;Mm:Q9D0K2;Rn:B2GV06	Dr:A8KBV1
Q9UJL9	Q7Z392	65243	60684	ZFP69B	TRAPPC11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q1RLX4;Mm:B2RXC1;Rn:A0A0G2K1K5	-
Q9UJL9	O95149	65243	10073	ZFP69B	SNUPN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O17066;Mm:Q80W37;Rn:Q68FP5	Dr:Q6P5J9
Q9UJL9	Q6UX01	65243	55716	ZFP69B	LMBR1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q803C7;Mm:Q9D1E5;Rn:A0A0G2JVJ7	-
Q9UJL9	P23229	65243	3655	ZFP69B	ITGA6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q61739;Rn:G3V667	Dr:A8WHQ7
Q9UJL9	Q15392	65243	1718	ZFP69B	DHCR24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	Q53H82	65243	51110	ZFP69B	LACTB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q95Q18;Dm:Q9VLS9;Mm:Q99KR3;Rn:Q561R9	-
Q9UJL9	Q15291	65243	5929	ZFP69B	RBBP5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q09309;Dm:Q9VPH8;Mm:Q8BX09;Rn:D3ZC01;Sc:P39706	Dr:F1QST7
Q9UJL9	P06865	65243	3073	ZFP69B	HEXA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1RDQ5;Mm:P29416;Rn:Q641X3	-
Q9UJL9	Q9UK33	65243	51157	ZFP69B	ZNF580	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DB38	Rn:D4A235
Q9UJL9	Q8IZA0	65243	79932	ZFP69B	KIAA0319L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:F1M4J1	Dr:F1QYL7;Mm:Z4YK56
Q9UJL9	P49459	65243	7319	ZFP69B	UBE2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q789K9;Dr:Q803M4;Mm:Q9Z255;Rn:Q6AXR9	-
Q9UJL9	M0R2P5	65243	-	ZFP69B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	P54577	65243	8565	ZFP69B	YARS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VV60;Dr:A0A0R4I9C1;Rn:A0A0H2UHG0	Mm:Q91WQ3
Q9UJL9	P18858	65243	3978	ZFP69B	LIG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q27474;Dm:Q9W1H4;Dr:B0S533;Mm:Q3U4X8;Rn:Q566D8;Sc:P04819	Rn:F1M8E6
Q9UJL9	O95180	65243	8912	ZFP69B	CACNA1H	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:E9Q6P9;Rn:G3V9C6	-
Q9UJL9	Q9H2P9	65243	51611	ZFP69B	DPH5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q8IN02;Dr:A0A0R4IU56;Mm:Q9CWQ0;Rn:Q569A7;Sc:P32469	Ce:Q17514
Q9UJL9	P35556	65243	2201	ZFP69B	FBN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q61555;Rn:F1M5Q4	-
Q9UJL9	O60315	65243	9839	ZFP69B	ZEB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9R0G7;Rn:E9PTC3	-
Q9UJL9	Q86YS7	65243	9847	ZFP69B	C2CD5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:A0A0G2K543	Dm:Q9VC89;Dr:A0A0H2UKU7;Mm:A0A0N4SW93
Q9UJL9	Q96DX4	65243	89970	ZFP69B	RSPRY1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P90839;Mm:Q8BVR6;Rn:A0A0G2K1G4	Dr:Q1LX67
Q9UJL9	Q8N3Z6	65243	84186	ZFP69B	ZCCHC7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:B1AX39;Rn:F1M989	Dr:F1QLY2
Q9UJL9	A5PL33	65243	84626	ZFP69B	KRBA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	Q13491	65243	2824	ZFP69B	GPM6B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q8UUS8;Mm:P35803	Rn:E9PSV8
Q9UJL9	P23471	65243	5803	ZFP69B	PTPRZ1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:B9EKR1;Rn:F1LMY3	-
Q9UJL9	Q9H0B3	65243	80726	ZFP69B	IQCN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	Mm:A0A1D5RMD1
Q9UJL9	P78383	65243	10237	ZFP69B	SLC35B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	Q00403	65243	2959	ZFP69B	GTF2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O16991;Dm:P29052;Dr:A0A0R4IRB5;Mm:P62915;Rn:A0A0G2JWZ8;Sc:P29055	-
Q9UJL9	Q13478	65243	8809	ZFP69B	IL18R1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q61098;Rn:D3ZRM2	-
Q9UJL9	Q9NVZ3	65243	55707	ZFP69B	NECAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9D1J1;Rn:Q6P756	-
Q9UJL9	Q9UFC0	65243	222229	ZFP69B	LRWD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BUI3;Rn:A0A140UHX1	-
Q9UJL9	Q16537	65243	5529	ZFP69B	PPP2R5E	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q7ZUQ2;Mm:Q61151;Rn:A0A0G2JTA1	-
Q9UJL9	P55735	65243	6396	ZFP69B	SEC13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q9UJL9	O15297	65243	8493	ZFP69B	PPM1D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6NYW2;Mm:Q9QZ67;Rn:B1WCA0	-
Q9UJL9	Q9NVI7	65243	55210	ZFP69B	ATAD3A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q925I1;Rn:Q3KRE0	-
Q9UJL9	Q9NPH2	65243	51477	ZFP69B	ISYNA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:G5ED01;Dm:O97477;Mm:Q9JHU9;Rn:Q6AYK3;Sc:P11986	-
Q9UJL9	Q0VAM2	65243	153020	ZFP69B	RASGEF1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6DHR3	Rn:D3ZJN7
Q9UJL9	C9JLR9	65243	65998	ZFP69B	C11orf95	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q4VA45	Dr:F1QE10
Q9UJL9	Q71RH2	65243	83723	ZFP69B	TLCD3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7FG14;Mm:Q7TNV1;Rn:B1WBX0	Dr:F1QF55
Q9UJL9	A2A2V5	65243	400120	ZFP69B	SERTM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8CD78;Rn:D3ZR22	-
Q9UJL9	Q86Y56	65243	54919	ZFP69B	DNAAF5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q8INF7;Mm:B9EJR8;Rn:G3V943	-
