UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NR30	Q5T011	9188	23334	DDX21	SZT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Mm:A2A9C3	Rn:D3ZUQ8
Q9NR30	Q9NYR9	9188	28511	DDX21	NKIRAS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:F1QJH0;Mm:Q9CR56;Rn:D3ZCK2	-
Q9NR30	Q8WXW3	9188	10464	DDX21	PIBF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Mm:E9Q6K3;Rn:D3ZU21	Dr:B8JHR8
Q9NR30	Q9BUT9	9188	84331	DDX21	MCRIP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:Q1MT54;Mm:Q9CQB2;Rn:D3ZM07	-
Q9NR30	Q9NVC3	9188	55238	DDX21	SLC38A7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:F1QUV9;Mm:Q8BWH0;Rn:Q6JWR2;Sc:P40501	-
Q9NR30	Q96S94	9188	81669	DDX21	CCNL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:P34424;Mm:Q9JJA7	Rn:A0A0H2UHQ5
Q9NR30	Q92979	9188	10436	DDX21	EMG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dm:Q9W4J5;Mm:O35130;Rn:D3ZDS4;Sc:Q06287	Ce:Q9XX15;Dr:F1QQ17
Q9NR30	Q6YHU6	9188	63892	DDX21	THADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:F1QTW7;Mm:A8C756;Rn:D3ZVT2	-
Q9NR30	Q9NXR8	9188	54556	DDX21	ING3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:Q9XWJ8;Dr:Q6TEM2;Mm:Q8VEK6;Rn:Q498T3	-
Q9NR30	B8ZZF3	9188	-	DDX21	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	-	-
Q9NR30	Q96GC5	9188	51642	DDX21	MRPL48	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:F1QEF5;Mm:E9QPQ8;Rn:D3ZDX7	-
Q9NR30	Q9BT49	9188	80764	DDX21	THAP7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Mm:Q8VCZ3;Rn:G3V9P2	-
Q9NR30	Q5T8D3	9188	91452	DDX21	ACBD5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Mm:Q5XG73;Rn:A0A0G2K3Z5;Rn:A0A096MJJ6	-
Q9NR30	Q8TBA6	9188	9950	DDX21	GOLGA5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:B8A4N9;Mm:Q9QYE6	Rn:G3V6Z7
Q9NR30	Q15645	9188	9319	DDX21	TRIP13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:Q09535;Dm:Q8SX76;Dr:F1RBS4;Mm:Q3UA06;Rn:Q5XHZ9	-
Q9NR30	P54105	9188	1207	DDX21	CLNS1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:G5EG22;Dr:A0A0R4IJ12;Mm:Q923F1;Rn:Q6P9X1	-
Q9NR30	Q9Y6H1	9188	51142	DDX21	CHCHD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:Q6PBS8;Mm:Q9D1L0;Sc:Q03667	Rn:M0R785
Q9NR30	Q9Y262	9188	51386	DDX21	EIF3L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dm:Q9VTU4;Mm:Q8QZY1	Ce:Q95QW0;Dr:Q7T2A5;Rn:G3V7G9
Q9NR30	Q02086	9188	6668	DDX21	SP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:F1Q4L6;Mm:Q8C5J0;Rn:B5DEH3	-
Q9NR30	Q8TAA5	9188	134266	DDX21	GRPEL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:E7F0C3;Mm:O88396;Rn:D4A676	-
Q9NR30	P0DI81	9188	6399	DDX21	TRAPPC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	-	-
Q9NR30	Q15544	9188	6882	DDX21	TAF11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:Q20361;Dr:A8KBY5;Mm:Q99JX1;Rn:Q5U1X0	-
Q9NR30	P61981	9188	7532	DDX21	YWHAG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:E7F354;Dr:Q6PC29;Mm:P61982;Rn:P61983	-
Q9NR30	A4GXA9	9188	197342	DDX21	EME2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Mm:Q56A04;Rn:D3ZC60	-
Q9NR30	Q96HU1	9188	27352	DDX21	SGSM3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:Q94222;Dm:Q9VFB6;Dr:Q7T2D0;Mm:Q8VCZ6;Rn:F1LQU9	-
Q9NR30	Q3KRB8	9188	89839	DDX21	ARHGAP11B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	-	-
Q9NR30	Q93100	9188	5257	DDX21	PHKB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:H2L0I6;Mm:Q7TSH2;Rn:Q5RKH5	Dm:M9PCI5;Dr:F8W2U7
Q9NR30	Q92575	9188	23190	DDX21	UBXN4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:P34631;Dm:Q9Y114;Mm:A0A0R4J078;Rn:Q5HZY0	-
Q9NR30	Q9NZS9	9188	51283	DDX21	BFAR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Rn:Q5PQN2	Mm:A0A0R4J040
Q9NR30	Q9UNN5	9188	11124	DDX21	FAF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:B0UXY9;Mm:P54731	Dm:A0A0B4LFH2;Rn:F1LSQ0
Q9NR30	O43298	9188	23099	DDX21	ZBTB43	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:A2BGW8;Rn:Q5PQT4	Mm:G3X9N4
Q9NR30	Q01518	9188	10487	DDX21	CAP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Dr:Q6YBS2;Mm:P40124;Rn:Q08163	Dm:Q9VPX7
Q9NR30	P46776	9188	6157	DDX21	RPL27A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965	Ce:Q9BKU5;Dm:P41092;Mm:P14115;Rn:A0A0G2K7W6;Rn:P18445;Sc:P02406	Rn:D4AAY6;Rn:D3ZI60
