UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9ESC8	Q7JJ13	93736	14312	Aff4	Brd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:P25440	Dr:Q1LWX7;Rn:Q6MGA9
Q9ESC8	Q8BMI0	93736	107035	Aff4	Fbxo38	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:Q6PIJ6;Dr:E7F2P7	Rn:D3ZIK8
Q9ESC8	P17182	93736	13806;433182	Aff4	Eno1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	-	-
Q9ESC8	Q5M6W3	93736	73324	Aff4	Clhc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:Q8NHS4;Rn:Q5XIR8	-
Q9ESC8	Q64433	93736	15528	Aff4	Hspe1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	-	-
Q9ESC8	Q61686	93736	12419	Aff4	Cbx5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:P45973;Dr:A1L223;Rn:B2RYU7	-
Q9ESC8	Q9CXE2	93736	77045	Aff4	Bcl7a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:Q4VC05;Rn:A0A0G2K1R2	Dr:A3QK39
Q9ESC8	O35326	93736	20384	Aff4	Srsf5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:Q13243;Dr:Q6DHJ0;Rn:Q09167	-
Q9ESC8	P47962	93736	100503670	Aff4	Rpl5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:P46777;Ce:P49405;Dm:Q9W5R8;Dr:Q7ZUI0;Rn:P09895;Sc:P26321	-
Q9ESC8	Q91WB4	93736	71801	Aff4	Plekhf2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UHB7;Dr:I3ISK1;Rn:D3ZSX2;Sc:P39001	-	Hs:Q9H8W4;Ce:P34657;Dm:O76902;Dr:Q7ZUV1;Rn:B1WBV4	-
