UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BTC0	P04626	11083	2064	DIDO1	ERBB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:F1R5S1;Mm:P70424;Rn:Q8K3F9	-
Q9BTC0	P57105	11083	55333	DIDO1	SYNJ2BP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:Q7ZV59;Mm:Q9D6K5;Rn:Q9WVJ4	-
Q9BTC0	Q9UI14	11083	10567	DIDO1	RABAC1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dm:A1Z823;Dr:F1RC66;Mm:Q9Z0S9;Rn:O35394;Sc:P53633	-
Q9BTC0	Q9Y4L1	11083	10525	DIDO1	HYOU1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	Q8N6L1	11083	200185	DIDO1	KRTCAP2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dm:Q8INQ7;Dr:Q0P494;Mm:Q5RL79;Rn:B2RZC9	-
Q9BTC0	Q969Q6	11083	55012	DIDO1	PPP2R3C	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Ce:O02217;Dr:F1QSR6;Mm:Q9JK24;Rn:Q6AXZ3	-
Q9BTC0	P53803	11083	5440	DIDO1	POLR2K	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Ce:Q9U3I0;Dm:Q6IGE3;Mm:Q63871;Rn:F1LZN9	Dr:F1RDV9
Q9BTC0	H0Y6P8	11083	-	DIDO1	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	O95163	11083	8518	DIDO1	ELP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:A0A0R4IJ07;Mm:Q7TT37;Rn:F1LP76;Sc:Q06706	Dm:A0A0B4KFR6
Q9BTC0	Q9NRG1	11083	56952	DIDO1	PRTFDC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Rn:B2RYS6	Dr:Q6IQG6
Q9BTC0	Q7Z5J1	11083	374875	DIDO1	HSD11B1L	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:Q6PUF3	Dr:A0A2R8Q5R7
Q9BTC0	Q96FV9	11083	9984	DIDO1	THOC1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	A1A4G5	11083	348801	DIDO1	LNP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Rn:M0R6C5	Mm:A0A1B0GSK3
Q9BTC0	E7EQL1	11083	-	DIDO1	-	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	A0A2R8YFB7	11083	-	DIDO1	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	Q9BPX6	11083	10367	DIDO1	MICU1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Ce:Q95PZ2;Dm:A2VEI2;Mm:Q8VCX5;Rn:A0A0G2K0T5	-
Q9BTC0	A6NC86	11083	390940	DIDO1	PINLYP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Mm:Q9CQD7;Rn:D4A499	Dr:A0A0R4IR06
Q9BTC0	P04424	11083	435	DIDO1	ASL	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dm:Q9VLG9;Dr:F1RA91;Mm:Q91YI0;Rn:Q4QRB8;Sc:P04076	-
Q9BTC0	Q9BSJ5	11083	55028	DIDO1	C17orf80	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Mm:Q6PIX9;Rn:Q4FZS5	-
Q9BTC0	Q01459	11083	1486	DIDO1	CTBS	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Mm:Q8R242;Rn:Q01460	-
Q9BTC0	Q9NZZ3	11083	51510	DIDO1	CHMP5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Ce:O16458;Dm:Q9VVI9;Dr:Q7T339;Mm:Q9D7S9;Rn:Q4QQV8;Sc:Q03390	-
Q9BTC0	P42677	11083	6232	DIDO1	RPS27	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	Q96IK0	11083	84336	DIDO1	TMEM101	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:A0A2R8PYE5;Mm:Q91VP7;Rn:G3V8U1	-
Q9BTC0	Q9HA92	11083	55316	DIDO1	RSAD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:F1RB14;Mm:Q5SUV1	-
Q9BTC0	P19801	11083	26	DIDO1	AOC1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Mm:E9PYN9	Dr:A0JMP5;Rn:Q498N2
Q9BTC0	Q9Y5J9	11083	26521	DIDO1	TIMM8B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dm:Q9Y1A3;Mm:P62077;Rn:P62078	Dr:B3DGI9
Q9BTC0	V9GYY5	11083	-	DIDO1	-	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	-	-
Q9BTC0	Q6PIJ6	11083	81545	DIDO1	FBXO38	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:E7F2P7;Mm:Q8BMI0	Rn:D3ZIK8
Q9BTC0	Q15696	11083	8233	DIDO1	ZRSR2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:E7F2A1;Mm:B1B0E8;Rn:D3ZHQ8	-
Q9BTC0	Q9NZI7	11083	7342	DIDO1	UBP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Dr:A3KPT8;Mm:Q811S7;Rn:D4A030	-
Q9BTC0	Q8NER5	11083	130399	DIDO1	ACVR1C	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:E7FB55;Mm:Q8C9B9;Rn:D3ZWL9	-	Mm:Q8K348;Rn:F1LQM3	-
