UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BY66	Q9UKK6	8284	29107	KDM5D	NXT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Mm:Q9QZV9;Rn:B2RZ65	-
Q9BY66	Q15751	8284	8925	KDM5D	HERC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Mm:E9PZP8;Rn:A0A0G2JTT6	Dr:E7FBA7
Q9BY66	Q9H2Y9	8284	81796	KDM5D	SLCO5A1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Dr:E7F2I7;Mm:E9PVD9;Rn:D3ZZM7	-
Q9BY66	Q8N344	8284	54531	KDM5D	MIER2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Mm:Q3U3N0	Rn:D3ZR39
Q9BY66	Q3ZCQ8	8284	92609	KDM5D	TIMM50	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	-	-
Q9BY66	Q96H35	8284	92400	KDM5D	RBM18	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Dm:X2JBU2;Dr:Q6PBM8;Mm:Q9CR83;Rn:G3V6X2	-
Q9BY66	O75145	8284	8541	KDM5D	PPFIA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Dr:X1WCJ5;Mm:P60469;Rn:F1LSE6	-
Q9BY66	Q9UKZ9	8284	26577	KDM5D	PCOLCE2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Dr:F1R774;Mm:Q8R4W6;Rn:M0RD26	-
Q9BY66	Q99758	8284	21	KDM5D	ABCA3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Ce:Q9TXV8;Mm:Q8R420;Rn:A0A0G2K1Q8	Dr:A0A0R4ISK5
Q9BY66	O95104	8284	57466	KDM5D	SCAF4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Ce:O01864;Mm:Q7TSH6	Dr:E9QEN4;Rn:Q63627
Q9BY66	Q9NRA2	8284	26503	KDM5D	SLC17A5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Rn:W8C8J2	-	Dr:F1R043;Mm:Q8BN82;Rn:Q5Q0U0	-
