UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
P18615	P28799	7936	2896	NELFE	GRN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:G3V8V1	Dr:F1R6I2;Mm:P28798
P18615	O75023	7936	10990	NELFE	LILRB5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P18615	Q14164	7936	9641	NELFE	IKBKE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9R0T8;Rn:D4A5E7	Dr:F1QBC9
P18615	Q6RSH7	7936	391104	NELFE	VHLL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P18615	A8MSI8	7936	201229	NELFE	LYRM9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B3DFV0;Mm:Q3UN90;Rn:B2RZD7	-
P18615	Q9HAN9	7936	64802	NELFE	NMNAT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P91851;Dr:E9QH56;Mm:Q9EPA7;Rn:A0JPJ0	Ce:Q9XXM2
P18615	P20719	7936	3202	NELFE	HOXA5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q9YGT6;Mm:P09021	Rn:G3V6T2
P18615	Q8NBI3	7936	374946	NELFE	DRAXIN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6PAL1;Rn:D3ZDG4	-
P18615	Q96T66	7936	349565	NELFE	NMNAT3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P18615	Q4KMZ8	7936	79570	NELFE	NKAIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6PHL4;Mm:Q9D035	Rn:F1LZF8
P18615	P17643	7936	7306	NELFE	TYRP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P07147;Rn:D3ZH71	Dr:Q6DGE4;Dr:F1QEC9
P18615	Q12882	7936	1806	NELFE	DPYD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q18164;Dm:Q9W374;Dr:A0A0R4IXT5;Mm:Q8CHR6	Dr:F1QUE6
P18615	Q96EN8	7936	55034	NELFE	MOCOS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q21657;Dm:Q9VRA2;Mm:Q14CH1	Rn:D4A1G3
P18615	P51957	7936	6787	NELFE	NEK4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q0KHT7	Mm:Q6GTE9
P18615	Q5T0N1	7936	118491	NELFE	CFAP70	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:D3YVL2;Rn:D4A513	-
P18615	P98077	7936	25759	NELFE	SHC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BMC3	Dr:Q1LX18;Rn:O70142
P18615	Q96JC1	7936	23339	NELFE	VPS39	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q1ZXS5;Dm:Q9VEA2;Dr:F1RCV6;Mm:Q8R5L3;Rn:A0A0G2KA50	-
P18615	Q15818	7936	4884	NELFE	NPTX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q62443;Rn:A0A0H2UHC1	Dr:Q6NW91
P18615	O43159	7936	23378	NELFE	RRP8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DB85;Rn:Q5U4F0	-
P18615	Q16698	7936	1666	NELFE	DECR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q93761;Dr:F1QB21;Mm:Q9CQ62;Rn:G3V734	Ce:Q22230;Ce:Q23116
P18615	Q14678	7936	23189	NELFE	KANK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E9QCJ6;Mm:E9Q238	Rn:D4AE58
P18615	P28698	7936	7593	NELFE	MZF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:D3ZF35	-
P18615	Q8N6S4	7936	81573	NELFE	ANKRD13C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q17555;Dr:A0A0R4ITK5;Mm:Q3UX43;Rn:D3ZMJ4	Dm:Q7K3G2
P18615	Q8N635	7936	254528	NELFE	MEIOB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9W3M9;Mm:Q9D513;Rn:B0BMX9	Dr:F1R891
P18615	P20618	7936	5689	NELFE	PSMB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P34286;Dm:P40304;Dr:Q6DRF3;Mm:O09061;Rn:Q6PDW4;Sc:P23724	-
P18615	Q6ZS30	7936	65065	NELFE	NBEAL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A0A0R4IDF6;Mm:E9PYP2;Rn:F1M6V0	-
P18615	O43897	7936	7092	NELFE	TLL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P18615	Q96S65	7936	64651	NELFE	CSRNP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P59054;Rn:D4AAK3	Dr:F1QNJ1
P18615	Q9BZF3	7936	114880	NELFE	OSBPL6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:A0A0G2JZR1	Dr:E7F2M8;Mm:F8WIZ7
P18615	P17542	7936	6886	NELFE	TAL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:O93507;Mm:P22091;Rn:D3Z921	-
P18615	Q9P215	7936	57645	NELFE	POGK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:E9Q3B2;Rn:D3ZV46	Dr:A0A0G2KDY1
P18615	Q9BV44	7936	25917	NELFE	THUMPD3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q21503;Mm:P97770;Rn:D3ZSV7	-
P18615	Q15717	7936	1994	NELFE	ELAVL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P70372;Rn:B5DF91	Dr:Q9PTK4;Dr:Q7ZTS8
P18615	Q15102	7936	5050	NELFE	PAFAH1B3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q7ZTU4;Mm:Q61205;Rn:O35263	Dr:E9QE47
P18615	P29122	7936	5046	NELFE	PCSK6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:F6XJP7;Rn:F1LNB4	-
P18615	P57077	7936	56911	NELFE	MAP3K7CL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P58500;Rn:A0A0G2K9U9	-
P18615	P00558	7936	5230	NELFE	PGK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P09411;Rn:P16617	Dr:F1QXV8
P18615	P19338	7936	4691	NELFE	NCL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P18615	Q96E11	7936	92399	NELFE	MRRF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VSW4;Dr:F1QJ48;Mm:Q9D6S7;Rn:Q5RKI9	-
