UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96IS3	Q8IY47	84839	25948	RAX2	KBTBD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q08CL1;Mm:G3X9X1;Rn:D3ZVS6	-
Q96IS3	O75534	84839	7812	RAX2	CSDE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E9QFH8;Mm:Q91W50	Dm:Q9VSK3;Rn:P18395
Q96IS3	P51858	84839	3068	RAX2	HDGF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P51859;Rn:F1LPC7	-
Q96IS3	Q12999	84839	6302	RAX2	TSPAN31	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9CQ88;Rn:Q5U1V9	Dr:Q7ZUB3
Q96IS3	P46776	84839	6157	RAX2	RPL27A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9BKU5;Dm:P41092;Mm:P14115;Rn:A0A0G2K7W6;Rn:P18445;Sc:P02406	Rn:D4AAY6;Rn:D3ZI60
Q96IS3	Q8WU58	84839	55731	RAX2	FAM222B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6P539	Dr:E7F6C1;Rn:D3ZPE2
Q96IS3	Q8TF68	84839	171017	RAX2	ZNF384	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Rn:G3V9M5	Dr:I3ITQ6;Mm:E9Q1A5
Q96IS3	O60925	84839	5201	RAX2	PFDN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q17827;Dm:Q9VMH8;Mm:Q9CQF7;Rn:D3ZX38	Dr:Q5D016
Q96IS3	Q9H223	84839	30844	RAX2	EHD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QZ37;Mm:Q9EQP2;Rn:Q8R3Z7	-
Q96IS3	Q9UK33	84839	51157	RAX2	ZNF580	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9DB38	Rn:D4A235
