UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96EQ9	A2AEG2	-	237222	Prdm9	Ofd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O75665;Dr:F1QL50;Rn:D3ZUD5	-
Q96EQ9	Q8CBW3	-	11308	Prdm9	Abi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8IZP0	Dr:F1R187;Rn:A2VD09
Q96EQ9	P56960	-	50912	Prdm9	Exosc10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q01780;Dm:Q9VFF3;Dr:F1Q5Q7;Rn:D4A1X2	-
Q96EQ9	Q9DBN4	-	97820	Prdm9	P33monox	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96A73;Dr:A4QNZ7;Rn:Q5U2R6	-
Q96EQ9	Q6P9L6	-	209737	Prdm9	Kif15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9NS87;Rn:A0A0G2K0M1;Sc:P25386	-
Q96EQ9	P47811	-	26416	Prdm9	Mapk14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q16539;Dm:O61443;Dm:O62618;Rn:Q56A33	-
Q96EQ9	Q8JZP9	-	78926	Prdm9	Gas2l1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q99501	-
Q96EQ9	Q8BH16	-	72179	Prdm9	Fbxl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UKC9;Dr:Q6PBJ7	Rn:F1M768
Q96EQ9	Q8K2J0	-	72469	Prdm9	Plcd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N3E9;Dr:F1QJ13;Rn:D4A978	Dr:A5D6R3
Q96EQ9	P58137	-	170789	Prdm9	Acot8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O14734;Ce:Q95Q68;Ce:Q19781;Rn:F7F557;Sc:P41903	Dr:Q5XJP9
Q96EQ9	A2A7P7	-	27028	Prdm9	Ermap	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96PL5	Rn:D3Z9R6
