UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8N5A5	Q9NZH0	84619	51704	ZGPAT	GPRC5B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B8A4H2;Mm:Q923Z0;Rn:A0A0G2K4B0	-
Q8N5A5	P23415	84619	2741	ZGPAT	GLRA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q64018;Rn:P07727	-
Q8N5A5	P15036	84619	2114	ZGPAT	ETS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q501S1;Mm:P15037;Rn:D4AAH4	-
Q8N5A5	Q6P9A1	84619	348327	ZGPAT	ZNF530	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8N5A5	Q9NRD1	84619	26270	ZGPAT	FBXO6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9QZN4	Rn:Q923V4
Q8N5A5	Q9BXY5	84619	84698	ZGPAT	CAPS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BUG5;Rn:A0A0G2JWR8	Dr:E7F288
Q8N5A5	Q9C0A1	84619	85446	ZGPAT	ZFHX2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q2MHN3;Rn:D3ZF41	-
Q8N5A5	Q9Y3I0	84619	51493	ZGPAT	RTCB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:P90838;Dm:Q9VIW7;Mm:Q99LF4;Rn:Q6AYT3	Dr:Q6NZS4
Q8N5A5	Q96MW7	84619	200765	ZGPAT	TIGD1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8N5A5	O75688	84619	5495	ZGPAT	PPM1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Sc:P34221	-
Q8N5A5	Q0VD86	84619	388324	ZGPAT	INCA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6PKN7	Rn:D3ZLG5
Q8N5A5	Q7Z6V5	84619	134637	ZGPAT	ADAT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VEM0;Dr:Q5RIV4;Mm:Q6P6J0;Rn:M0RA73;Sc:P47058	Ce:Q95QD6
Q8N5A5	Q9UBY8	84619	2055	ZGPAT	CLN8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	Dr:F1QYC0
Q8N5A5	O15254	84619	8310	ZGPAT	ACOX3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q20992;Dm:Q9VMD7;Mm:Q9EPL9;Rn:F1M9A7	-
Q8N5A5	Q71U36	84619	7846	ZGPAT	TUBA1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8N5A5	Q8NAN2	84619	374986	ZGPAT	MIGA1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8N5A5	Q15029	84619	9343	ZGPAT	EFTUD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q23463;Dr:F1Q6N0;Rn:F1LM66	Dm:Q9VAX8;Mm:A2AH85
Q8N5A5	A1IGU5	84619	389337	ZGPAT	ARHGEF37	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7F3M3;Mm:E9Q5R6;Rn:F1LQ74	-
Q8N5A5	P11532	84619	1756	ZGPAT	DMD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q8N5A5	Q9BV94	84619	55741	ZGPAT	EDEM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A0A0R4IAP0;Mm:Q8BJT9;Rn:Q6AYI8	-
Q8N5A5	Q8WWY3	84619	26121	ZGPAT	PRPF31	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9N592;Dm:Q9VUM1;Dr:Q7SXM7;Mm:Q8CCF0;Rn:D3ZI68;Sc:P49704	-
Q8N5A5	Q96K76	84619	55031	ZGPAT	USP47	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q24574;Dr:A0A0R4IFT8;Mm:Q8BY87;Rn:A0A0G2JUX4	-
