UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q80W03	Q61127	244579	17937	Tox3	Nab2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q15742;Dr:A9JRC0;Rn:D4A4F4	-
Q80W03	Q9WV55	244579	30960	Tox3	Vapa	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q9P0L0;Rn:Q9Z270	Dr:A8WGM1
Q80W03	A0A0R4J0S1	244579	104445	Tox3	Cdc42ep1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q00587	Rn:A1A5P0
Q80W03	Q8BGT6	244579	27008	Tox3	Micall1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q8N3F8;Rn:D3ZQL6	Ce:O18284;Dr:E7FA45
Q80W03	A2A863	244579	192897	Tox3	Itgb4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	Q62523	244579	22793	Tox3	Zyx	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q15942;Dr:F1QC03;Rn:D4A7U1	-
Q80W03	P27577	244579	23871	Tox3	Ets1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:P14921;Rn:P41156	-
Q80W03	Q62440	244579	21885	Tox3	Tle1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	Q9CZW4	244579	74205	Tox3	Acsl3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:O95573;Dr:B0S5C4	Rn:Q63151
Q80W03	Q8CHP8	244579	67078	Tox3	Pgp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:A6NDG6;Dm:Q9VVL5;Rn:D3ZDK7	Dr:F1QGU0
Q80W03	Q9ERE8	244579	80889	Tox3	Tlnrd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q9H1K6;Dr:E7F508;Rn:Q5BJV3	-
Q80W03	O70311	244579	18108	Tox3	Nmt2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	E9PYP2	244579	269198	Tox3	Nbeal1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q6ZS30;Dr:A0A0R4IDF6;Rn:F1M6V0	-
Q80W03	O88878	244579	22682	Tox3	Zfand5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:O76080;Dr:Q7ZU97;Rn:B5DF11	-
Q80W03	O70325	244579	625249	Tox3	Gpx4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:P36969;Ce:H2KYJ6	Ce:U4PB05;Rn:A0A0G2K398
Q80W03	Q8R0S2	244579	232227	Tox3	Iqsec1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	B2RRD7	244579	78783	Tox3	Brpf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	O54918	244579	12125	Tox3	Bcl2l11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:O43521;Rn:O88498	-
Q80W03	Q8VDD5	244579	17886	Tox3	Myh9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:P35579;Rn:G3V6P7	Dr:F1QJK4
Q80W03	O35718	244579	12702	Tox3	Socs3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:O14543;Dr:Q6NYJ2;Dr:Q7ZUC6;Rn:G3V6D2	-
Q80W03	Q3U3E2	244579	72750	Tox3	Fam117b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q6P1L5;Dr:B0V0F6	-
Q80W03	G5E852	244579	16452	Tox3	Jak2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	-	-
Q80W03	Q7M759	244579	226016	Tox3	Abhd17b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q5VST6;Rn:Q6AY17	Dr:A3KPQ6
Q80W03	Q5DTW7	244579	67246	Tox3	Resf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q9HCM1	Rn:E9PU57
Q80W03	Q8CI70	244579	216011	Tox3	Lrrc20	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q8TCA0;Ce:Q21347;Dr:A0A0R4IPB8;Rn:F1LUD9	Dm:C0PV74
Q80W03	Q924A2	244579	71722	Tox3	Cic	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Dr:F1Q6M9;Rn:D4A853	Hs:I3L2J0
Q80W03	Q8VCQ6	244579	208449	Tox3	Sgms1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q86VZ5;Dr:A0JMN0;Dr:Q5U3Z9;Rn:Q7TSX5	-
Q80W03	Q9JLJ0	244579	56722	Tox3	Litaf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O15405;Dr:E7FAU5	Rn:F1LNE1	Hs:Q99732;Ce:Q56VY4;Dm:Q8IRE5;Rn:P0C0T0	Dr:Q6GMG8
