UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8NHY6	Q9C010	140612	5570	ZFP28	PKIB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Rn:Q8R4R3	Dr:Q5SPN9;Mm:Q3TZU5
Q8NHY6	Q7Z6G8	140612	56899	ZFP28	ANKS1B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q8N9N5	140612	54971	ZFP28	BANP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:I7HPA5;Mm:Q8VBU8;Rn:B1H235	-
Q8NHY6	O60337	140612	10299	ZFP28	MARCHF6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:Q400N4;Dm:Q9W023;Dr:E9QDQ9;Mm:Q6ZQ89;Rn:F1M1F1	-
Q8NHY6	Q9GZM8	140612	81565	ZFP28	NDEL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q803Q2;Mm:Q9ERR1;Rn:Q78PB6	-
Q8NHY6	O60346	140612	23239	ZFP28	PHLPP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q8CHE4;Rn:F1LNC3	Dr:X1WGE6
Q8NHY6	P62258	140612	7531	ZFP28	YWHAE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:P92177;Dr:Q7ZW20;Mm:P62259;Rn:P62260;Sc:P34730;Sc:P29311	-
Q8NHY6	O75306	140612	4720	ZFP28	NDUFS2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:Q22800;Ce:Q93873;Dm:Q9V4E0;Dr:F1Q4N4;Mm:Q91WD5;Rn:Q641Y2	-
Q8NHY6	P60893	140612	54329	ZFP28	GPR85	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P60894;Rn:P60895	Dr:A0A0R4I9E4
Q8NHY6	Q06187	140612	695	ZFP28	BTK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	O75030	140612	4286	ZFP28	MITF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:F1Q885;Mm:Q08874;Rn:O88368	-
Q8NHY6	Q96L34	140612	57787	ZFP28	MARK4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:R4GEN1;Mm:Q8CIP4;Rn:D4A6T9	-
Q8NHY6	Q8WW38	140612	23414	ZFP28	ZFPM2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q8CCH7	Dr:F1RD49;Rn:D4A0R1
Q8NHY6	O75356	140612	957	ZFP28	ENTPD5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:E9QI88	Rn:F1LPB8
Q8NHY6	P46777	140612	6125	ZFP28	RPL5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:P49405;Dm:Q9W5R8;Dr:Q7ZUI0;Mm:P47962;Rn:P09895;Sc:P26321	-
Q8NHY6	Q9NS25	140612	728695	ZFP28	SPANXB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q3MIR4	140612	161291	ZFP28	TMEM30B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q6GMG4;Mm:Q8BHG3	Rn:D3Z9E9
Q8NHY6	P15882	140612	1123	ZFP28	CHN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q4G0P3	140612	54768	ZFP28	HYDIN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:F1R516;Mm:Q80W93;Rn:A0A0G2JXD6	-
Q8NHY6	P23743	140612	1606	ZFP28	DGKA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:O88673;Rn:P51556	Dr:Q1ECW5
Q8NHY6	Q15283	140612	5922	ZFP28	RASA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q6PIJ6	140612	81545	ZFP28	FBXO38	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:E7F2P7;Mm:Q8BMI0	Rn:D3ZIK8
Q8NHY6	P46199	140612	4528	ZFP28	MTIF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:Q20447;Dm:Q9VAV2;Dr:F1QD40;Mm:Q91YJ5;Sc:P25038	-
Q8NHY6	Q99700	140612	6311	ZFP28	ATXN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:K8FDZ1;Dr:A2CF31;Mm:E9QM77;Rn:F1M049	-
Q8NHY6	Q9UID3	140612	738	ZFP28	VPS51	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:O01839;Dm:Q8MSY4;Dr:F1QLF1;Mm:Q3UVL4;Rn:F1M4I4	-
Q8NHY6	Q8WVN8	140612	92912	ZFP28	UBE2Q2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q8K2Z8;Rn:D4A1G2	Dr:A8KBW2;Dr:E7F1U7
Q8NHY6	P40189	140612	3572	ZFP28	IL6ST	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q00560;Rn:F1LPK1	Dr:F1RCZ2
Q8NHY6	Q8IV38	140612	57037	ZFP28	ANKMY2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Ce:Q9N3Q8;Dm:Q9VTB0;Dr:F1QE34;Mm:Q3TPE9;Rn:A0A0G2K8N6	-
Q8NHY6	Q96QF0	140612	117177	ZFP28	RAB3IP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	Dr:A0A2R8Q2W8;Mm:A0A1W2P7K6;Rn:Q62739
Q8NHY6	Q9BRP8	140612	84305	ZFP28	PYM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:P82804;Mm:Q8CHP5;Rn:D3ZGY1	-
Q8NHY6	Q96NR8	140612	145226	ZFP28	RDH12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q8BYK4	Rn:D3ZEP9
Q8NHY6	Q9Y6E2	140612	28969	ZFP28	BZW2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q91VK1;Rn:Q9WTT7	Dr:Q1LUC1
Q8NHY6	Q6ZRQ5	140612	253714	ZFP28	MMS22L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:O46089;Dr:F1Q905;Mm:B1AUR6;Rn:D3ZS39	-
Q8NHY6	O00148	140612	10212	ZFP28	DDX39A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:A2AWA1;Dr:Q803W0;Mm:Q8VDW0;Rn:Q5U216	-
Q8NHY6	Q53H12	140612	55750	ZFP28	AGK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:Q9VL10;Dr:Q7ZW00;Mm:Q9ESW4;Rn:D3Z9L0	-
Q8NHY6	O15020	140612	6712	ZFP28	SPTBN2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q68FG2	Rn:F1MA36
Q8NHY6	P56545	140612	1488	ZFP28	CTBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P56546;Sc:P40054	-
Q8NHY6	O15460	140612	8974	ZFP28	P4HA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:A0A286Y8C8;Rn:D3ZGT6	Mm:Q5SX75
Q8NHY6	O15034	140612	23504	ZFP28	RIMBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	P15260	140612	3459	ZFP28	IFNGR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P15261;Rn:Q6P6T3	-
Q8NHY6	Q9Y4G8	140612	9693	ZFP28	RAPGEF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q9BS91	140612	55032	ZFP28	SLC35A5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q921R7;Rn:D4A7S3	Dr:Q90X48
Q8NHY6	Q9UPQ7	140612	23024	ZFP28	PDZRN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:E7FDW2;Mm:Q69ZS0;Rn:A0A0G2K4K7	-
Q8NHY6	P52564	140612	5608	ZFP28	MAP2K6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q9DGE0;Mm:P70236;Rn:Q925D6	-
Q8NHY6	O60524	140612	9147	ZFP28	NEMF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:Q9VBX1;Mm:Q8CCP0;Rn:A0A0G2K9F2;Sc:Q12532	Ce:Q9BKR5
Q8NHY6	Q9P2J8	140612	57547	ZFP28	ZNF624	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:A0A087WSP8	-
Q8NHY6	P08493	140612	4256	ZFP28	MGP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P19788;Rn:Q5RK05	-
Q8NHY6	Q6ZUM4	140612	201176	ZFP28	ARHGAP27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:A2AB59	Dr:E7FCI7;Dr:E7F1R9;Rn:F1LQ24
Q8NHY6	P43007	140612	6509	ZFP28	SLC1A4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:O35874;Rn:Q76GL9	Dr:Q7ZZ28
Q8NHY6	Q8IZD0	140612	201191	ZFP28	SAMD14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q8K070	Rn:F1LN57
Q8NHY6	Q96SD1	140612	64421	ZFP28	DCLRE1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q00653	140612	4791	ZFP28	NFKB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q0II00;Mm:Q9WTK5;Rn:Q5U2Z4	-
Q8NHY6	Q9BUB4	140612	23536	ZFP28	ADAT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:Q9V3R6;Dr:F1R076;Mm:Q9JHI2;Rn:D4ADL5	-
Q8NHY6	Q03405	140612	5329	ZFP28	PLAUR	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P35456;Rn:M0R3P2	-
Q8NHY6	O95319	140612	10659	ZFP28	CELF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q9Z0H4;Rn:Z4YNP1	Dr:T1ECV3
Q8NHY6	Q8NCL8	140612	89894	ZFP28	TMEM116	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:A2BGS3;Mm:G3X9M9;Rn:F1LRF5	-
Q8NHY6	Q8NG04	140612	65012	ZFP28	SLC26A10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	P54132	140612	641	ZFP28	BLM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:O88700;Rn:D3ZQW1	-
Q8NHY6	Q9UBL0	140612	10777	ZFP28	ARPP21	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q9DCB4	Rn:A0A0G2JVX9
Q8NHY6	Q15154	140612	5108	ZFP28	PCM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q8TAD7	140612	387882	ZFP28	OCC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:P0C913	-
Q8NHY6	Q7Z2F6	140612	124411	ZFP28	ZNF720	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	O14682	140612	8507	ZFP28	ENC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:F1QKP6;Mm:O35709;Rn:Q6DKY8	-
Q8NHY6	O00142	140612	7084	ZFP28	TK2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:Q9XZT6;Mm:Q8BN51;Rn:D3ZGQ2	Dr:F8W3D1
Q8NHY6	Q92738	140612	9712	ZFP28	USP6NL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q80XC3;Rn:D3ZL57	-
Q8NHY6	Q14585	140612	25850	ZFP28	ZNF345	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	P68431	140612	8350;8351;8352;8353;8354;8355;8356;8357;8358;8968	ZFP28	H3C1;H3C2;H3C3;H3C4;H3C6;H3C7;H3C8;H3C10;H3C11;H3C12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q5T0N5	140612	54874	ZFP28	FNBP1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Rn:Q2HWF0	Dr:B0UXN4;Mm:E9PUK3
Q8NHY6	Q9H2J7	140612	55117	ZFP28	SLC6A15	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q1LVQ4;Mm:Q8BG16;Rn:Q08469	-
Q8NHY6	Q8NFM7	140612	54756	ZFP28	IL17RD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:B3DKQ2;Mm:Q8JZL1;Rn:D3ZGQ0	-
Q8NHY6	A0A0U1RRL7	140612	-	ZFP28	MMP24OS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:A0A0N4SW31	-
Q8NHY6	Q5VZL5	140612	9202	ZFP28	ZMYM4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q1LWY5;Mm:A2A791;Rn:D4A069	Dr:F6NVC8
Q8NHY6	P24723	140612	5583	ZFP28	PRKCH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:B1H1I7;Mm:P23298;Rn:Q64617	-
Q8NHY6	Q9NRI5	140612	27185	ZFP28	DISC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Mm:Q811T9;Rn:Q810H6	-
Q8NHY6	Q93079	140612	8345	ZFP28	H2BC9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	-
Q8NHY6	Q9HD34	140612	57128	ZFP28	LYRM4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dm:O46098;Dr:A0A2R8Q8D7;Mm:Q8K215;Rn:D3ZYM7;Sc:Q6Q560	-
Q8NHY6	Q6PG37	140612	388536	ZFP28	ZNF790	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	-	Rn:M0R9W3
Q8NHY6	P48378	140612	5990	ZFP28	RFX2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:P10078	Rn:D3ZVD4	Dr:Q5EAP5;Mm:P48379;Sc:P48743	Rn:A0A0G2K7V5
