UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UID6	P10600	51193	7043	ZNF639	TGFB3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q91YU7;Rn:Q07258	Dr:Q66I23
Q9UID6	A0A1B0GW23	51193	-	ZNF639	ABHD14A-ACY1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	-	-
Q9UID6	Q7Z6J8	51193	90025	ZNF639	UBE3D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:F1Q7U1;Mm:Q8BX13;Rn:Q3T1H6	-
Q9UID6	P14416	51193	1813	ZNF639	DRD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:Q8AWE0;Mm:P61168	Rn:P61169
Q9UID6	Q9H871	51193	64795	ZNF639	RMND5A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Ce:Q22302;Dm:Q9W2N5;Mm:Q80YQ8;Rn:D3ZWU9	-
Q9UID6	P37275	51193	6935	ZNF639	ZEB1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:F1QPM7;Mm:Q64318;Rn:F8WG35	-
Q9UID6	Q5JRK9	51193	389860	ZNF639	PAGE2B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	-	-
Q9UID6	Q9UPU7	51193	23102	ZNF639	TBC1D2B	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:E7FB23;Mm:Q3U0J8;Rn:D3ZAF7	-
Q9UID6	O95169	51193	4714	ZNF639	NDUFB8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Ce:Q9XWJ5;Dm:Q9W3X7	-
Q9UID6	Q9NRG7	51193	56948	ZNF639	SDR39U1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dm:Q8T0N5;Mm:Q5M8N4;Rn:D3ZYY0	-
Q9UID6	P86452	51193	100381270	ZNF639	ZBED6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dm:Q9VM61;Mm:D2EAC2	-
Q9UID6	Q9ULC8	51193	29801	ZNF639	ZDHHC8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:A2CEX1;Mm:Q5Y5T5;Rn:Q2THW6	-
Q9UID6	Q96T21	51193	79048	ZNF639	SECISBP2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q3U1C4;Rn:F1LPQ8	-
Q9UID6	P49593	51193	9647	ZNF639	PPM1F	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Ce:P49594;Dr:A2BE49;Mm:Q8CGA0;Rn:Q9WVR7	-
Q9UID6	Q1XH10	51193	387640	ZNF639	SKIDA1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	-	Mm:G3X9M2;Rn:F1LXY5
Q9UID6	O95292	51193	9217	ZNF639	VAPB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q8BH80;Rn:Q9Z269	-
Q9UID6	P07814	51193	2058	ZNF639	EPRS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dm:P28668;Dr:F1QP23;Mm:Q8CGC7;Rn:A0A0G2JZI2	-
Q9UID6	Q9NYK5	51193	54148	ZNF639	MRPL39	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	Dm:Q9VUJ0;Mm:Q9JKF7;Rn:M0R6J0	Dr:Q7T3F9
Q9UID6	Q9C0D7	51193	85463	ZNF639	ZC3H12C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q5DTV4;Rn:A0A0G2K000	-
Q9UID6	Q96A84	51193	129080	ZNF639	EMID1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q91VF5	-
Q9UID6	Q9NQG6	51193	54471	ZNF639	MIEF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Mm:Q8BGV8;Rn:Q5XIS8	Dr:F1Q8R5
Q9UID6	P50548	51193	2077	ZNF639	ERF	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	Rn:D3ZJW0	Mm:A0A0R4J0I0
Q9UID6	O43852	51193	813	ZNF639	CALU	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q99KZ6	Rn:Q5PPG4	-	-
Q9UID6	Q969T4	51193	10477	ZNF639	UBE2E3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:B0S6A7;Mm:P52483;Rn:F7F5A1	-
Q9UID6	Q14CX5	51193	79847	ZNF639	MFSD13A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q99KZ6	Rn:Q5PPG4	Dr:Q5PRC2;Mm:Q6PDE8;Rn:A0A0G2JUB6	-
