UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8BG87	Q9CQE2	194388	66836	Tet3	Tmem223	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:A0PJW6;Dm:Q7JW07;Rn:D4AC93	Dr:Q6DC58;Rn:A0A0G2JXU9;Rn:M0RCL0
Q8BG87	E9Q048	194388	381062	Tet3	Ermard	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q5T6L9;Rn:Q3B8R1	-
Q8BG87	P97297	194388	11535	Tet3	Adm	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P35318;Rn:P43145	-
Q8BG87	P60122	194388	56505	Tet3	Ruvbl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9Y265;Ce:O17607;Dm:Q9VH07;Dr:Q6IQT8;Sc:Q03940	Rn:P60123
Q8BG87	Q9CQT5	194388	66537	Tet3	Pomp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9Y244;Dm:Q9VIJ5;Dr:Q6DGT9	Rn:A5HKJ3
Q8BG87	P49282	194388	18174	Tet3	Slc11a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P49281;Dm:P49283;Rn:A0A140TAD8	-
Q8BG87	O55222	194388	16202	Tet3	Ilk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q13418;Ce:Q9TZC4;Dm:Q9V400;Dr:Q6PHD6;Rn:Q99J82	-
Q8BG87	O08579	194388	13726	Tet3	Emd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P50402;Rn:Q6PCU4	Dr:E9QFP7
Q8BG87	Q9CQC9	194388	66397	Tet3	Sar1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9Y6B6;Rn:Q5HZY2	-
Q8BG87	Q9D832	194388	67035	Tet3	Dnajb4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9UDY4;Dr:Q6DEF3;Rn:Q5XIP0	-
Q8BG87	Q8BZQ7	194388	99152	Tet3	Anapc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9UJX6;Dm:Q9W1E5;Dr:A0A0R4ISV4;Rn:B2RYJ1	-
Q8BG87	Q8R3A2	194388	72355	Tet3	Cdpf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q6NVV7;Dm:Q9VHN3	Dr:A0A0R4I9K8
Q8BG87	Q80VM7	194388	70615	Tet3	Ankrd24	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8TF21;Dr:F6P805	Rn:D3ZCC5
Q8BG87	C0HKE6	194388	319164;319165;319166;319167;319170;319171;319172;319191;665433	Tet3	H2ac13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	-	-
Q8BG87	Q6P1C1	194388	75678	Tet3	Ippk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9H8X2;Ce:Q9XXI1;Dr:Q4JL91;Rn:G3V7Z5	-
Q8BG87	Q99KG7	194388	192232	Tet3	Hps4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9NQG7;Dr:A9C463	Rn:A0A0G2K1L6
Q8BG87	O35988	194388	20971	Tet3	Sdc4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P31431;Rn:P34901	-
Q8BG87	Q3ULA8	194388	668620	Tet3	Zfp936	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	-	-
Q8BG87	Q9JIB0	194388	57785	Tet3	Rangrf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9HD47;Rn:D3ZMP9;Sc:P47123	Dr:A3KPP3
Q8BG87	Q8R205	194388	103284	Tet3	Zc3h10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q96K80;Dr:Q6ZM22;Rn:D3ZLM7	-
Q8BG87	Q00731	194388	22339	Tet3	Vegfa	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	-	-
Q8BG87	P10711	194388	21399	Tet3	Tcea1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P23193;Dr:Q7T3C1;Rn:Q4KLL0	-
Q8BG87	Q9CZH8	194388	67200	Tet3	Ccdc77	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9BR77;Dr:E7FBZ5	Rn:D3ZHU5
Q8BG87	Q9D819	194388	67895	Tet3	Ppa1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q15181;Dr:B7ZD39	-
Q8BG87	Q80YQ1	194388	21825	Tet3	Thbs1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:P07996;Rn:A0A0G2JV24	-
Q8BG87	Q9WVM1	194388	26934	Tet3	Racgap1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9H0H5;Dm:A1Z9I5;Rn:B2GV02	Dr:A0A0R4IZK0
Q8BG87	O35685	194388	18221	Tet3	Nudc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9Y266;Ce:G5EE74;Dm:Q9VVA6;Dr:Q6NV13;Rn:Q63525	-
Q8BG87	Q3TE80	194388	668661	Tet3	2410002F23Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	-	Rn:F1LMA5
Q8BG87	Q6RUT7	194388	214489	Tet3	Ccsmst1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q4G0I0;Rn:D4ACY1	-
Q8BG87	Q3TCU5	194388	21356	Tet3	Tapbp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Rn:Q99JC6	Hs:A0A024RCT1;Dr:Q1LUU3
Q8BG87	G5E866	194388	81898	Tet3	Sf3b1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:O75533;Ce:G5EEQ8;Dm:Q9VPR5;Dr:F1QQZ1;Rn:G3V7T6;Sc:P49955	-
Q8BG87	P28663	194388	17957	Tet3	Napb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9H115;Dr:E7FE03;Dr:F1Q9P4;Rn:F8WFM2	-
Q8BG87	Q8BQN6	194388	26465	Tet3	Znf146	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q15072	Dr:H0WEW6;Dr:E9QIA7;Rn:F1MAP1
Q8BG87	Q8K440	194388	27404	Tet3	Abca8b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:O94911;Rn:D3ZAE9	-
Q8BG87	Q149F1	194388	271842	Tet3	Rpusd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8IZ73;Ce:O16686;Dr:E7FFJ5	Dm:M9MRH0;Rn:D4ACD4
Q8BG87	Q6ZQM0	194388	67338	Tet3	Rffl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8WZ73;Dr:F1QFN6;Dr:F1QKD6;Rn:Q8CIN9	-
Q8BG87	Q8K2Q5	194388	66433	Tet3	Chchd7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q9BUK0;Dm:Q9VPC2;Dr:F1QKA5	Rn:D4AC73
Q8BG87	A0A023T778	194388	66441	Tet3	Magohb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	-	-
Q8BG87	O55240	194388	19682	Tet3	Rdh5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q92781;Rn:A0A0G2K1R4	Dr:F1RCW4
Q8BG87	D3Z070	194388	69349	Tet3	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:C9J6K1	-
Q8BG87	Q69ZU8	194388	140577	Tet3	Ankrd6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Dm:Q8SY34;Rn:B5DEH9	-
Q8BG87	A0A0R4J0B4	194388	12764	Tet3	Cmas	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8NFW8;Rn:Q5M963	-
Q8BG87	Q9D2Q2	194388	78890	Tet3	Trmt44	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8IYL2;Rn:D3ZS79	-
Q8BG87	G3X9X1	194388	210973	Tet3	Kbtbd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8IY47;Dr:Q08CL1;Rn:D3ZVS6	-
Q8BG87	Q9D0N8	194388	67020	Tet3	Tmem88	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q6PEY1;Rn:G3V7A2	-
Q8BG87	Q9D112	194388	73747	Tet3	Shld1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q8IYI0;Rn:D3ZVK4	-
Q8BG87	Q99J79	194388	107986	Tet3	Ddb2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:O43151;Rn:D3ZQT7	-	Hs:Q92466;Dr:Q2YDS1;Rn:D3ZR08	-
