UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q86TJ5	P0DPA2	115196	391123	ZNF554	VSIG8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6P3A4	Rn:D4A7V8
Q86TJ5	Q6UX04	115196	10283	ZNF554	CWC27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9XXI7;Dm:Q9VTN7;Dr:F1QRY1;Mm:Q3TKY6;Rn:Q5XIB2	-
Q86TJ5	Q9UBN6	115196	8793	ZNF554	TNFRSF10D	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q86TJ5	P04637	115196	7157	ZNF554	TP53	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P02340	Dr:B0R0M3;Rn:M0R497
Q86TJ5	Q96LL4	115196	157773	ZNF554	C8orf48	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3TTJ4	-
Q86TJ5	Q08257	115196	1429	ZNF554	CRYZ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:O45496;Dr:A5PN39;Mm:P47199;Rn:Q6AYT0	-
Q86TJ5	A0A088AWK7	115196	-	ZNF554	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
Q86TJ5	Q9NQE9	115196	135114	ZNF554	HINT3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:D3KFR7;Dm:Q6IIA4;Mm:Q9CPS6;Rn:F1M9G8	Dr:E7F132
Q86TJ5	Q7Z4H9	115196	84792	ZNF554	FAM220A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3ZN08;Rn:Q6DGF6	-
Q86TJ5	Q08380	115196	3959	ZNF554	LGALS3BP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
