UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8K284	P60824	233863	12696	Gtf3c1	Cirbp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Rn:P60825	Hs:K7EQR7;Dr:F1R6L4
Q8K284	P62743	233863	232910	Gtf3c1	Ap2s1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P53680;Ce:Q19123;Dm:Q9VDC3;Dr:Q6PEJ2;Rn:P62744	-
Q8K284	O35864	233863	26754	Gtf3c1	Cops5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q92905;Ce:P91001;Dm:Q9XZ58;Dr:Q6PC30;Rn:F7EUU4	-
Q8K284	Q8JZX3	233863	70235	Gtf3c1	Poc1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8NBT0	Rn:D4ABU4
Q8K284	Q06219	233863	18227	Gtf3c1	Nr4a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P43354;Dr:A0A2R9YJF7;Rn:A0A0G2JSV4	-
Q8K284	P35980	233863	19899	Gtf3c1	Rpl18	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q07020;Ce:O45946;Dm:Q9VS34;Dr:Q6DGL0;Rn:A0A0H2UHS7;Sc:P0CX49	-
Q8K284	E9PYL8	233863	75444	Gtf3c1	Ccdc192	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P0DO97	-
Q8K284	Q99LF4	233863	28088	Gtf3c1	Rtcb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9Y3I0;Ce:P90838;Dm:Q9VIW7;Rn:Q6AYT3	Dr:Q6NZS4
Q8K284	Q9Z0S2	233863	16870	Gtf3c1	Lhx2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P50458;Rn:F1M7M2	-
Q8K284	D3Z4D4	233863	-	Gtf3c1	1700064H15Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q5SPL2	233863	268448	Gtf3c1	Phf12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q96QT6;Dm:Q9W410;Dr:E7EXI6;Dr:X1WDS1;Rn:F1LM99	-
Q8K284	Q62108	233863	13385	Gtf3c1	Dlg4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P78352	Rn:A0A0G2K7F5
Q8K284	P0C192	233863	272381	Gtf3c1	Lrrc4b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9NT99;Rn:P0CC10	Dr:F1QBH8
Q8K284	C0HKE1	233863	319164;319165;319166;319167;319170;319171;319172;319191;665433	Gtf3c1	H2ac4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q8BGI1	233863	51902	Gtf3c1	Rnf24	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9Y225;Dr:Q5U3J0	-
Q8K284	P54369	233863	18245	Gtf3c1	Oaz1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P54368;Rn:F1M8D8	-
Q8K284	P0CG50	233863	22190	Gtf3c1	Ubc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P0CG48;Ce:P0CG71;Dm:P0CG69;Dm:Q9W418;Dr:F1QHN6;Rn:F1LML2	-
Q8K284	Q9JL21	233863	12777	Gtf3c1	Ccr10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P46092	Rn:D3ZJH1
Q8K284	Q66JQ7	233863	-	Gtf3c1	Knl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q03288	233863	50518	Gtf3c1	Asip	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P42127	Dr:B3DGI7;Rn:F1LQS7
Q8K284	Q8BZP8	233863	319239	Gtf3c1	Npsr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q6W5P4	Rn:A0A0H2UHN0
Q8K284	Q9D722	233863	66680	Gtf3c1	Oser1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9NX31;Rn:Q703I1	Dr:F1QQE1
Q8K284	A0A1L1SSC7	233863	234875	Gtf3c1	Ttc13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8NBP0;Rn:A0A0G2JZ94	-
Q8K284	Q9R0K7	233863	11941	Gtf3c1	Atp2b2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q01814	Rn:D4A8B3
Q8K284	G5E870	233863	14897	Gtf3c1	Trip12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Dr:F1RCR6;Sc:P33202	Hs:A0A6Q8PHK0;Rn:A0A0G2JU73
Q8K284	Q9JIA1	233863	56839	Gtf3c1	Lgi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O95970;Dr:Q2HPG2;Rn:Q8K4Y5	Dr:F1R662
Q8K284	Q9CQ46	233863	68226	Gtf3c1	Efcab2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q5VUJ9;Dm:Q9W2L0;Rn:A0A0G2K9F5	Dm:A1ZBR3;Dr:X1WBK3
Q8K284	P62880	233863	14693	Gtf3c1	Gnb2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q6PDK2	233863	-	Gtf3c1	Kmt2d	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q8BZQ7	233863	99152	Gtf3c1	Anapc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9UJX6;Dm:Q9W1E5;Dr:A0A0R4ISV4;Rn:B2RYJ1	-
Q8K284	Q8R3A2	233863	72355	Gtf3c1	Cdpf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q6NVV7;Dm:Q9VHN3	Dr:A0A0R4I9K8
Q8K284	O35474	233863	13612	Gtf3c1	Edil3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O43854	Dr:F1QBK2;Rn:F1M6P8
Q8K284	C0HKE6	233863	319164;319165;319166;319167;319170;319171;319172;319191;665433	Gtf3c1	H2ac13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q8BGZ2	233863	319604	Gtf3c1	Fam168a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q92567;Rn:D3ZHW1	Dr:A0A0H2UKU6
Q8K284	Q9DCX2	233863	71679	Gtf3c1	Atp5pd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O75947;Dm:Q24251;Dr:Q6PC77;Rn:P31399	-
Q8K284	Q8CG19	233863	268977	Gtf3c1	Ltbp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q14766	Dr:X1WBQ9;Rn:D3ZAA3
Q8K284	Q99LJ0	233863	80281	Gtf3c1	Cttnbp2nl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9P2B4;Rn:D4A8X8	-
Q8K284	Q8R205	233863	103284	Gtf3c1	Zc3h10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q96K80;Dr:Q6ZM22;Rn:D3ZLM7	-
Q8K284	Q9DCG6	233863	68371	Gtf3c1	Pbld1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q6XZL8	233863	208266	Gtf3c1	Dot1l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8TEK3;Rn:D3ZCP0	-
Q8K284	Q8CGC4	233863	241846	Gtf3c1	Lsm14b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9BX40;Ce:Q9XW17;Rn:A0A0G2JZY0	Dr:F1Q898
Q8K284	P62876	233863	66491	Gtf3c1	Polr2l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P62875;Ce:Q9GR61;Dm:Q9VC49;Dr:A5D6S6;Sc:P22139	Rn:A0A0G2JZT9
Q8K284	P63300	233863	20364	Gtf3c1	Selenow	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	Hs:F8WB74;Rn:F1LN38
Q8K284	Q9DBY0	233863	74123	Gtf3c1	Foxp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	P60755	233863	320772	Gtf3c1	Mdga2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q9D1N9	233863	353242	Gtf3c1	Mrpl21	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q7Z2W9;Dr:Q05AN2;Rn:D3ZMR9	-
Q8K284	A0A0R4J0B4	233863	12764	Gtf3c1	Cmas	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8NFW8;Rn:Q5M963	-
Q8K284	G5E8H1	233863	-	Gtf3c1	Gria2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P42262;Rn:G3V914	Dm:A0A0S0WIE7;Dr:A0A140LG34
Q8K284	Q68FD5	233863	67300	Gtf3c1	Cltc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Ce:P34574;Dm:P29742;Rn:F1M779;Sc:P22137	Hs:A0A087WVQ6;Dr:F1R966
Q8K284	G3X8X0	233863	69192	Gtf3c1	Dhx16	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O60231;Ce:O45244;Dm:Q9VIZ3;Dr:F1QU72;Rn:Q6MG13;Sc:P20095	-
Q8K284	Q3US59	233863	-	Gtf3c1	Gm28047	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	A0A0R4J0W6	233863	67144	Gtf3c1	Lrrc40	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9H9A6;Dr:F1REP7;Rn:G3V7I7	Dm:A8JQZ7
Q8K284	Q8CGS6	233863	77782	Gtf3c1	Polq	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Dm:O18475;Rn:D4A628	Hs:A0A087WXL3
Q8K284	Q04890	233863	20667	Gtf3c1	Sox12	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O15370;Rn:D3ZZ13	-
Q8K284	P26450	233863	18708	Gtf3c1	Pik3r1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P27986;Rn:F1LNG5	-
Q8K284	Q9ERH7	233863	15259	Gtf3c1	Hipk3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9H422;Dr:Q1LUZ7;Dr:F6NWN5;Rn:A0A0G2K4W6	-
Q8K284	E9Q6J5	233863	665775	Gtf3c1	Bod1l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8NFC6;Rn:M0RC54	-
Q8K284	P28659	233863	13046	Gtf3c1	Celf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Dr:Q9IBD0	Hs:G5EA30;Rn:Q4QQT3
Q8K284	Q8CCS2	233863	270028	Gtf3c1	Fam155a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:B1AL88	Dr:E7FA63
Q8K284	Q9Z1W4	233863	14561	Gtf3c1	Gdf11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:O95390;Ce:P92172;Rn:Q9Z217	Dr:Q8JFP9
Q8K284	Q9CS84	233863	18189	Gtf3c1	Nrxn1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9ULB1	Dr:A0A2R8QKE7
Q8K284	B1AQJ2	233863	72344	Gtf3c1	Usp36	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9P275;Dr:E7F4C0	Rn:A0A0G2K033
Q8K284	E9PYS1	233863	-	Gtf3c1	Gm43517	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q924A2	233863	71722	Gtf3c1	Cic	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Dr:F1Q6M9;Rn:D4A853	Hs:I3L2J0
Q8K284	Q9JHB4	233863	71354	Gtf3c1	Wdr31	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8NA23;Ce:O44856;Dr:A5WV44;Rn:D4ACM5	-
Q8K284	P16675	233863	19025	Gtf3c1	Ctsa	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	A2A5J5	233863	415115	Gtf3c1	Neurl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q9BR09;Dm:Q9W112;Rn:B0BMZ0	Dr:F1R8J5
Q8K284	Q8BRB1	233863	13837	Gtf3c1	Epha3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P29320;Rn:G3V9D5	-
Q8K284	P52293	233863	16647	Gtf3c1	Kpna2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	-	-
Q8K284	Q3THJ3	233863	69860	Gtf3c1	Eif1ad	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q8N9N8;Ce:Q23646;Dm:Q8IQ13;Dr:F1QEM2;Rn:Q5RKI6	-
Q8K284	P24527	233863	16993	Gtf3c1	Lta4h	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P09960;Ce:O44183;Ce:G5EFT4;Dm:A4V0U4;Dr:A5PMQ1;Sc:Q10740	Rn:P30349
Q8K284	P80205	233863	18423	Gtf3c1	Otx1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:P32242;Dr:Q91994;Rn:A0A0G2K288	-
Q8K284	Q3TA59	233863	72106	Gtf3c1	Jmjd8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q12789;Rn:F1LNV7	-	Hs:Q96S16;Ce:Q95QU1;Rn:A0A0G2JWD5	-
