UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8CG46	Q8BHG1	226026	230598	Smc5	Nrdc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:O43847;Dm:Q9VP94;Dm:Q9VYT3;Dr:B0S6B9;Rn:D3ZQ59	-
Q8CG46	P37237	226026	14179	Smc5	Fgf8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	-	-
Q8CG46	Q9JIL5	226026	68842	Smc5	Tulp4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q9NRJ4	Dm:Q9VB18;Dr:E7EXF2;Rn:D3ZFM2
Q8CG46	P50220	226026	21869	Smc5	Nkx2-1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:P43699;Dr:B3DH68;Rn:G3V740	-
Q8CG46	E9PUK2	226026	268822	Smc5	Adck5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q3MIX3;Dm:Q9VTG5;Rn:A0A0G2K6E7	Dr:F1Q5S6
Q8CG46	A2ATD1	226026	-	Smc5	Ism1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	-	-
Q8CG46	Q8K0Z9	226026	100129	Smc5	Gpr153	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q6NV75;Rn:D4ABT6	-
Q8CG46	Q8BNW9	226026	74901	Smc5	Kbtbd11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:O94819	Dr:A0A140LGG0;Rn:D4A5J1
Q8CG46	Q9CQB2	226026	68241	Smc5	Mcrip2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q9BUT9;Dr:Q1MT54;Rn:D3ZM07	-
Q8CG46	P19096	226026	14104	Smc5	Fasn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:P49327;Ce:P91871;Dr:E7F5V3;Rn:P12785	Dm:Q9VQL6
Q8CG46	O35435	226026	56749	Smc5	Dhodh	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q02127;Ce:O01815;Dm:P32748;Rn:Q63707;Sc:P28272	Dr:F1QNH4
Q8CG46	O54992	226026	17165	Smc5	Mapkapk5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	-	-
Q8CG46	Q99P81	226026	27405	Smc5	Abcg3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	-	Rn:A0A0G2K251
Q8CG46	B2RUM3	226026	-	Smc5	AU015836	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	-	-
Q8CG46	P35428	226026	15205	Smc5	Hes1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:Q14469;Dr:Q6PBX3;Rn:D4ADT9	-
Q8CG46	P50431	226026	20425	Smc5	Shmt1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8IY18;Ce:Q18237;Dm:Q8IPT2;Rn:A0A0G2K4T5;Sc:Q08204	Dr:E9QDR4	Hs:P34896;Dr:Q6NYR0	Rn:Q6TXG7
