UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7TSZ8	P19973	66830	16985	Nacc1	Lsp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:P33241;Dr:A0A0G2KYR2;Rn:Q4QQV6	-
Q7TSZ8	Q8CHG7	66830	-	Nacc1	Rapgef2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	-	-
Q7TSZ8	Q9WUQ2	66830	50907	Nacc1	Preb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:Q9HCU5;Ce:Q21115;Dm:Q9VMH4;Dr:Q6DHN1;Rn:G3V6W2	-
Q7TSZ8	Q9R0Q7	66830	56351	Nacc1	Ptges3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Ce:Q23280;Dm:Q9VH95;Dr:F1RCG2;Rn:P83868	Hs:A0A087WYT3
Q7TSZ8	Q0VGU4	66830	381677	Nacc1	Vgf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:O15240;Rn:F1LP80	Rn:M0RDR2
Q7TSZ8	Q8K4G5	66830	226251	Nacc1	Ablim1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Dr:Q58EF7	-
Q7TSZ8	Q9JJV5	66830	54376	Nacc1	Cacng3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:O60359;Rn:Q8VHX0	Dr:E7EY10
Q7TSZ8	E9QAC6	66830	-	Nacc1	Gm49486	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:Q9NRD5;Rn:Q6GQQ2	-
Q7TSZ8	Q9WUB4	66830	22428	Nacc1	Dctn6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:O00399;Ce:Q9N3F1;Dm:Q9VIZ1;Rn:D4ADD8	-
Q7TSZ8	D3YTR8	66830	432478	Nacc1	Tmprss9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Rn:P69526	Hs:A0A3B3IU58
Q7TSZ8	Q8BRU6	66830	214084	Nacc1	Slc18a2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:Q05940;Dr:F1QVV1	Rn:A0A0G2JSJ6
Q7TSZ8	P98199	66830	-	Nacc1	Atp8b2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	-	-
Q7TSZ8	Q80VG1	66830	268297	Nacc1	Scml4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q96RE7;Rn:O35260	-	Hs:Q8N228;Rn:A0A0G2K2K4	-
