UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
P0C0S5	Q9H9G7	3015	192669	H2AZ1	AGO3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1Q7S8;Mm:Q8CJF9;Rn:F1LUS2	-
P0C0S5	Q16665	3015	3091	H2AZ1	HIF1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6EHI4;Mm:Q61221;Rn:D4A8P8	-
P0C0S5	P62979	3015	6233	H2AZ1	RPS27A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q7SXA3;Mm:P62983;Rn:P62982	-
P0C0S5	Q6MZZ7	3015	92291	H2AZ1	CAPN13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q3UW68	Rn:Q5BK10
P0C0S5	Q9Y4P1	3015	23192	H2AZ1	ATG4B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6DG88;Mm:A0A0R4J065;Rn:A0A0G2QC33;Sc:P53867	-
P0C0S5	Q7Z4K8	3015	80128	H2AZ1	TRIM46	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q7TNM2	Rn:A0A5H1ZRU8
P0C0S5	Q969U6	3015	54461	H2AZ1	FBXW5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VMI1;Mm:Q9QXW2;Rn:Q4KLI9	Dr:A0A286Y9Z1
P0C0S5	Q5T0W9	3015	222584	H2AZ1	FAM83B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q0VBM2;Rn:D3ZF70	Dr:E7F4Q7
P0C0S5	P80303	3015	4925	H2AZ1	NUCB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:Q6NX06;Mm:P81117;Rn:G3V8R1	Dr:F1QW82
P0C0S5	Q3SY69	3015	160428	H2AZ1	ALDH1L2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7EXW7;Mm:Q8K009;Rn:D3ZTP0	-
P0C0S5	Q96JL9	3015	84449	H2AZ1	ZNF333	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	-	-
P0C0S5	Q9NXL6	3015	54847	H2AZ1	SIDT1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6AXF6;Rn:D4A117	-
