UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9UHJ3	Q96MT8	51460	80254	SFMBT1	CEP63	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	-	Mm:F8VPJ7;Rn:A0A0G2JXF3
Q9UHJ3	P61024	51460	1163	SFMBT1	CKS1B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Ce:Q17868;Dr:Q6DEL8;Mm:P61025;Rn:B2RZ99	Rn:F1M990
Q9UHJ3	Q8N7U6	51460	151651	SFMBT1	EFHB	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q8CDU5;Rn:D3ZTX5	Dr:E7F7T9
Q9UHJ3	Q8N142	51460	122622	SFMBT1	ADSS1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:P28650;Rn:M0R629	Dr:Q6NSN5
Q9UHJ3	Q6ZVD7	51460	219736	SFMBT1	STOX1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:B2RQL2;Rn:F1M4Y5	-
Q9UHJ3	Q9Y680	51460	51661	SFMBT1	FKBP7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dr:B0S745;Mm:O54998;Rn:D3Z9M5	-
Q9UHJ3	Q96LT7	51460	203228	SFMBT1	C9orf72	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dr:Q6TLH8;Mm:Q6DFW0;Rn:R9PXU1	-
Q9UHJ3	O75558	51460	8676	SFMBT1	STX11	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q3U5V8;Rn:A0A0G2K516	Dr:F1QX22
Q9UHJ3	Q9NZ45	51460	55847	SFMBT1	CISD1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dr:Q6PGY7;Mm:Q91WS0;Rn:B0K020	-
Q9UHJ3	Q9NPA0	51460	56851	SFMBT1	EMC7	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Ce:Q8WQG1;Dm:A1ZA83;Dr:Q5TYV0;Mm:Q9EP72;Rn:D3ZQL1	-
Q9UHJ3	P46781	51460	6203	SFMBT1	RPS9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Ce:Q20228;Dm:P55935;Dr:Q6P5M3;Mm:Q6ZWN5;Sc:P05755;Sc:O13516	Rn:P29314
Q9UHJ3	Q4VNC1	51460	84239	SFMBT1	ATP13A4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:S4R234;Rn:F1M9L4	Dm:L0MLL1
Q9UHJ3	Q9BU64	51460	79172	SFMBT1	CENPO	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q8K015;Rn:M0R9I1	Dr:X1WCU0
Q9UHJ3	Q9H7L9	51460	64426	SFMBT1	SUDS3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dm:Q9VWG2;Mm:Q8BR65;Rn:M0RBT5	-
Q9UHJ3	Q15637	51460	7536	SFMBT1	SF1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dm:Q9VEJ1;Dr:A0A0R4IBT0;Mm:Q64213;Rn:F1LSC3;Sc:Q12186	-
Q9UHJ3	Q92993	51460	10524	SFMBT1	KAT5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Ce:Q9TYU5;Dm:Q960X4;Dr:B8JKI8;Mm:Q8CHK4;Rn:A0A0G2KA75;Sc:Q08649	Dr:B0R0X6
Q9UHJ3	Q96D31	51460	84876	SFMBT1	ORAI1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q8BWG9;Rn:F1LNX2	-
Q9UHJ3	Q8WXE9	51460	85439	SFMBT1	STON2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dr:F1QDL6;Mm:Q8BZ60;Rn:D4AB66	-
Q9UHJ3	Q02078	51460	4205	SFMBT1	MEF2A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q60929;Rn:A0A0G2JT35	Dr:Q1LXH6
Q9UHJ3	Q13740	51460	214	SFMBT1	ALCAM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Dr:F1QE54;Mm:Q61490;Rn:O35112	Dr:F1QD88
Q9UHJ3	Q9P0S3	51460	94101	SFMBT1	ORMDL1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q9JMD1;Rn:Q9JMD2	-	Mm:Q921I0	Dr:B0V339
