UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6PDG5	Q9D2T6	68094	78414	Smarcc2	1700034E13Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:A0A1B0GTH9	-
Q6PDG5	G5E8K5	68094	11735	Smarcc2	Ank3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	-	-
Q6PDG5	Q8VCR2	68094	243168	Smarcc2	Hsd17b13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:Q7Z5P4;Rn:Q5M875	-
Q6PDG5	Q5SFM8	68094	225432	Smarcc2	Rbm27	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:U3KPZ7;Hs:Q9P2N5;Dr:F8W2E8;Rn:F1M1R4	-
Q6PDG5	Q9D5U8	68094	70873	Smarcc2	Cnbd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:Q96M20	-
Q6PDG5	Q7TQY2	68094	277562	Smarcc2	Olfr1286	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	-	-
Q6PDG5	Q8K158	68094	69171	Smarcc2	Cnppd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:Q9BV87;Rn:Q6P7B2	-
Q6PDG5	Q6GQW0	68094	74007	Smarcc2	Btbd11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:A6QL63;Dr:F1QKI7;Rn:D4AC89	-
Q6PDG5	Q3TQS0	68094	108802	Smarcc2	Calr4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	-	Rn:D3ZYM6
Q6PDG5	Q01721	68094	14451	Smarcc2	Gas1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:P54826;Rn:M0RBH9	-
Q6PDG5	P97952	68094	20266	Smarcc2	Scn1b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	Hs:Q07699;Rn:Q00954	Dr:Q06W32;Dr:A0A0H2UKN7
Q6PDG5	P05017	68094	16000	Smarcc2	Igf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Dr:E7FFZ4;Rn:D4A510	Hs:F8VXC8	-	-
