UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NPG3	O43261	29855	-	UBN1	DLEU1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	-	-
Q9NPG3	Q96S44	29855	112858	UBN1	TP53RK	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Ce:B5WWL2;Dm:Q9VRJ6;Dr:F1QB90;Mm:Q5U452;Mm:Q543M9;Rn:D3ZL21;Rn:D3ZCD7;Sc:P53323	-
Q9NPG3	Q8IZS8	29855	55799	UBN1	CACNA2D3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Mm:Q9Z1L5;Rn:F1LSR8	Dm:A8DZ06
Q9NPG3	P07737	29855	5216	UBN1	PFN1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Mm:P62962;Rn:P62963	-
Q9NPG3	P12956	29855	2547	UBN1	XRCC6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Ce:Q9U2D2;Dm:Q23976;Dr:F1QZ60;Mm:A0A0R4J187;Sc:P32807	Rn:E9PT85
Q9NPG3	Q9NNZ3	29855	3338	UBN1	DNAJC4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Dr:Q7ZUS6;Mm:Q9D844;Rn:A0A0G2JTP0	-
Q9NPG3	P55036	29855	5710	UBN1	PSMD4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Ce:O61742;Dm:P55035;Dr:Q6IQC6;Mm:O35226;Rn:O88321;Sc:P38886	-
Q9NPG3	Q9UH65	29855	23075	UBN1	SWAP70	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Dr:Q1LYE0;Mm:Q6A028;Rn:D3ZRE7	-
Q9NPG3	Q7L5A3	29855	80256	UBN1	FAM214B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q4G0F8;Rn:D4A8C6	-	Mm:Q8BR27;Rn:Q5PQM8	-
Q9NPG3	Q8NFH5	29855	129401	UBN1	NUP35	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q4G0F8;Rn:D4A8C6	-	Dm:Q9VWS2;Dr:Q6P6X9;Mm:Q8R4R6	Rn:Q68FY1
Q9NPG3	Q9BYD1	29855	28998	UBN1	MRPL13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Ce:Q95QL2;Dm:Q9VJ38;Dr:F1QQ34;Mm:Q9D1P0;Rn:Q5XFW4;Sc:Q12487	-
Q9NPG3	Q6GQQ9	29855	56957	UBN1	OTUD7B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q4G0F8;Rn:D4A8C6	-	Mm:B2RUR8;Rn:D3ZH40	-
