UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9H8M2	Q9H583	65980	55127	BRD9	HEATR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Dm:Q9VM75;Dr:A0A0R4IAU8	Mm:G3X9B1;Rn:D3ZL86
Q9H8M2	Q93084	65980	489	BRD9	ATP2A3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:Q64518	Rn:D3ZHJ6
Q9H8M2	O00232	65980	5718	BRD9	PSMD12	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Ce:Q19324;Dm:Q9V3Z4;Mm:Q9D8W5;Rn:Q5XIC6;Sc:Q12250	Dr:Q8AW07
Q9H8M2	P14866	65980	3191	BRD9	HNRNPL	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Dr:Q7ZW09;Mm:Q8R081;Rn:F1LQ48	-
Q9H8M2	Q969X1	65980	64114	BRD9	TMBIM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:Q3U717;Rn:Q6AYE0	-
Q9H8M2	P10826	65980	5915	BRD9	RARB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:P22605;Rn:D3ZFD9	-
Q9H8M2	O60565	65980	26585	BRD9	GREM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:O70326;Rn:O35793	Dr:A0A0R4IYE7
Q9H8M2	Q9Y6B2	65980	23741	BRD9	EID1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:Q9DCR4;Rn:B1WC74	-
Q9H8M2	Q8IZ52	65980	79586	BRD9	CHPF	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Dr:F1R7L6;Mm:Q6IQX7;Rn:Q5XIQ8	Dr:I3ISR1
Q9H8M2	Q86UW2	65980	123264	BRD9	SLC51B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:Q9VLX2;Dr:F1QNW6;Rn:D4ACF5	Mm:A0A0R4J175	Mm:Q80WK2;Rn:D3ZYJ2	-
