UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
A6NFI3	Q9UBU9	100131017	10482	ZNF316	NXF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:F1Q7H6;Mm:Q99JX7;Rn:F1MA52;Sc:Q99257	Dr:E7EYP0
A6NFI3	Q9H3J6	100131017	91574	ZNF316	C12orf65	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dm:A1ZAD7;Mm:Q80VP5;Rn:F1LWN5	-
A6NFI3	P29972	100131017	358	ZNF316	AQP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:F1QQB8;Mm:Q02013;Rn:P29975	Dr:Q6NZ72
A6NFI3	P48668	100131017	286887	ZNF316	KRT6C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	-	-
A6NFI3	O43293	100131017	1613	ZNF316	DAPK3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:E9QHI3;Mm:O54784;Rn:O88764	-
A6NFI3	Q12792	100131017	5756	ZNF316	TWF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:Q6DKF4;Mm:Q91YR1;Rn:Q5RJR2	-
A6NFI3	Q15113	100131017	5118	ZNF316	PCOLCE	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	-	Dr:Q7SZZ3;Dr:B3DJG2;Mm:D3YUE2;Rn:Q5RJN2
A6NFI3	Q5JQS6	100131017	148823	ZNF316	GCSAML	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	-	-
A6NFI3	A6NKD9	100131017	317762	ZNF316	CCDC85C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:Q0P485;Mm:E9Q6B2;Rn:A0A0G2K4D5	Dr:Q6DHL7
A6NFI3	Q9BYG3	100131017	84365	ZNF316	NIFK	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	Mm:Q6PGE4;Rn:D4A8C4	Dr:Q8JIY8;Mm:Q91VE6;Rn:Q5RJM0	-
