UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
A2A884	P16675	16656	19025	Hivep3	Ctsa	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	-
A2A884	O55135	16656	16418	Hivep3	Eif6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:P56537;Ce:O62106;Dm:P56538;Dr:Q6ZM19;Rn:Q3KRD8;Sc:Q12522	-
A2A884	A2BFL2	16656	-	Hivep3	Zyg11a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	-
A2A884	Q9CQ82	16656	67733	Hivep3	Itgb3bp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q13352	Rn:Q5U1Z7
A2A884	Q6P253	16656	73712	Hivep3	Dmkn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	-
A2A884	A2A5J5	16656	415115	Hivep3	Neurl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9BR09;Dm:Q9W112;Rn:B0BMZ0	Dr:F1R8J5
A2A884	Q8R2S1	16656	238323	Hivep3	Rps6kl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9Y6S9;Dm:Q9VEA9	Dr:E7FF70;Rn:D4AAT5
A2A884	Q80Y17	16656	16897	Hivep3	Llgl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q15334;Rn:G3V6I1	Dr:F1QPI4
A2A884	Q7TNT2	16656	330450	Hivep3	Far2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q96K12	Rn:D4A9Z0
A2A884	Q3V1Q3	16656	210044	Hivep3	Adcy2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q08462;Ce:O16880	Rn:F1LV12
A2A884	Q9JMC8	16656	54357	Hivep3	Epb41l4b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	Dr:F8W419;Rn:A0A0G2JU16
A2A884	Q5DTI8	16656	272636	Hivep3	Esyt3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:A0FGR9;Dr:B0UYL4;Rn:D3ZC04	-
A2A884	O35075	16656	13185	Hivep3	Vps26c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:O14972;Dr:Q6DHL2;Rn:E9PU42	Dm:Q4V3Q0
A2A884	Q8BXC6	16656	52245	Hivep3	Commd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q86X83;Dm:Q9VEB2;Dr:Q6DH33;Rn:D3ZLN7	-
A2A884	G3X8W6	16656	50782	Hivep3	Rgs11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:O94810;Dr:B8A5L7	-
A2A884	P22933	16656	14403	Hivep3	Gabrd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	Hs:A0A1W2PQR3;Dr:E9QHL0;Rn:P18506
A2A884	P52293	16656	16647	Hivep3	Kpna2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	-	-
A2A884	Q3U1F9	16656	94212	Hivep3	Pag1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9NWQ8;Dr:F6P529	Rn:A0A0G2K0M5
A2A884	E9Q1J0	16656	72230	Hivep3	Zfp558	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q96NG5	-
A2A884	P70232	16656	12661	Hivep3	Chl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:O00533	Dr:A0A0H2UKL1;Rn:M0RC17
A2A884	Q9ERI6	16656	105014	Hivep3	Rdh14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9HBH5;Dr:B8JIJ7;Dr:Q5TYR4;Rn:D3ZUY0;Sc:P53878	-
A2A884	Q8R1S0	16656	217707	Hivep3	Coq6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9Y2Z9;Dm:Q9VMQ5;Dr:F1RAX8;Rn:Q68FU7;Sc:P53318	Ce:O01884
A2A884	Q6P3D7	16656	20728	Hivep3	Spic	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q8N5J4	Rn:D4A5A4
A2A884	Q5SV41	16656	18559	Hivep3	Pctp	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9UKL6;Rn:P53809	Dr:F6NZ18
A2A884	Q62048	16656	18611	Hivep3	Pea15	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q15121;Dr:E7FEH9;Rn:Q5U318	-
A2A884	Q9DAG9	16656	71838	Hivep3	Phf7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q9BWX1;Rn:Q6AXW4	-
A2A884	O70551	16656	20815	Hivep3	Srpk1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q96SB4	Rn:A0A0U1RRU0
A2A884	A0A0R4J0Z0	16656	107999	Hivep3	Gtpbp6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:O43824;Dm:Q9VBQ7	Ce:Q20446;Rn:D3ZLF0
A2A884	Q3THJ3	16656	69860	Hivep3	Eif1ad	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q8N9N8;Ce:Q23646;Dm:Q8IQ13;Dr:F1QEM2;Rn:Q5RKI6	-
A2A884	Q3TYA6	16656	75339	Hivep3	Mphosph8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q99549	-
A2A884	A0A0R4J088	16656	14066	Hivep3	F3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:P13726;Dr:C7S6G4;Dr:B0UY88;Rn:Q66HI4	-
A2A884	Q9JIT0	16656	56873	Hivep3	Lmbr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q5T1R4;Rn:D3ZRB5	-	Hs:Q8WVP7	Rn:A0A0G2K4B6
