UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6ZNG1	P62753	162966	6194	ZNF600	RPS6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q9NEN6;Dm:P29327;Dr:Q6DHL6;Mm:P62754;Sc:P0CX37	Rn:M0RD75
Q6ZNG1	Q86Y37	162966	143384	ZNF600	CACUL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8R0X2	Rn:A0A0G2K1Y0
Q6ZNG1	Q86YS6	162966	339122	ZNF600	RAB43	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:O18339;Mm:Q8CG50;Rn:Q53B90	Ce:I7FN72;Dr:Q0P3V5
Q6ZNG1	Q5T0D9	162966	127262	ZNF600	TPRG1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:B8A4V5;Mm:Q9DBS2;Rn:A8WCF8	-
Q6ZNG1	Q8N2K1	162966	118424	ZNF600	UBE2J2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q6P073;Rn:A0A0G2K8C5	-
Q6ZNG1	O43414	162966	79033	ZNF600	ERI3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q94285	-
Q6ZNG1	Q9NR81	162966	50650	ZNF600	ARHGEF3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q91X46;Rn:A0A0G2JYL3	-
Q6ZNG1	Q12913	162966	5795	ZNF600	PTPRJ	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:E9Q4S7;Rn:A0A0G2JXZ9	Dr:B6HY54
Q6ZNG1	Q9UL42	162966	10687	ZNF600	PNMA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BHK0;Rn:D4A068	-
Q6ZNG1	Q9HCJ3	162966	55225	ZNF600	RAVER2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:F1QAP4;Mm:Q7TPD6;Rn:D3ZD78	-
Q6ZNG1	Q68CP4	162966	138050	ZNF600	HGSNAT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9W4F7;Dr:F1Q893;Mm:Q3UDW8	-
Q6ZNG1	P49792	162966	5903	ZNF600	RANBP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:A0A0B4K7J2	-
Q6ZNG1	Q8NFT2	162966	261729	ZNF600	STEAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7FFL9;Mm:Q8BWB6;Rn:D4A6H3	-
Q6ZNG1	Q13569	162966	6996	ZNF600	TDG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:P56581;Rn:A0A096MIY3	-
Q6ZNG1	Q9Y5L5	162966	55891	ZNF600	LENEP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q9WVB6;Rn:Q9WVB7	-
Q6ZNG1	Q14832	162966	2913	ZNF600	GRM3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A3KPM6;Mm:Q9QYS2	Rn:A0A0G2JV93
Q6ZNG1	P50747	162966	3141	ZNF600	HLCS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q920N2;Rn:D4AA38	-
Q6ZNG1	Q96HY6	162966	65992	ZNF600	DDRGK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q80WW9	Rn:D3ZAS9
Q6ZNG1	Q8NAB2	162966	143879	ZNF600	KBTBD3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q8BHI4	Dr:X1WEX5;Rn:D4A7F5
Q6ZNG1	Q7Z5J4	162966	10743	ZNF600	RAI1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:Q61818;Rn:A0A0G2K4G0	Dr:E7F726
Q6ZNG1	P14927	162966	7381	ZNF600	UQCRB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:Q9VAW7;Dm:Q9VXI6;Dr:Q4VBV1;Mm:Q9CQB4;Rn:B2RYS2;Sc:P00128	-
Q6ZNG1	Q9Y3L3	162966	23616	ZNF600	SH3BP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:E7FFF8	-
