UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6P1G2	Q61418	30841	12727	Kdm2b	Clcn4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:P51793;Dr:F1QXH5;Rn:Q56A19	-
Q6P1G2	Q9JHG2	30841	53901	Kdm2b	Rcan2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	-	-
Q6P1G2	Q9DCL9	30841	67054	Kdm2b	Paics	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:P22234;Ce:Q10457;Rn:P51583	Dm:F0JAN1;Rn:F8WFR8;Rn:A0A0G2K5S4
Q6P1G2	Q9CPZ6	30841	66612	Kdm2b	Ormdl3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:Q8N138;Rn:A0A0G2JSW1	Dr:Q5XJR6
Q6P1G2	P61961	30841	67890	Kdm2b	Ufm1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:P61960;Ce:P34661;Dm:A8DYH2;Dr:A0A0R4I9C6;Rn:Q5BJP3	-
Q6P1G2	Q7TQH7	30841	65107	Kdm2b	Lrp10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:Q7Z4F1;Rn:Q496Z8	-
Q6P1G2	Q64701	30841	19650	Kdm2b	Rbl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:P28749;Dr:F1QY31	Rn:A0A573VVF2
Q6P1G2	Q9Z1K6	30841	23807	Kdm2b	Arih2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:O95376;Ce:Q22431;Dm:O76924;Dr:Q7T355;Rn:D3ZJB8	-
Q6P1G2	Q8CF93	30841	271786	Kdm2b	Galnt13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:Q8IUC8	Dr:A0A0R4IKI4;Rn:Q6UE39
Q6P1G2	O54918	30841	12125	Kdm2b	Bcl2l11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8NHM5;Dr:F6P9Q3	Rn:F1LLW9	Hs:O43521;Rn:O88498	-
