UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9BRP0	Q9H7M6	58495	65249	OVOL2	ZSWIM4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Mm:Q8C7B8;Rn:D3ZNW6	-
Q9BRP0	Q9Y261	58495	3170	OVOL2	FOXA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dr:F1Q819;Rn:G3V7Q2	-
Q9BRP0	Q96LD8	58495	123228	OVOL2	SENP8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Ce:Q86FN3;Dr:Q08CI6;Mm:Q9D2Z4;Rn:Q5FVJ8	-
Q9BRP0	Q9Y4E6	58495	23335	OVOL2	WDR7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dm:Q9W543;Mm:Q920I9;Rn:Q9ERH3	-
Q9BRP0	Q8IXX5	58495	92703	OVOL2	TMEM183A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dr:B0S6H9;Mm:Q9JJB9	Rn:A0A0G2JT36
Q9BRP0	Q53GA4	58495	7262	OVOL2	PHLDA2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Mm:O08969;Rn:F1LME7	Dr:Q503L1
Q9BRP0	Q8TCP9	58495	221786	OVOL2	FAM200A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	-	-
Q9BRP0	P58658	58495	59271	OVOL2	EVA1C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dr:E9QCY1;Mm:P58659;Rn:D4A895	-
Q9BRP0	Q6ZUT6	58495	388115	OVOL2	CCDC9B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Mm:A3KGF9;Rn:D3ZKN0	-
Q9BRP0	Q15543	58495	6884	OVOL2	TAF13	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dm:Q9VIP1;Dr:F1QBH2;Mm:P61216;Rn:B2RYQ7	Ce:Q17957
Q9BRP0	Q13523	58495	8899	OVOL2	PRPF4B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Ce:Q09437;Dr:B0V1K6;Mm:Q61136;Rn:Q5RKH1;Sc:P53739	Dm:Q9Y145;Dr:F1QWY2
Q9BRP0	P48382	58495	5993	OVOL2	RFX5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Mm:Q9JL61;Rn:D3ZHD7	-
Q9BRP0	Q9Y3E5	58495	51651	OVOL2	PTRH2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Dm:O97067;Dr:F1Q6B2;Mm:Q8R2Y8;Rn:Q5XI86	-
Q9BRP0	P36578	58495	6124	OVOL2	RPL4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q8CIV7;Rn:D4A5U5	-	Ce:O02056;Dm:P09180;Dr:Q7ZW95;Mm:Q9D8E6;Rn:Q6P3V9;Sc:P10664;Sc:P49626	-
