UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8IWS0	Q8IXQ3	84295	55071	PHF6	C9orf40	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Mm:Q8VCE4;Rn:Q66H24	-
Q8IWS0	Q8NAT1	84295	84892	PHF6	POMGNT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Mm:Q8BW41;Rn:Q5NDF0	Dr:F1QAS8
Q8IWS0	Q14331	84295	2483	PHF6	FRG1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Ce:O18282;Dm:Q9VWA8;Dr:Q566W5;Mm:P97376;Rn:D3ZZK8	-
Q8IWS0	P43007	84295	6509	PHF6	SLC1A4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Mm:O35874;Rn:Q76GL9	Dr:Q7ZZ28
Q8IWS0	Q13191	84295	868	PHF6	CBLB	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Dr:F1Q742;Mm:Q3TTA7;Rn:A0A0G2K8K2	-
Q8IWS0	Q68CQ7	84295	55830	PHF6	GLT8D1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Mm:Q6NSU3	Rn:Q7TP03
Q8IWS0	Q6P1R4	84295	64118	PHF6	DUS1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Dm:Q9VPM1;Dr:B0S7L0;Mm:Q8C2P3;Rn:A0A0G2KA47;Sc:P53759	Ce:Q9XVN8
Q8IWS0	Q9H5F2	84295	64776	PHF6	C11orf1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Dr:A0A0G2L2X8;Mm:Q9D131	Rn:D3ZGF3
Q8IWS0	Q969F1	84295	112495	PHF6	GTF3C6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Mm:Q9D8P7;Rn:B0K037	-
Q8IWS0	Q96LL9	84295	84277	PHF6	DNAJC30	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Dm:Q9VHW5;Mm:P59041;Rn:B2RYV0	-
Q8IWS0	P04150	84295	2908	PHF6	NR3C1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:F1QPB3;Mm:Q9D4J7	Rn:D3ZQV8	Dr:Q1XHK0	Mm:E9PYV1
