UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9HBM6	Q9H3P2	51616	7469	TAF9B	NELFA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	-	-
Q9HBM6	P61158	51616	10096	TAF9B	ACTR3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Mm:Q99JY9	Rn:A0A0G2K1C0
Q9HBM6	Q15257	51616	5524	TAF9B	PTPA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q9BL35;Dm:Q9VQQ0;Dr:A2CF49;Mm:P58389;Rn:B2RYQ2;Sc:Q12461	-
Q9HBM6	Q9UMR2	51616	11269	TAF9B	DDX19B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	-	-
Q9HBM6	P40429	51616	23521	TAF9B	RPL13A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q27389;Dm:Q9VNE9;Dr:Q1LYB7;Mm:P19253;Rn:Q5RK10;Sc:P26784;Sc:P26785	-
Q9HBM6	O95985	51616	8940	TAF9B	TOP3B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:H1UBJ9;Dm:O96651;Mm:Q9Z321;Rn:D4A9Z2	Dr:F1QNX4
Q9HBM6	H0YCG3	51616	-	TAF9B	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	-	-
Q9HBM6	P18846	51616	466	TAF9B	ATF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dr:Q7T351;Mm:P81269;Rn:F7FD47	-
Q9HBM6	Q92499	51616	1653	TAF9B	DDX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q9N341;Dm:Q9VNV3;Dr:F1R2L8;Mm:Q91VR5;Rn:Q641Y8	-
Q9HBM6	Q8WVK2	51616	11017	TAF9B	SNRNP27	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q21739;Dm:Q9W1I6;Dr:Q6DH74;Mm:Q8K194;Rn:D3ZR17	-
Q9HBM6	Q9NVF7	51616	23219	TAF9B	FBXO28	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dr:B8A499;Mm:Q8BIG4;Rn:B2RZ28	-
Q9HBM6	Q6P9B9	51616	80789	TAF9B	INTS5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q9U267;Dm:Q9VFS6;Mm:Q8CHT3;Rn:D3ZTW1	Dr:A0A0R4IY96
Q9HBM6	Q13576	51616	10788	TAF9B	IQGAP2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dr:A2CE93;Mm:Q3UQ44;Rn:F1LW74;Sc:Q12280	-
Q9HBM6	Q96II8	51616	84859	TAF9B	LRCH3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Rn:D4A8M4	Mm:E9QAU9
Q9HBM6	P06454	51616	5757	TAF9B	PTMA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dr:F1QUD0;Mm:P26350;Rn:F1M772;Rn:P06302	-
Q9HBM6	O15294	51616	8473	TAF9B	OGT	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:O18158;Dm:Q7KJA9;Mm:Q8CGY8;Rn:A0A0G2K3V4	Dr:A0A0R4IYQ8
Q9HBM6	P25686	51616	3300	TAF9B	DNAJB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Mm:Q9QYI5;Rn:B2RYA8	-
Q9HBM6	Q9NVX7	51616	55709	TAF9B	KBTBD4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Mm:Q8R179;Rn:A0A0G2K102	Dr:Q1LUF9
Q9HBM6	Q9UPW0	51616	22887	TAF9B	FOXJ3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Mm:Q8BUR3;Rn:A0A0G2JWM4	Dr:E7F138
Q9HBM6	O95182	51616	4701	TAF9B	NDUFA7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	-	-
Q9HBM6	P62857	51616	6234	TAF9B	RPS28	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Ce:Q95Y04;Dm:Q9VAB9;Dm:Q9W334;Dr:Q6PBK3;Mm:P62858;Rn:A0A0A0MY14;Rn:P62859;Sc:P0C0X0;Sc:Q3E7X9	-
Q9HBM6	P42696	51616	23029	TAF9B	RBM34	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dm:Q9VJG2;Dr:Q6DHU2;Rn:Q5M9F1	Mm:Q8C5L7
Q9HBM6	Q07820	51616	4170	TAF9B	MCL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Mm:P97287	Dr:Q1L8X3
Q9HBM6	Q9NYK5	51616	54148	TAF9B	MRPL39	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dm:Q9VUJ0;Mm:Q9JKF7;Rn:M0R6J0	Dr:Q7T3F9
Q9HBM6	Q9Y2L5	51616	22878	TAF9B	TRAPPC8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dm:Q9VW22;Dr:E7FA12;Mm:A0A286YCX6	Rn:F1M9W9
Q9HBM6	Q9H981	51616	93973	TAF9B	ACTR8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:Q6NZA9	-	Dm:Q9VX09;Dr:A0A0R4ISA6;Mm:Q8R2S9;Rn:D3ZVT1;Sc:Q12386	-
