UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q8C7R7	Q3UMA3	320995	15239	Rfx6	Hgs	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:O14964;Ce:Q17796;Dm:Q960X8;Rn:A0A140TAH1	-
Q8C7R7	E9QM16	320995	102747	Rfx6	Lrrc49	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	-	-
Q8C7R7	G3UVW3	320995	625098	Rfx6	Slc38a6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:Q8IZM9;Dr:B8A5H0;Rn:F1LRY2	-
Q8C7R7	Q8BTN3	320995	27883	Rfx6	Tango2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:Q6ICL3;Dm:Q9VYA8	Dr:Q6AXK1;Rn:A0A0G2JXP4
Q8C7R7	Q9CR37	320995	66496	Rfx6	Ppdpf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Rn:Q5PR01	Hs:X6R7I6;Dr:Q6PBI2
Q8C7R7	P56388	320995	27220	Rfx6	Cartpt	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:Q16568;Rn:P49192	Dr:Q1LYJ6
Q8C7R7	Q6NY15	320995	211484	Rfx6	Tsga10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	-	-
Q8C7R7	P42586	320995	18088	Rfx6	Nkx2-2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	-	-
Q8C7R7	Q925N2	320995	94279	Rfx6	Sfxn2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:Q96NB2;Ce:Q09972;Dm:Q9VVW3;Dr:Q6NYD2	-
Q8C7R7	Q4QQM4	320995	277414	Rfx6	Trp53i11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:O14683;Rn:B3DMA0	Dr:F6NXK9
Q8C7R7	Q3TWN3	320995	94219	Rfx6	Cnnm2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Hs:Q9H8M5;Dr:A2ATX7;Dr:F1QIW8;Rn:Q5U2P1	-
Q8C7R7	A2AV75	320995	171543	Rfx6	Bmf	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	-	-
Q8C7R7	P52792	320995	103988	Rfx6	Gck	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q8HWS3	Dr:F1R701;Rn:F1LTN7	Ce:Q19440;Dm:Q7JYW9;Sc:P04806;Sc:P04807	Hs:A0A5F9ZHE0;Dr:F1RC38;Rn:Q64596
