UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q4JK59	E9QKZ2	214133	226432	Tet2	Ipo9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96P70;Dm:Q9VGP4;Rn:D4A857;Sc:P53067	-
Q4JK59	Q8BY87	214133	74996	Tet2	Usp47	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96K76;Dm:Q24574;Dr:A0A0R4IFT8;Rn:A0A0G2JUX4	-
Q4JK59	Q6NV92	214133	407812	Tet2	Zfp941	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q4JK59	F8VPL1	214133	319734	Tet2	Cacna2d4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q7Z3S7;Rn:D3ZM84	Dr:F1QZP3
Q4JK59	P23804	214133	17246	Tet2	Mdm2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q00987;Rn:A0A0G2JVC1	Dr:B0R0S9
Q4JK59	Q9R1S7	214133	27421	Tet2	Abcc6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O95255;Rn:O88269	-
Q4JK59	Q01405	214133	20334	Tet2	Sec23a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q15436;Rn:B5DFC3	Dr:Q7SZE5
Q4JK59	P09066	214133	13799	Tet2	En2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P19622;Dr:A3KPY2;Dr:P09015	Rn:D3Z8B1
Q4JK59	Q80W71	214133	231999	Tet2	Plekha8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96JA3;Dr:F1QQ57;Rn:D3ZY60	-
Q4JK59	P13405	214133	19645	Tet2	Rb1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P06400;Dr:F1Q9D6;Rn:R9PXV5	-
Q4JK59	Q5NCQ5	214133	116905	Tet2	Dph1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Dm:Q9VTM2;Dr:F1QK18;Rn:B2RYK2;Sc:P40487	Hs:A0A6Q8JGF9;Ce:P49958
Q4JK59	Q5SRT8	214133	380694	Tet2	Ccnjl	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Dm:Q9VZP3;Rn:F1LPN6	Hs:B4DZA8
Q4JK59	P12265	214133	110006	Tet2	Gusb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P08236;Dm:Q9V9T9;Dr:F1QGS9;Rn:Q7TPJ3	Ce:Q95Q32;Dm:A0A0B4LFU6
Q4JK59	Q60598	214133	13043	Tet2	Cttn	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q14247;Dm:Q9VDF4	Rn:D3ZGE6
Q4JK59	Q8BQ48	214133	319675	Tet2	Cep295	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q4JK59	P27005	214133	20201	Tet2	S100a8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P05109	Rn:P50115
Q4JK59	P97737	214133	14560	Tet2	Gdf10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P55107;Dr:B8A5X9	Rn:A0A0G2KA01
Q4JK59	Q8R4W6	214133	76477	Tet2	Pcolce2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9UKZ9;Dr:F1R774;Rn:M0RD26	-
Q4JK59	P30204	214133	20288	Tet2	Msr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P21757	Rn:D3ZDS2
Q4JK59	Q99MQ1	214133	83675	Tet2	Bicc1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9H694;Rn:D3ZDJ9	Dr:R4GDN2
Q4JK59	Q8K0H1	214133	67473	Tet2	Slc47a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96FL8;Rn:Q5I0E9	-
Q4JK59	Q3UZA1	214133	226594	Tet2	Rcsd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q6JBY9;Rn:A0A0G2K7I4	-
Q4JK59	Q8CEI3	214133	215814	Tet2	Ccdc28a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q4JK59	P54818	214133	14420	Tet2	Galc	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P54803;Dr:F1QYH2;Dr:Q5SNX7;Rn:G3V6H1	-
Q4JK59	Q0VEE6	214133	627049	Tet2	Znf800	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q2TB10;Dm:Q9VZ63;Dr:F1QH89;Rn:D3ZPQ4	-
Q4JK59	Q8K2W6	214133	230936	Tet2	Phf13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q86YI8;Dr:A0A0G2L648;Rn:D3ZG56	-
Q4JK59	Q5SUF7	214133	12291	Tet2	Cacna1g	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q4JK59	P49722	214133	19166	Tet2	Psma2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P25787;Ce:Q27488;Dm:P40301;Dr:Q4VBR8;Rn:P17220;Sc:P23639	Dr:B3DG31
Q4JK59	Q8BNE1	214133	77574	Tet2	Tcaf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y4C2;Rn:D3Z8A4	-
Q4JK59	A0A0A6YY83	214133	54216	Tet2	Pcdh7	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q4JK59	P58019	214133	333883	Tet2	Cd59b	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Rn:P27274	-
Q4JK59	Q8R1H0	214133	74318	Tet2	Hopx	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BPY8;Dr:Q8AYB8	Rn:Q78ZR5
