UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q68CP9	A6NGR9	196528	642475	ARID2	MROH6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:V9GX81;Rn:F1M3X5	-
Q68CP9	P51151	196528	9367	ARID2	RAB9A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:Q9R0M6;Rn:Q99P75	Dr:Q0P458
Q68CP9	O00273	196528	1676	ARID2	DFFA	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Dr:F1R3G3;Mm:O54786;Rn:A0A0G2JY18	-
Q68CP9	Q5SR56	196528	84641	ARID2	MFSD14B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:Q8CIA9;Rn:B2RYH9	-
Q68CP9	P12272	196528	5744	ARID2	PTHLH	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Dr:Q5SPK3;Mm:Q924X4	-
Q68CP9	Q15012	196528	9741	ARID2	LAPTM4A	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:E9QLR3;Rn:Q6P501	Dr:Q5TYX5
Q68CP9	O15013	196528	9639	ARID2	ARHGEF10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:Q8C033	Rn:M0R3X3
Q68CP9	Q8IZY2	196528	10347	ARID2	ABCA7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Rn:F1LR67	Mm:E9Q6G4
Q68CP9	P61326	196528	4116	ARID2	MAGOH	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	-	-
Q68CP9	Q96D21	196528	23551	ARID2	RASD2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dm:A1Z6M0;Mm:E9Q7E2;Rn:D3ZJU0	-	Mm:P63032;Rn:P63033	-
