UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q96KS0	Q7Z4S6	112398	55605	EGLN2	KIF21A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q9QXL2	Dr:F8W409;Rn:D3ZCG2
Q96KS0	Q8WVV5	112398	10385	EGLN2	BTN2A2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	-	-
Q96KS0	Q9H1K6	112398	59274	EGLN2	TLNRD1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:E7F508;Mm:Q9ERE8;Rn:Q5BJV3	-
Q96KS0	Q9Y6G5	112398	51397	EGLN2	COMMD10	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q8JZY2;Rn:Q68FS9	Dm:Q0KHT4
Q96KS0	Q8TCC3	112398	51263	EGLN2	MRPL30	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	-	-
Q96KS0	Q92995	112398	8975	EGLN2	USP13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q5BKP2;Rn:D3ZDI9	Dr:F1QFS9
Q96KS0	Q9P260	112398	57614	EGLN2	RELCH	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Rn:D3ZJ01	Dr:A0A0R4IBI3;Mm:E9QM90
Q96KS0	Q9NX45	112398	100526761;54937	EGLN2	SOHLH2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	-	-
Q96KS0	Q9NR30	112398	9188	EGLN2	DDX21	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q9JIK5;Rn:Q3B8Q1	Rn:M0R965
Q96KS0	Q6VUC0	112398	339488	EGLN2	TFAP2E	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q6VUP9	Dr:G1K2F2;Rn:D3ZJ69
Q96KS0	P05783	112398	3875	EGLN2	KRT18	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:P05784;Rn:Q5BJY9	Dr:Q7ZTS4;Dr:Q6NYL7
Q96KS0	P51677	112398	1232	EGLN2	CCR3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:P51678	Rn:A0A0A0MXU9
Q96KS0	P32019	112398	3633	EGLN2	INPP5B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q8K337;Rn:D4A2N2	Dr:A0A0R4IMT3;Rn:F1LP71
Q96KS0	Q96MF6	112398	93058	EGLN2	COQ10A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dm:Q8MLL3;Mm:E9Q3H6;Rn:D3ZX74;Sc:Q08058	Ce:Q304F0;Dr:E9QFB6
Q96KS0	Q9BTV4	112398	79188	EGLN2	TMEM43	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dm:Q9VSB9;Mm:Q9DBS1;Rn:Q5XIP9	-
Q96KS0	O15539	112398	8490	EGLN2	RGS5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:Q7T2D3;Mm:O08850	Rn:A0A0G2JVF3
Q96KS0	Q7L775	112398	9852	EGLN2	EPM2AIP1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q8VEH5;Rn:F1M471	-
Q96KS0	Q70CQ2	112398	9736	EGLN2	USP34	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dm:Q9VC56;Dr:A0A0G2KYP4;Rn:A0A0G2JTF5	Mm:Z4YLQ1
Q96KS0	Q9HAB8	112398	79717	EGLN2	PPCS	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Ce:Q9BL36;Dr:F1QLS7;Mm:Q8VDG5;Rn:D4A6X7;Sc:P40506	Dm:Q7KN99
Q96KS0	A0A1B0GUW7	112398	-	EGLN2	SMIM27	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	-	-
Q96KS0	Q5T440	112398	200205	EGLN2	IBA57	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Ce:G5EE11;Dm:Q9VHN4;Mm:Q8CAK1;Rn:D4ADG2	Dr:B8JMH0
Q96KS0	Q69YN4	112398	25962	EGLN2	VIRMA	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dm:Q9W1R5;Mm:A2AIV2;Rn:D3ZKC9	Dr:A0A0R4IAI1
Q96KS0	Q8IUH4	112398	54503	EGLN2	ZDHHC13	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:A0A0R4IQZ2;Mm:Q9CWU2;Rn:E9PU37	-
Q96KS0	A5D8V6	112398	55048	EGLN2	VPS37C	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q8R105;Rn:B5DFF4	-
Q96KS0	Q6ZV65	112398	100129583;100631383	EGLN2	FAM47E	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:A0PJQ6	-
Q96KS0	P20338	112398	5867	EGLN2	RAB4A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Ce:O17789;Mm:P56371;Rn:P05714	-
Q96KS0	Q0VDG4	112398	79634	EGLN2	SCRN3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:Q803W1;Mm:Q3TMH2;Rn:A0A0G2K189	-
Q96KS0	Q9HBE1	112398	23598	EGLN2	PATZ1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:X1WGP9;Rn:D3ZX15	Mm:Q5NBY9
Q96KS0	O75380	112398	4726	EGLN2	NDUFS6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Ce:Q19724;Dm:Q9VMU0;Dr:Q1LWG2	Mm:A0A1Y7VM38;Rn:D3ZCZ9
Q96KS0	Q96AP7	112398	90952	EGLN2	ESAM	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Dr:F1RB07;Mm:Q925F2;Rn:Q6AYD4	Dr:E7FDC8
Q96KS0	Q9HD47	112398	29098	EGLN2	RANGRF	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q9JIB0;Rn:D3ZMP9;Sc:P47123	Dr:A3KPP3
Q96KS0	Q15437	112398	10483	EGLN2	SEC23B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q9D662;Rn:D3ZCT7	-
Q96KS0	Q8TAC1	112398	317671	EGLN2	RFESD	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Mm:Q91YE2;Rn:Q6AYU4	-	Mm:Q8K2P6;Rn:D3ZF58	-
