UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9C0G0	Q8IUD2	55628	23085	ZNF407	ERC1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	-	-
Q9C0G0	Q96LB3	55628	80173	ZNF407	IFT74	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Mm:Q8BKE9;Rn:Q5XIR2	-
Q9C0G0	Q14154	55628	9812	ZNF407	DELE1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Mm:Q9DCV6	Rn:P60924
Q9C0G0	P05113	55628	3567	ZNF407	IL5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Mm:P04401	Rn:Q08125
Q9C0G0	O75426	55628	26261	ZNF407	FBXO24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Mm:Q9D417	Rn:D4A3S1
Q9C0G0	Q9UHW5	55628	51184	ZNF407	GPN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Ce:Q9XW68;Dm:Q9VI70;Mm:Q9D3W4;Rn:G3V652;Sc:Q06543	Dr:T1ECS8
Q9C0G0	Q8WWB7	55628	112770	ZNF407	GLMP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Mm:Q9JHJ3;Rn:Q68FV6	Dr:Q66HW4
Q9C0G0	Q9BWE0	55628	29803	ZNF407	REPIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	-	-
Q9C0G0	P17844	55628	1655	ZNF407	DDX5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	-	-
Q9C0G0	Q9BS31	55628	65251	ZNF407	ZNF649	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	-	-
Q9C0G0	P10644	55628	5573	ZNF407	PRKAR1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Ce:P30625;Dr:F1QEC8;Dr:Q5I0F6;Mm:Q9DBC7;Rn:P09456	-
Q9C0G0	O60383	55628	2661	ZNF407	GDF9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Mm:G3UVV3	Rn:D3ZVE0	Dr:Q32PR5;Mm:Q07105	Rn:Q9QYW4
