UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q91X20	Q3UYI6	23808	70300	Ash2l	Fuz	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	-	-
Q91X20	Q3THG9	23808	69684	Ash2l	Aarsd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	-	-
Q91X20	Q91YV9	23808	67063	Ash2l	Pgap4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q9BRR3;Dr:Q08BD2	Rn:Q5EB73
Q91X20	F6T1I5	23808	-	Ash2l	H2-T10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	-	-
Q91X20	Q8CGC7	23808	107508	Ash2l	Eprs1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:P07814;Dm:P28668;Dr:F1QP23;Rn:A0A0G2JZI2	-
Q91X20	E9Q394	23808	75547	Ash2l	Akap13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q12802;Rn:F1M3G7	-
Q91X20	Q60764	23808	22652	Ash2l	Mkrn3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q13064;Rn:D3ZY41	-
Q91X20	E9Q8Z7	23808	73490	Ash2l	Mipol1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q8TD10;Dr:A0A0R4ITG1;Rn:F1LUS3	-
Q91X20	Q9ES89	23808	58193	Ash2l	Extl2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q9UBQ6;Dr:Q08C36;Rn:B1WC59	-
Q91X20	Q7TNC4	23808	192196	Ash2l	Luc7l2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q9Y383;Hs:Q96HJ9;Rn:B2RYP6	-
Q91X20	Q68EF0	23808	216363	Ash2l	Rab3ip	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	-	-
Q91X20	G3UXL2	23808	328099	Ash2l	Prps1l3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	-	-
Q91X20	Q9D6T1	23808	71924	Ash2l	Tube1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q9UJT0;Rn:D3ZRL5	Dr:Q5SNS3
Q91X20	E9QP59	23808	380664	Ash2l	Lemd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q9Y2U8;Rn:F1LWZ8	Dr:Q5TZH9
Q91X20	Q4VBE7	23808	70382	Ash2l	Kctd2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:Q9UBL3;Dm:Q94545;Dr:F1RAW8;Rn:A0A0G2JT90	Ce:Q9XXH4	Hs:Q14681;Rn:F1M5Q3	Dr:Q0P490
