UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6P1N0	Q7L622	54862	55632	CC2D1A	G2E3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	-	-
Q6P1N0	Q9UKV8	54862	27161	CC2D1A	AGO2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Mm:Q8CJG0;Rn:F1LRP7	Dr:E7EXY4
Q6P1N0	O75618	54862	9191	CC2D1A	DEDD	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:Q6DHN2;Mm:Q9Z1L3	Rn:Q9Z2K0
Q6P1N0	A6NP61	54862	646799	CC2D1A	ZAR1L	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:E7F3N2;Mm:C3VD30	-
Q6P1N0	O14681	54862	9538	CC2D1A	EI24	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Rn:Q4KM77	Dr:Q568A1;Mm:V9GXH2
Q6P1N0	Q9NWM8	54862	55033	CC2D1A	FKBP14	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:F1QQ70;Mm:P59024;Rn:Q5XID8	Dm:Q9V3V2;Rn:M0RC90
Q6P1N0	Q5SRR4	54862	80741	CC2D1A	LY6G5C	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Mm:Q8K1T5	Rn:G3V630
Q6P1N0	O60575	54862	27290	CC2D1A	SPINK4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:E7FCI0;Mm:O35679;Rn:E9PU35	-
Q6P1N0	Q8N413	54862	283130	CC2D1A	SLC25A45	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dm:Q9VB24;Mm:Q8CFJ7;Rn:D3ZL04	-
Q6P1N0	O00141	54862	6446	CC2D1A	SGK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:Q7ZTW4;Mm:Q9WVC6;Rn:A0A0G2JVM7	-
Q6P1N0	Q92851	54862	843	CC2D1A	CASP10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	-	-
Q6P1N0	Q12849	54862	2926	CC2D1A	GRSF1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:F8W4V6;Mm:Q8C5Q4	Rn:F1LRK4
Q6P1N0	Q8N8R5	54862	205327	CC2D1A	C2orf69	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dr:F1Q7E6;Mm:Q9D9H8;Rn:G3V7A7	-
Q6P1N0	Q8IV36	54862	283987	CC2D1A	HID1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Ce:G5EG65;Dm:Q0E9B5;Mm:Q8R1F6;Rn:D4A0C3	Dr:A0A0R4IXG4
Q6P1N0	P28072	54862	5694	CC2D1A	PSMB6	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Dm:A0AQH0;Dr:F1RCM3;Mm:Q60692;Rn:P28073;Sc:P38624	Rn:A0A0G2JSL0
Q6P1N0	Q96RU2	54862	57646	CC2D1A	USP28	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7FAN0;Mm:Q8K1A6;Rn:Q66HA5	-	Mm:Q5I043;Rn:A0A140TAA0	Dr:E9QC12
