UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q7TNS8	Q91VH6	103551	76890	Epop	Memo1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9Y316;Ce:Q22915;Dm:Q9VG04;Dr:A9JTC4;Sc:P47085	Rn:F1LNE5
Q7TNS8	Q8K557	103551	246086	Epop	Onecut3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:O60422;Rn:A0A0G2KAZ4	Dr:F1QBJ8
Q7TNS8	P26883	103551	14225	Epop	Fkbp1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P62942;Hs:Q5VVH2;Dm:P48375;Dr:F1R3A6;Dr:Q6PBJ8;Rn:Q62658	-
Q7TNS8	Q8CJ69	103551	73230	Epop	Bmper	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q8N8U9;Dm:Q9W2H2;Rn:F1M661	Dr:A0A0R4IIF4
Q7TNS8	Q8VI33	103551	108143	Epop	Taf9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q16594;Dr:F1QDT4;Rn:Q5BKE0	-
Q7TNS8	Q8CD54	103551	667742	Epop	Piezo2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	-	-
Q7TNS8	Q80Y50	103551	216874	Epop	Camta2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:O94983;Ce:H2KY84;Rn:D3ZLG1	-
Q7TNS8	P41539	103551	21333	Epop	Tac1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P20366;Rn:P06767	Dr:A3KQK1
Q7TNS8	Q5U458	103551	230935	Epop	Dnajc11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9NVH1;Ce:P91243;Dm:Q7K0W1;Dr:F1QWW6;Rn:B1WBY5	-
Q7TNS8	Q9D1T0	103551	235402	Epop	Lingo1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q96FE5;Rn:G3V881	-
Q7TNS8	Q8K1C7	103551	71781	Epop	Slc16a14	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q7RTX9;Rn:A0A0G2K058	-
Q7TNS8	Q9JMG1	103551	59022	Epop	Edf1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:O60869;Ce:Q9XTV4;Dr:Q6PBY3;Rn:P69736;Sc:O14467	Dm:Q9XZ03
Q7TNS8	Q8R4F0	103551	171166	Epop	Mcoln3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q8TDD5	Rn:E9PT54
Q7TNS8	B1AYM9	103551	635169	Epop	CK137956	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q6P1W5	Rn:M0RBI8
Q7TNS8	Q5PR68	103551	76380	Epop	Cep112	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q8N8E3;Dr:E7EZM2;Rn:D4ABV2	-
Q7TNS8	Q99JZ7	103551	74155	Epop	Errfi1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9UJM3;Rn:P05432	-
Q7TNS8	Q9Z0J0	103551	67963	Epop	Npc2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Dm:Q9VQ62;Rn:F7FJQ3	Hs:G3V3E8;Dr:Q9DGJ3
Q7TNS8	Q80WR5	103551	97159	Epop	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q8IYL3;Rn:G3V981	-
Q7TNS8	Q8K2F0	103551	67382	Epop	Brd3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q15059;Dr:F1QQP6;Sc:P35817	Rn:B5DF71
Q7TNS8	B1AZP2	103551	228836	Epop	Dlgap4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9Y2H0	Rn:G3V927
Q7TNS8	E9QNG6	103551	217463	Epop	Snx13	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	-	-
Q7TNS8	Q9R216	103551	14371	Epop	Fzd9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:O00144;Ce:G5EDV1;Dr:B0S5E7;Dr:A3QK10;Rn:Q8K4C8	-
Q7TNS8	Q8CIV7	103551	107586	Epop	Ovol2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9BRP0;Dr:E9QH99;Rn:D4A5U5	-
Q7TNS8	Q04998	103551	16323	Epop	Inhba	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P08476	Dr:Q8QGE3;Rn:P18331
Q7TNS8	F7CNM6	103551	73363	Epop	1700056E22Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Rn:F1LWD5	-
Q7TNS8	P41438	103551	20509	Epop	Slc19a1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P41440;Dr:E7F2A7	Rn:Q62866
Q7TNS8	E9QJU6	103551	26447	Epop	Poli	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9UNA4;Rn:D4A8I8	-
Q7TNS8	P20722	103551	12161	Epop	Bmp6	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P22004;Dr:F1R678;Rn:Q04906	-
Q7TNS8	Q60676	103551	19060	Epop	Ppp5c	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:P53041;Ce:Q9NES8;Dm:Q9VH81;Rn:P53042;Sc:P53043	-
Q7TNS8	E9Q5L4	103551	320827	Epop	Cracd	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	-	-
Q7TNS8	Q3UES3	103551	74493	Epop	Tnks2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9H2K2	Rn:D3ZRP5
Q7TNS8	Q8R555	103551	72832	Epop	Crtac1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	Hs:A6NHQ4;Rn:M0RD31	-	Hs:Q9NQ79	Rn:A0A096MJG4
