UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NW38	O95406	55120	10175	FANCL	CNIH1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Dr:B8A6D8;Mm:O35372	Rn:A0A0G2K112
Q9NW38	Q96D21	55120	23551	FANCL	RASD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:P63032;Rn:P63033	-
Q9NW38	Q15750	55120	10454	FANCL	TAB1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Ce:G5EEM6;Mm:Q8CF89;Rn:A0A0U1RRU5	-
Q9NW38	Q8IY92	55120	84464	FANCL	SLX4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q6P1D7;Rn:F1LU18	Dr:F1QPU2
Q9NW38	P61225	55120	5912	FANCL	RAP2B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Dr:Q7SY59;Mm:P61226;Rn:P61227	-
Q9NW38	P0C2S0	55120	399697	FANCL	CTXN2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	-	Mm:Q3URE8;Rn:D4A1T4
Q9NW38	Q9NWS1	55120	55010	FANCL	PARPBP	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	-	-
Q9NW38	Q8TD16	55120	23299	FANCL	BICD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q921C5;Rn:Q496Z1	Dr:A0A0G2L2S4
Q9NW38	A6NN90	55120	-	FANCL	C2orf81	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	-	-
Q9NW38	Q8IWV7	55120	197131	FANCL	UBR1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:O70481;Rn:D3ZQC6	-
Q9NW38	Q8WXG1	55120	91543	FANCL	RSAD2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q8CBB9;Rn:A0A0H2UHF4	Dr:Q5RH95
Q9NW38	A6NFU0	55120	-	FANCL	FAM187A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	-	-
Q9NW38	Q9Y657	55120	10927	FANCL	SPIN1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q61142	Rn:Q4V8J7
Q9NW38	P19784	55120	1459	FANCL	CSNK2A2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Dr:E7FCZ6;Dr:Q7ZU33;Mm:O54833;Rn:B4F7A9	-
Q9NW38	Q8IYH5	55120	26009	FANCL	ZZZ3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Dr:A5PMR0;Mm:Q6KAQ7	Rn:M0R9X4
Q9NW38	Q8N141	55120	284406	FANCL	ZFP82	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q6P9Y7;Sc:P39933	Rn:A0A0G2JT46
Q9NW38	Q6PIU2	55120	57552	FANCL	NCEH1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Dr:A0A2R8RW49;Mm:Q8BLF1;Rn:B2GV54	Dr:F1Q8P9
Q9NW38	Q96E09	55120	116224	FANCL	FAM122A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	Dr:B8JHS6;Mm:Q9CR14;Rn:D3ZAU3	-	Mm:Q9DB52;Rn:Q6AYT4	-
