UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q6P2L6	P27786	234135	13074	Nsd3	Cyp17a1	inferred by curator	29087512;20530532	Mus musculus	TRRUST	Yes	-	-	Hs:P05093;Dr:F1QNB0;Rn:A0A0G2JSR8	Dr:A2ATX9
Q6P2L6	Q0PHV7	234135	629378	Nsd3	Dact3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96B18;Dr:F6NMJ1;Rn:M0R4J7	-
Q6P2L6	Q7TT23	234135	228602	Nsd3	-	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q5TEA3;Rn:D3ZVN5	-
Q6P2L6	Q99NE9	234135	80720	Nsd3	Pbx4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9BYU1;Ce:P41779;Rn:D4AA41	-
Q6P2L6	Q9DBD5	234135	75273	Nsd3	Pelp1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8IZL8;Dr:F1RE30;Rn:A0A0G2JSQ9	-
Q6P2L6	Q91WD1	234135	67065	Nsd3	Polr3d	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P05423;Dm:Q8SYM9;Rn:Q4FZS9	Dr:A8E5I3
Q6P2L6	Q8BSK8	234135	72508	Nsd3	Rps6kb1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P23443;Ce:Q21694;Dr:F1R3V1;Rn:P67999	-
Q6P2L6	Q69ZT1	234135	330554	Nsd3	Fan1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y2M0;Ce:P90740;Dr:A0A0R4IUX7;Rn:D3ZVU2	-
Q6P2L6	O08580	234135	26379	Nsd3	Esrra	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P11474;Rn:Q5QJV7	Dr:F1QQS8
Q6P2L6	Q9CQA8	234135	66994	Nsd3	Cep19	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96LK0;Dr:Q4V8Z3;Rn:G3V974	-
Q6P2L6	Q3U1C4	234135	75420	Nsd3	Secisbp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q96T21;Rn:F1LPQ8	-
Q6P2L6	P35235	234135	19247	Nsd3	Ptpn11	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q06124;Dm:P29349;Rn:P41499	Dr:F1QZU5
Q6P2L6	E9Q2S7	234135	77519	Nsd3	Zfp266	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N587;Hs:Q6V9R5	Rn:A0A0G2JW15
Q6P2L6	P08775	234135	20020	Nsd3	Polr2a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Ce:P16356;Dm:P04052;Dr:A0A0R4IMS9;Rn:D4A5A6;Sc:P04050	-
Q6P2L6	Q8BIX3	234135	212772	Nsd3	Arl14ep	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8N8R7;Rn:Q5FVK8	-
Q6P2L6	P33215	234135	17997	Nsd3	Nedd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8NHV4;Rn:D3ZAH3	-
Q6P2L6	Q06335	234135	11804	Nsd3	Aplp2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q6P2L6	Q9CXE6	234135	74335	Nsd3	Xrcc3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O43542;Dm:O77135;Dr:Q5TZD9;Rn:D4A5N4	-
Q6P2L6	Q6P3A2	234135	433752	Nsd3	Frg2f1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:A6NGY1;Hs:Q64ET8	Hs:A0A0A0MSZ2;Rn:F1LWQ0
Q6P2L6	Q80XN0	234135	71911	Nsd3	Bdh1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q02338;Dm:Q7K3N4;Dr:F1R9B4	Rn:P29147
Q6P2L6	P83887	234135	103733	Nsd3	Tubg1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P23258;Dr:Q7ZVM5;Rn:P83888	-
Q6P2L6	Q6NZB0	234135	68598	Nsd3	Dnajc8	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O75937;Ce:Q95Y44;Dm:Q9VCH9	Dr:Q1ED27;Rn:A0A0G2K751
Q6P2L6	Q9DCS9	234135	68342	Nsd3	Ndufb10	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O96000;Dm:Q9VQR2;Rn:D4A0T0	Dr:F1QJ56
Q6P2L6	Q9D710	234135	66958	Nsd3	Tmx2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y320;Ce:Q18484;Dm:Q7JW12;Dr:Q6IQC7;Rn:Q5XIK2	-
Q6P2L6	Q9Z127	234135	20539	Nsd3	Slc7a5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q01650;Dm:Q9VKC2;Rn:Q63016	Dr:A0A0R4IFJ3
Q6P2L6	O54988	234135	20874	Nsd3	Slk	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9H2G2;Rn:G3V7I8	Dr:B8A4S3
Q6P2L6	Q6PGJ3	234135	16728	Nsd3	L1cam	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P32004;Dr:F1R5A9;Dr:F1R9X3	Rn:A0A0G2KA95
Q6P2L6	Q99J62	234135	106344	Nsd3	Rfc4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P35249;Dm:Q9VX15;Dr:A0A0R4IAU3;Rn:B4F778;Sc:P40348	-
Q6P2L6	P62947	234135	67945	Nsd3	Rpl41	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q6P2L6	Q810B7	234135	75409	Nsd3	Slitrk5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O94991	Rn:M0R9U3
Q6P2L6	Q505B7	234135	67106	Nsd3	Zbtb8os	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	-	-
Q6P2L6	Q9ES56	234135	60409	Nsd3	Trappc4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y296;Ce:Q20100;Dm:Q9VLI9;Rn:A0A0G2JSL2	Dr:F1QNE7
Q6P2L6	P53811	234135	56305	Nsd3	Pitpnb	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:P48739;Dr:F1QRW4	Rn:D3ZCD4
Q6P2L6	Q9WV95	234135	27280	Nsd3	Phlda3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q9Y5J5;Rn:Q5PQT7	-
Q6P2L6	Q61387	234135	20463	Nsd3	Cox7a2l	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:O14548;Rn:D3ZYX8	-
Q6P2L6	Q9DBS8	234135	67463	Nsd3	Poc5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8NA72	Dr:B0S5R1;Rn:A0A0G2KBC1
Q6P2L6	E9QPR5	234135	70351	Nsd3	Ppp4r1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	-	-	Hs:Q8TF05;Rn:F1LRK9	-
