UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9NRY4	P04150	2909	2908	ARHGAP35	NR3C1	electrophoretic mobility shift assay	22900683;2026589	Homo sapiens	HTRI	Yes	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:Q1XHK0	Mm:E9PYV1
Q9NRY4	A0A0A6YYL6	2909	100526842	ARHGAP35	RPL17-C18orf32	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	-	-
Q9NRY4	P29074	2909	5775	ARHGAP35	PTPN4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q9WU22;Rn:G3V6B9	Dr:F1QBE0
Q9NRY4	Q13772	2909	8031	ARHGAP35	NCOA4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:Q6P0F7;Mm:Q5U4H9;Rn:B1H215	-
Q9NRY4	Q8TAC9	2909	192683	ARHGAP35	SCAMP5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:Q6P0C7;Mm:Q9JKD3;Rn:A0A0G2K464	-
Q9NRY4	Q9Y6N1	2909	1353	ARHGAP35	COX11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Ce:Q95QD5;Dm:Q9VMQ6;Dr:A3KNN8;Mm:Q6P8I6;Rn:M0RE03	-
Q9NRY4	Q13057	2909	80347	ARHGAP35	COASY	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Ce:Q9BL56;Dm:Q9VRP4;Dr:Q66HW0;Mm:Q9DBL7;Rn:Q5XIA5	-
Q9NRY4	P55011	2909	6558	ARHGAP35	SLC12A2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:E9QM38;Rn:E9PTX9	-
Q9NRY4	Q13185	2909	11335	ARHGAP35	CBX3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F1QNF2;Rn:Q5RJK5	Mm:Q9DCC5
Q9NRY4	Q96JQ0	2909	8642	ARHGAP35	DCHS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F1QGX1;Dr:X1WDW2;Mm:E9PVD3;Rn:D4ACX8	Dm:X2J8E9
Q9NRY4	Q6FI81	2909	57019	ARHGAP35	CIAPIN1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dm:Q9V3Y2;Mm:Q8WTY4;Rn:Q5XID1	-
Q9NRY4	Q9P2R3	2909	51479	ARHGAP35	ANKFY1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Ce:O45398;Mm:Q810B6;Rn:D4A1J6	Dr:A0A0R4IK06
Q9NRY4	Q9H6Z9	2909	112399	ARHGAP35	EGLN3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F8W5S7;Mm:A0A0R4J0H9;Rn:G3V6N9	Dm:Q9VN98
Q9NRY4	Q9BVW5	2909	54962	ARHGAP35	TIPIN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:G1K2L6;Mm:Q91WA1;Rn:F1LM96	Rn:F1M2N9
Q9NRY4	Q7L7X3	2909	57551	ARHGAP35	TAOK1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:A0A0R4IP53;Mm:Q5F2E8	Rn:F1M9G6
Q9NRY4	Q96SK2	2909	84928	ARHGAP35	TMEM209	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q8BRG8;Rn:Q68FR5	Dm:Q8IQQ8;Dr:F6P528
Q9NRY4	Q14703	2909	8720	ARHGAP35	MBTPS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dm:Q9VP10;Dr:Q1LWH3;Mm:Q9WTZ2;Rn:Q9WTZ3	-
Q9NRY4	Q9BPX3	2909	64151	ARHGAP35	NCAPG	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F1QJY8;Mm:E9PWG6;Rn:D3ZD72;Sc:Q06680	Dm:B3DN53
Q9NRY4	A8MQ14	2909	342892	ARHGAP35	ZNF850	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	-	-
Q9NRY4	R4GNA1	2909	-	ARHGAP35	MICOS10-NBL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	-	-
Q9NRY4	P32298	2909	2868	ARHGAP35	GRK4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:O70291;Rn:P70507	-
Q9NRY4	P48200	2909	3658	ARHGAP35	IREB2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q811J3	Rn:A0A0G2JXC9
Q9NRY4	F5H423	2909	-	ARHGAP35	-	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Ce:Q10943	-
Q9NRY4	Q9UK59	2909	51163	ARHGAP35	DBR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dm:Q9VSD7;Dr:A8WHX2;Mm:Q923B1;Rn:B2RYJ2	Ce:Q966M6
Q9NRY4	Q6UWE0	2909	90678	ARHGAP35	LRSAM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:A2CF42;Mm:Q80ZI6;Rn:D3ZI42	-
Q9NRY4	P22626	2909	3181	ARHGAP35	HNRNPA2B1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Ce:Q22037;Mm:O88569;Rn:F1LNF1	-
Q9NRY4	Q5VSL9	2909	85369	ARHGAP35	STRIP1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q8C079	Dr:K7DXZ3;Rn:G3V8E2
Q9NRY4	Q58EX7	2909	25894	ARHGAP35	PLEKHG4	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:F8VPS6;Rn:D3ZQ60	-
Q9NRY4	Q9GZP9	2909	51009	ARHGAP35	DERL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:Q4VBS8;Mm:Q8BNI4;Rn:A0A0G2JTX9	Ce:Q21997
Q9NRY4	Q9H6Y7	2909	26001	ARHGAP35	RNF167	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q91XF4;Rn:Q5XIL0	Dr:F1QQE8
Q9NRY4	Q13501	2909	8878	ARHGAP35	SQSTM1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F1Q5Z8;Mm:Q64337;Rn:O08623	-
Q9NRY4	Q96PU4	2909	115426	ARHGAP35	UHRF2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q7TMI3;Rn:D3ZK36	-
Q9NRY4	Q9NS15	2909	4054	ARHGAP35	LTBP3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:F1QFX6;Rn:F1LRT0	Mm:Q61810
Q9NRY4	Q13111	2909	10036	ARHGAP35	CHAF1A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dr:A0JMK9;Mm:Q9QWF0;Rn:M0R3S3	-
Q9NRY4	Q9P2D6	2909	57579	ARHGAP35	FAM135A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Mm:Q6NS59;Rn:D3ZVB3	Dr:B8A4Z2
Q9NRY4	Q06830	2909	5052	ARHGAP35	PRDX1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	Dr:E7F8G5;Dr:A5PF53;Mm:Q91YM2	Rn:D4AD82	Dm:Q9V3P0;Dr:A2AWE1;Mm:P35700;Rn:Q63716	Rn:A0A0G2K3Z9
